Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Ribbon.Plugin.Name,,,Ribbon,Ribbon,الشريط,Multifunktionsleiste,Barra de herramientas,Ruban,रिबन,Ribbon,Barra,リボン,리본,Wstążka,Barra de ferramentas,,Ribbon,Şerit,Ribbon,功能区,功能区,功能區
Studio.Ribbon.Plugin.Text,,,Example Text!,Example Text!,مثال على النص!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Questo è un testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.Ribbon.Plugin.Tab_Avatar,,,Avatar,Avatar,أفاتار,Avatar,Avatar,Avatar,अवतार,Avatar,Avatar,アバター,아바타,Awatar,Avatar,,อวาตาร์,Avatar,Avatar,,,虛擬人偶
Studio.Ribbon.Plugin.Setting_Script,,,Script,Script,نص برمجي,Skript,Script,Script,स्क्रिप्ट,Skrip,Script,スクリプト,스크립트,Skrypt,Script,,สคริปต์,Betik,Kịch Bản,,,指令碼
Studio.Ribbon.Plugin.Setting_Constraint,,,Constraint,Constraint,القيد,Beschränkung,Restricciones,Contrainte,कंस्ट्रेंट,Constraint,Vincolo,拘束,제약,Ograniczenie,Restrição,,Constraint,Kısıtlama,Ràng Buộc,,,限制式
Studio.Ribbon.Plugin.Setting_Part,,,Part,Part,الجزء,Teil,Pieza,Pièce,पार्ट,Komponen,Parte,パーツ,파트,Część,Parte,,ชิ้นส่วน,Parça,Phần,,,零件
Studio.Ribbon.Plugin.Tooltip_Format,,,Format selected range of the script with correct layout and indentation,Format selected range of the script with correct layout and indentation,تنسيق النطاق المحدد للنص البرمجي مع التخطيط والمسافة البادئة الصحيحين,Ausgewählten Bereich des Skripts mit korrektem Layout und Einzug formatieren,Formatea el rango seleccionado del script con el diseño e indentación correctos,Formater la plage sélectionnée du script avec la disposition et l'indentation correctes,सही लेआउट और इंडेंटेशन के साथ स्क्रिप्ट की चुनी हुई रेंज फ़ॉर्मैट करें,Format rentang yang dipilih dalam skrip dengan tata letak dan indentasi yang benar,Formatta l'intervallo selezionato dello script con layout e rientro corretti,正しいレイアウトとインデントの選択済みスクリプト範囲をフォーマット,올바른 레이아웃과 들여쓰기를 사용해 선택된 범위의 스크립트에 대한 서식 지정하기,"Sformatuj zaznaczony zakres skryptu, używając prawidłowego układu i wcięć",Formate o escopo selecionado do script com layout e indentação corretos,,ระยะที่เลือกของรูปแบบสคริปต์ที่มีเค้าโครงและการเยื้องที่ถูกต้อง,Betikteki seçili aralığı doğru düzen ve girintiyle biçimlendir,Định dạng phạm vi đã chọn của tập lệnh với bố cục và thụt lề chính xác,,,將選取的指令碼範圍調整為正確的版面和縮進格式
Studio.Ribbon.Plugin.Tab_Custom,,,Custom tabs coming soon!,Custom tabs coming soon!,علامات التبويب المخصصة تتوفر قريبًا!,Benutzerdefinierte Tabs in Kürze verfügbar!,¡Pestañas personalizadas próximamente!,Onglets personnalisés bientôt disponibles !,कस्टम टैब जल्द आ रहे हैं!,Tab kustom akan segera hadir!,A breve pubblicheremo le schede personalizzate!,カスタムタブは近日公開予定です！,사용자 정의 탭을 곧 공개합니다!,Wkrótce pojawią się karty niestandardowe!,Abas personalizadas em breve!,,แท็บกำหนดเองจะมาในเร็วๆ นี้!,Özel sekmeler yakında geliyor!,Các thẻ tùy chỉnh sắp ra mắt!,,,自訂分頁即將推出！
Studio.Ribbon.Plugin.Lock,,,Lock,Lock,القفل,Sperren,Lock,Verrouiller,लॉक,Kunci,Blocca,ロック,잠금,Zablokuj,Bloquear,,ล็อค,Kilit,Khóa,,,鎖定
Studio.Ribbon.Plugin.Setting_Style,,,Style,Style,النمط,Stil,Estilo,Style,स्टाइल,Gaya,Stile,スタイル,스타일,Styl,Estilo,,รูปแบบ,Stil,Kiểu,,,樣式
Studio.Ribbon.Plugin.Action_UpdateAvailable,,,Update,Update,تحديث,Aktualisieren,Actualizar,Actualiser,अपडेट करें,Update,Aggiorna,更新,업데이트,Aktualizuj,Atualizar,,อัปเดต,Güncelle,Cập nhật,,,更新
