Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PublishPlaceAs.General.PublishPlace,,,Publish Place,Publish Place,نشر المكان,Ort veröffentlichen,Publicar lugar,Publier emplacement,प्लेस पब्लिश करें,Publikasi Tempat,Pubblica località,プレースを公開,플레이스 게시,Opublikuj miejsce,Publicar locais,Опубликовать место,เผยแพร่สถานที่,Mekânı yayınla,Công Bố Địa Điểm,发布场景,发布场景,發布地點
Studio.PublishPlaceAs.General.ContentDialogTitle,,,Content Agreement,Content Agreement,اتفاقية المحتوى,Inhaltsvereinbarung,Acuerdo de contenido,Accord relatif au contenu,कॉन्टेंट एग्रीमेंट,Perjanjian Konten,Contratto di licenza per l'uso dei contenuti,コンテンツ契約,콘텐츠 동의,Umowa dotycząca treści,Acordo de conteúdo,Соглашение на использование контента,ข้อตกลงเกี่ยวกับเนื้อหา,İçerik Anlaşması,Thỏa Thuận Nội Dung,内容协议,内容协议,內容協議
Studio.PublishPlaceAs.General.ContentDialogHeader,,,Do you agree that your game is controller compatible and contains NONE of the following?,Do you agree that your game is controller compatible and contains NONE of the following?,هل توافق على أن لعبتك متوافقة مع وحدة التحكم ولا تحتوي على أيٍ مما يلي؟,"Bestätigst du, dass dein Spiel Controller-kompatibel ist und KEINES der folgenden Elemente enthält?",¿Estás de acuerdo con que tu juego sea compatible con el mando y no contenga NINGUNO de los siguientes?,Acceptes-tu que ton jeu soit compatible avec une manette et qu'il ne contienne AUCUN des éléments suivants ?,क्या आप सहमत हैं कि आपका गेम कंट्रोलर कंपैटिबल है और उसमें इनमें से कुछ भी शामिल नहीं है?,Apakah kamu setuju bahwa game buatanmu kompatibel dengan kontroler dan TIDAK mengandung hal-hal berikut?,L'utente accetta che il suo gioco sia compatibile con il controller e che non contenga NESSUNO dei seguenti elementi?,あなたのゲームがコントローラーと互換性があり、以下のどれも含まれていないことに同意しますか。,"게임이 컨트롤러와 호환되도록 지원하며, 다음과 같은 콘텐츠가 포함되어 있지 않아야 합니다. 동의하시나요?","Czy potwierdzasz, że twoja gra jest zgodna z kontrolerami i nie zawiera ŻADNEGO z poniższych?",Você concorda que seu jogo é compatível com controles e não contém NENHUM dos seguintes?,"Подтверждаете ли вы, что ваша игра совместима с контроллером и не содержит следующих элементов?",คุณเห็นด้วยหรือไม่ว่าเกมของคุณสอดคล้องกับมาตรการการควบคุม และไม่มีเนื้อหาดังต่อไปนี้?,Oyununun oyun kumandası uyumlu olduğunu ve aşağıdakilerden HİÇBİRİNİ içermediğini onaylıyor musun?,Bạn có đồng ý rằng trò chơi của bạn tương thích với bộ điều khiển và KHÔNG chứa bất kỳ nội dung nào sau đây?,确认游戏可以兼容控制器，并不包含以下内容吗?,确认游戏可以兼容控制器，并不包含以下内容吗?,你同意讓遊戲支援控制器，並且確認遊戲沒有包含以下內容嗎？
Studio.PublishPlaceAs.General.ContentDialogItem1,,,Blood or Gore,Blood or Gore,دماء أو مشاهد دموية,Blut oder blutrünstige Darstellungen (Gore),Sangre o derramamientos de sangre,Sang et horreur,खून या हिंसा,Darah atau Adegan Berdarah,Sangue o scene cruente,流血または残虐な内容,유혈 또는 고어,Rozlew krwi,Sangue ou vísceras,Кровь и увечья,เลือดหรือการนองเลือด,Kan ve vahşet,Máu me,血腥,血腥,血腥
Studio.PublishPlaceAs.General.ContentDialogItem2,,,Intense Violence,Intense Violence,عنف شديد,Heftige Gewaltdarstellungen,Violencia intensa,Violence intense,ज़बरदस्त हिंसा,Kekerasan Intens,Violenza eccessiva,強烈な暴力,심각한 폭력,Drastyczna przemoc,Violência intensa,Насилие,การใช้ความรุนแรง,Yoğun şiddet,Bạo Lực Quá Mức,激烈暴力,激烈暴力,極度暴力
Studio.PublishPlaceAs.General.ContentDialogItem3,,,Strong Language (Swearing),Strong Language (Swearing),لغة فظة (ألفاظ بذيئة),Kraftausdrücke (Fluchen),Lenguaje violento (insultos),Langage ordurier (jurons),बहुत खराब भाषा (अपशब्द),Bahasa Kasar (Sumpah Serapah),Linguaggio forte (turpiloqui),過激な表現（暴言）,과격한 표현(욕설),Dosadny język (przekleństwa),Linguagem inapropriada (palavrões),Грубые выражения,ถ้อยคำที่รุนแรง (คำหยาบ),Kaba dil (Küfür),Ngôn Từ Xúc Phạm (Chửi Thề),粗暴语言 (脏话),粗暴语言 (脏话),強烈語言（髒話）
Studio.PublishPlaceAs.General.ContentDialogItem4,,,Robux Gambling,Robux Gambling,مقامرات Robux,Robux-Glücksspiel,Apuestas con Robux,Jeu d'argent avec Robux,Robux गैंबलिंग,Perjudian Robux,Gioco d'azzardo con i Robux,Robuxを使ったギャンブル,Robux 도박,Elementy hazardowe z użyciem Robuxów,Apostas de Robux,Азартные игры,การพนัน Robux,Robux ile kumar,Cờ Bạc trong Robux,以 Robux 进行赌博,以 Robux 进行赌博,Robux 賭博
Studio.PublishPlaceAs.General.ContentDialogItem5,,,Drug Reference or Use,Drug Reference or Use,الإشارة إلى المخدرات أو استخدامها,Hinweise auf Drogen oder Drogenkonsum,Referencias a drogas o a su uso,Référence à la drogue ou utilisation de drogue,ड्रग रेफ़रेंस या इस्तेमाल,Penyebutan atau Penggunaan Obat Terlarang,Riferimenti a droghe o uso di sostanze stupefacenti,薬物に関する表現や使用,약물 관련 표현 또는 사용,Odniesienia do narkotyków lub ich zażywania,Menção ou uso de drogas,Упоминание или употребление наркотиков,การอ้างอิงถึงหรือการใช้ยาเสพติด,Uyuşturucu göndermesi ya da kullanımı,Đề Cập hoặc Sử Dụng Chất Cấm,提及或使用毒品,提及或使用毒品,提及或使用藥物
Studio.PublishPlaceAs.Button.AddNewPlace,,,Add New,Add New,إضافة جديد,Neu hinzufügen,Añadir nuevo,Ajouter nouveau,नया जोड़ें,Tambah Baru,Aggiungi nuova,新規を追加,신규 추가,Dodaj nowe,Adicionar novo,Добавить новое,เพิ่มรายการใหม่,Yeni ekle,Thêm Mới,新增,新增,新增
Studio.PublishPlaceAs.Button.Close,,,Close,Close,إغلاق,Schließen,Cerrar,Fermer,बंद करें,Tutup,Chiudi,閉じる,닫기,Zamknij,Fechar,Закрыть,ปิด,Kapat,Đóng,关闭,关闭,關閉
Studio.PublishPlaceAs.Button.ReplyAgree,,,Agree,Agree,موافق,Zustimmen,Estoy de acuerdo,Accepter,सहमत,Setuju,Accetto,同意する,동의,Potwierdzam,Concordar,Принять,ยอมรับ,Kabul et,Đồng Ý,同意,同意,同意
Studio.PublishPlaceAs.Button.ReplyDisagree,,,Disagree,Disagree,لا أوافق,Ablehnen,Estoy en desacuerdo,Refuser,असहमत,Tidak Setuju,Non accetto,同意しない,비동의,Nie potwierdzam,Discordar,Отклонить,ไม่ยอมรับ,Reddet,Không Đồng Ý,不同意,不同意,不同意
Studio.PublishPlaceAs.Button.Retry,,,Retry,Retry,إعادة المحاولة,Erneut versuchen,Reintentar,Réessayer,फिर से कोशिश करें,Coba lagi,Riprova,再試行,다시 시도,Spróbuj ponownie,Tentar novamente,Повтор,ลองอีกครั้ง,Tekrar dene,Thử Lại,重试,重试,重試
Studio.PublishPlaceAs.FooterButton.UpdateExistingGame,,,Update existing game...,Update existing game...,تحديث اللعبة الحالية...,Bestehendes Spiel aktualisieren ...,Actualizar juego existente...,Mettre à jour un jeu existant...,मौजूदा गेम को अपडेट करें...,Update game yang sudah ada...,Aggiorna gioco esistente...,既存のゲームを更新する...,기존 게임 업데이트.,Zaktualizuj istniejącą grę...,Atualizar jogo existente...,Обновление существующей игры...,อัปเดตเกมที่มีอยู่...,Mevcut oyunu güncelle...,Cập nhật trò chơi đang tồn tại...,更新现有游戏…,更新现有游戏…,更新既有遊戲……
Studio.PublishPlaceAs.FooterButton.CreateNewGame,,,Create new game...,Create new game...,إنشاء لعبة جديدة...,Neues Spiel erstellen ...,Crear juego nuevo...,Créer un nouveau jeu...,नया गेम क्रिएट करें...,Buat game baru...,Crea nuovo gioco...,新しいゲームを制作...,새 게임 만들기...,Utwórz nową grę...,Criar novo jogo...,Создать новую игру...,สร้างเกมใหม่...,Yeni oyun oluştur...,Tạo trò chơi mới...,创建新游戏…,创建新游戏…,創作新遊戲……
Studio.PublishPlaceAs.FooterButton.Create,,,Create,Create,إنشاء,Erstellen,Crear,Créer,क्रिएट करें,Buat,Crea,作成,만들기,Utwórz,Criar,Создать,สร้าง,Oluştur,Tạo,创建,创建,創作
Studio.PublishPlaceAs.FooterButton.Overwrite,,,Overwrite,Overwrite,استبدال المعلومات أو الملفات,Überschreiben,Reemplazar,Écrire par dessus,ओवरराइट करें,Timpa,Sovrascrivi,上書き,덮어쓰기,Zastąp,Substituir,Записать поверх,เขียนทับ,Üzerine yaz,Ghi Đè,覆盖,覆盖,覆寫
Studio.PublishPlaceAs.FooterButton.Cancel,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,Отмена,ยกเลิก,İptal,Hủy Bỏ,取消,取消,取消
Studio.PublishPlaceAs.GroupDropdown.MyGames,,,My Games,My Games,ألعابي,Meine Spiele,Mis juegos,Mes jeux,मेरे गेम्स,Game Saya,I miei giochi,マイゲーム,내 게임,Moje gry,Meus jogos,Мои игры,เกมของฉัน,Oyunlarım,Trò Chơi Của Tôi,我的游戏,我的游戏,我的遊戲
Studio.PublishPlaceAs.MenuItem.BasicInfo,,,Basic Info,Basic Info,معلومات أساسية,Grundlegende Infos,Información básica,Infos de base,बुनियादी जानकारी,Info Dasar,Informazioni di base,基本情報,기본 정보,Podstawowe informacje,Informações básicas,Основные сведения,ข้อมูลพื้นฐาน,Temel Bilgiler,Thông Tin Cơ Bản,基本信息,基本信息,基本資訊
Studio.PublishPlaceAs.Devices.Header,,,Devices,Devices,الأجهزة,Geräte,Dispositivos,Appareil,डिवाइस,Perangkat,Dispositivi,デバイス,기기,Urządzenia,Dispositivos,Устройства,อุปกรณ์,Cihazlar,Thiết Bị,设备,设备,裝置
Studio.PublishPlaceAs.Devices.Computer,,,Computer,Computer,جهاز كمبيوتر,Computer,Computadora,Ordinateur,कंप्यूटर,Komputer,Computer,パソコン,컴퓨터,Komputer,Computador,Компьютер,คอมพิวเตอร์,Bilgisayar,Máy Tính,个人电脑,个人电脑,電腦
Studio.PublishPlaceAs.Devices.Phone,,,Phone,Phone,الهاتف,Telefon,Teléfono,Téléphone,फ़ोन,Ponsel,Telefono,電話,휴대폰,Telefon,Telefone,Телефон,โทรศัพท์,Telefon,Điện Thoại,手机,手机,手機
Studio.PublishPlaceAs.Devices.Tablet,,,Tablet,Tablet,جهاز لوحي,Tablet,Tablet,Tablette,टैबलेट,Tablet,Tablet,タブレット,태블릿,Tablet,Tablet,Планшет,แท็บเล็ต,Tablet,Máy Tính Bảng,平板电脑,平板电脑,平板電腦
Studio.PublishPlaceAs.Devices.Console,,,Console,Console,لوحة تحكُّم,Konsole,Consola,Console,कंसोल,Konsol,Console,コンソール,콘솔,Konsola,Console,Консоль,คอนโซล,Konsol,Máy Chơi Game,游戏主机,游戏主机,遊戲機
