Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.ConvertToPackage.Meta.PluginName,,,Convert To Package,Convert To Package,تحويل إلى حزمة,In Paket konvertieren,Convertir en paquete,Convertir en package,पैकेज में कन्वर्ट करें,Konversi ke Paket,Converti in pacchetto,パッケージに変換,패키지로 전환,Konwertuj na pakiet,Converter para pacote,Преобразовать в пакет,แปลงเป็นแพ็คเกจ,Pakete dönüştür,Chuyển Sang Gói,转换为包,转换为包,轉換成套件
Studio.ConvertToPackage.General.Submit,,,Submit,Submit,إرسال,Absenden,Enviar,Soumettre,सबमिट करें,Kirim,Invia,送信,제출,Prześlij,Enviar,Завершить,ส่ง,Gönder,Gửi,提交,提交,提交
Studio.ConvertToPackage.General.Comments,,,Allow Comments,Allow Comments,السماح بالتعليقات,Kommentare zulassen,Permitir comentarios,Permettre des commentaires,कमेंट्स करने की परमिशन दें,Izinkan Komentar,Permetti commenti,コメントを許可する,코멘트 허용,Zezwalaj na komentarze,Permitir comentários,Разрешить комментарии,อนุญาตให้แสดงความคิดเห็น,Yorumlara izin ver,Cho Phép Bình Luận,允许评论,允许评论,允許留言
Studio.ConvertToPackage.General.Ownership,,,Ownership,Ownership,الملكية,Eigentum,Propiedad,Propriété,ओनरशिप,Kepemilikan,Proprietà,所有権,소유권,Własność,Propriedade,Владелец,ความเป็นเจ้าของ,Sahiplik,Quyền Sở Hữu,所有权,所有权,所有權
Studio.ConvertToPackage.General.Description,,,Description,Description,الوصف,Beschreibung,Descripción,Description,विवरण,Deskripsi,Descrizione,説明,설명,Opis,Descrição,Описание,คำอธิบาย,Açıklama,Mô Tả,描述,描述,說明
Studio.ConvertToPackage.General.Title,,,Title,Title,العنوان,Titel,Título,Titre,टाइटल,Judul,Titolo,題名,제목,Tytuł,Título,Название,ชื่อ,Başlık,Tiêu Đề,标题,标题,名稱
Studio.ConvertToPackage.General.Me,,,Me,Me,أنا,Ich,Yo,Moi,मैं,Saya,Io,自分,나,Ja,Eu,Я,ฉัน,Ben,Tôi,我,我,我
Studio.ConvertToPackage.General.InstanceFail,,,Convert to Package failed due to invalid objects,Convert to Package failed due to invalid objects,تعذَّر التحويل إلى حزمة بسبب كائنات غير صالحة,In Paket konvertieren aufgrund ungültiger Objekte fehlgeschlagen,Error en la conversión a paquete debido a objetos no válidos,La conversion en package a échoué en raison d'objets non valides,अमान्य ऑब्जेक्ट की वजह से पैकेज में कन्वर्ट नहीं हो सका,Konversi ke Paket gagal karena objek tidak valid,Impossibile convertire in pacchetto a causa di oggetti non validi,パッケージに変換が無効なオブジェクトによって実行できませんでした,개체가 유효하지 않아 패키지로 전환하지 못했습니다,Nie udało się przekonwertować na pakiet z powodu nieprawidłowych obiektów,Falha ao converter para pacote devido a objetos inválidos,Преобразование в пакет не удалось: неверные объекты,แปลงเป็นแพคเกจไม่สำเร็จเนื่องจากวัตถุไม่ถูกต้อง,Pakete dönüştürme geçersiz nesneler nedeniyle başarısız,Chuyển Sang Gói không thành công do các đối tượng không hợp lệ,由于对象无效，转换为包失败,由于对象无效，转换为包失败,偵測到無效物件，無法轉換成套件
Studio.ConvertToPackage.General.Error,,,Error,Error,خطأ,Fehler,Error,Erreur,गड़बड़ी,Eror,Errore,エラー,오류,Błąd,Erro,Ошибка,เกิดข้อผิดพลาด,Hata,Lỗi,错误,错误,錯誤
Studio.ConvertToPackage.General.ChooseOne,,,Choose One,Choose One,اختر عنصرًا,Wähle eine Option,Elegir uno,En choisir un,कोई एक चुनें,Pilih Satu,Scegli,一つ選ぶ,하나 선택,Wybierz jedną opcję,Escolher um,Выберите один,เลือกหนึ่งรายการ,Birini seç,Chọn Một,选择一个,选择一个,選擇一個
