Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.FindReplaceAll.Plugin.Description,,,Find and Replace text in your scripts,Find and Replace text in your scripts,البحث عن النص واستبداله في البرامج النصية,Suchen und Ersetzen von Text in deinen Skripten,Buscar y reemplazar texto en tus scripts,Rechercher et remplacer le texte dans tes scripts,अपनी स्क्रिप्ट में टेक्स्ट ढूँढें और रीप्लेस करें,Cari dan Ganti teks di skrip,Trova e sostituisci il testo nei tuoi script,スクリプト中のテキストから見つけて置き換え,스크립트에서 텍스트를 찾아 변경합니다,Znajdź i zamień tekst w swoich skryptach,Localizar e substituir texto em seus scripts,,ค้นหาและแทนที่ข้อความในสคริปต์ของคุณ,Betiklerinde metin bul ve değiştir,Tìm và Thay Thế văn bản trong tập lệnh,,,尋找並取代指令碼中的文字
Studio.FindReplaceAll.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,لقد ضغطت علي {counter} مرات!,Du hast mich {counter}-mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,आपने मुझे {counter} बार दबाया!,You pressed me {counter} times!,Mi hai premuto {counter} volte!,You pressed me {counter} times!,날 {counter}번이나 눌렀군요!,Naciśnięto mnie {counter} razy!,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,Buraya {counter} kez bastın!,Bạn đã nhấn tôi {counter} lần!,,,您按了我 {counter} 次！
Studio.FindReplaceAll.Plugin.Name,,,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,FindReplaceAll,,FindReplaceAll,FindReplaceAll,FindReplaceAll,,,FindReplaceAll
Studio.FindReplaceAll.Plugin.Button,,,Find Replace All,Find Replace All,البحث عن استبدال الكل,Alle suchen und ersetzen,Buscar Reemplazar todo,Trouver Remplacer tout,'सभी बदलें' बटन खोजें,Cari Ganti Semua,Trova e sostituisci tutto,すべて見つけて置き換え,모두 찾아 바꾸기,Znajdź i zastąp wszystko,Localizar substituir todos,,ค้นหาแทนที่ทั้งหมด,Tümünü Bul Değiştir,Tìm Thay Thế Tất Cả,,,尋找並全部取代
Studio.FindReplaceAll.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,خنزير الماء لطيف!,Capybaras sind süß!,¡Los capibaras son lindos!,Les capybaras sont mignons !,कैपीबरा प्यारे होते हैं!,Capybaras are cute!,I capibara sono carini!,Capybaras are cute!,귀여운 카피바라!,Kapibary są słodkie!,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,Kapibaralar çok şirin!,Capybara thật dễ thương!,,,水豚很可愛！
Studio.FindReplaceAll.CounterExample.Button,,,Push me!,Push me!,ادفعني!,Drück mich!,¡Presióname!,Pousse-moi !,मुझे पुश करें!,Push me!,Premimi!,Push me!,날 밀어요!,Naciśnij mnie!,Me aperte!,,กดฉันสิ!,Buraya bas!,Hãy nhấn tôi!,,,按下我！
Studio.FindReplaceAll.WidgetHeader.FilterPlaceholder,,,eg: Workspace.Baseplate,eg: Workspace.Baseplate,على سبيل المثال: Workspace.Baseplate,z. B.: Workspace.Baseplate,eg: Workspace.Baseplate,eex : Workspace.Baseplate,जैसे : Workspace.Baseplate,misalnya: Workspace.Baseplate,es: Workspace.Baseplate,例: Workspace.Baseplate,예: Workspace.Baseplate,np.: Workspace.Baseplate,eg: Workspace.Baseplate,,เช่น: Workspace.Baseplate,örneğin Workspace.Baseplate,Ví dụ: Workspace.Baseplate,,,例如：Workspace.Baseplate
Studio.FindReplaceAll.WidgetHeader.Text,,,Header,Header,الترويسة,Überschrift,Encabezado,En-tête,हेडर,Header,Intestazione,ヘッダー,헤더,Nagłówek,Cabeçalho,,ส่วนหัว,Başlık,Tiêu Đề,,,標頭
Studio.FindReplaceAll.WidgetHeader.ToggleReplaceTooltip,,,Toggle Replace,Toggle Replace,تبديل الاستبدال,Ersetzen umschalten,Alternar reemplazo,Basculer vers Remplacer,'रीप्लेस करें' को टॉगल करें,Nyalakan/Matikan Ganti,Attiva/disattiva sostituzione,置き換えの切りかえ,바꾸기 전환,Włącz/wyłącz zamienianie,Alternar substituir,,เปิด/ปิดการแทนที่,Değiştirmeyi aç/kapa,Bật/Tắt Thay Thế,,,切換取代
Studio.FindReplaceAll.WidgetHeader.FindElpPlaceholder,,,Find...,Find...,بحث...,Suchen ...,Buscar...,Rechercher...,ढूँढें...,Cari...,Trova...,見つける...,찾기...,Znajdź...,Localizar...,,ค้นหา...,Bul...,Tìm...,,,尋找……
Studio.FindReplaceAll.WidgetHeader.MatchCaseTooltip,,,Match Case,Match Case,مطابقة حالة الأحرف,Groß-/Kleinschreibung beachten,Coincidir caso,Cas équivalent,केस मैच करें,Cocokkan Huruf Kapital,Corrispondenza maiuscole,文字サイズを合わせる,대소문자 일치,Uwzględnij wielkość liter,Coincidir maiúsculas e minúsculas,,กรณีที่ตรงกัน,Büyük/küçük harf eşleştir,Phân Biệt Chữ Viết Hoa,,,大小寫相符
Studio.FindReplaceAll.WidgetHeader.MatchWholeWordTooltip,,,Match Whole Word,Match Whole Word,مطابقة الكلمة بالكامل,Ganzes Wort,Coincidir con palabra completa,Correspond au mot entier,पूरा वर्ड मैच करें,Cocokkan Seluruh Kata,Corrispondenza parola intera,全文字一致,전체 단어 일치,Znajdź tylko całe wyrazy,Coincidir palavra inteira,,ตรงกับทั้งคำ,Sözcüğün tamamını eşleştir,Tìm Nội Dung Chứa Đủ Từ,,,全字拼寫相符
Studio.FindReplaceAll.WidgetHeader.RegExTooltip,,,Regular Expression,Regular Expression,تعبير منتظم,Regulärer Ausdruck,Expresión normal,Expressions régulières,रेग्युलर एक्सप्रेशन,Ekspresi Biasa,Espressione regolare,正規表現,정규식,Użyj symboli wieloznacznych,Expressão regular,,การแสดงออกทั่วไป,Normal ifade,Biểu Thức Chính Quy,,,正規表達式
Studio.FindReplaceAll.WidgetHeader.FindPreviousTooltip,,,Find Previous,Find Previous,البحث عن السابق,Vorheriges suchen,Buscar anterior,Rechercher précédent,पिछला खोजें,Cari Sebelumnya,Trova precedente,前で見つける,이전 찾기,Znajdź poprzednie,Localizar anterior,,ค้นหาก่อนหน้า,Öncekini bul,Tìm Kiếm Trước Đó,,,尋找上一個
