Key,Context,Source,en-us
Studio.App.StartPage.MyGames,Look at all my published games,My Games,My Games
Studio.App.StartPage.Recent,Look at recent games,Recent,Recent
Studio.App.StartPage.Archive,Look at archived games,Archive,Archive
Studio.App.StartPage.PublishYourGame,,"Publish your game and make it public to share it
Go to File > Publish to Roblox","Publish your game and make it public to share it
Go to File > Publish to Roblox"
Studio.App.StartPage.ShareYourGame,,Share your game,Share your game
Studio.App.StartPage.ClickShareIcon,,Click the share icon to share your game with Roblox friends or on social media,Click the share icon to share your game with Roblox friends or on social media
Studio.App.StartPage.CreateNew,,Create new,Create new
Studio.App.StartPage.Owner,,Owner,Owner
Studio.App.StartPage.OwnerMe,,Me,Me
Studio.App.StartPage.GotIt,,Got it,Got it
Studio.App.StartPage.By1,The game was written by whom?,By %1,By %1
Studio.App.StartPage.RestrictedExperience,,This experience is not accessible due to age restrictions.,This experience is not accessible due to age restrictions.
Studio.App.StartPage.RestrictedExperienceUpsell,,"Verify your age to access this experience.

 1. Go to Account Info > Verify My Age 
 2. Complete the verification process","Verify your age to access this experience.

 1. Go to Account Info > Verify My Age 
 2. Complete the verification process"
Studio.App.StartPage.RestrictedExperienceTitle,,Age Restricted,Age Restricted
Studio.App.StartPage.RestrictedExperienceUpsellTitle,,Age Verification Required,Age Verification Required
Studio.App.StartPage.RestrictedExperienceUpsellLink,,Verify my age,Verify my age
Studio.App.StartPage.RestrictedExperienceTooltip,,Restricted to age-verified 17+ creators,Restricted to age-verified 17+ creators
Studio.App.StartPage.MakingPublic,,Making public,Making public
Studio.App.StartPage.MakingPrivate,,Making private,Making private
Studio.App.StartPage.ShareOnTwitter,,Share on Twitter,Share on Twitter
Studio.App.StartPage.ShareOnFacebook,,Share on Facebook,Share on Facebook
Studio.App.TemplatesPage.AllTemplates,Templates page tab,All Templates,All Templates
Studio.App.TemplatesPage.TeamCreate,,Team Create,Team Create
Studio.App.ListView.ExperienceName,The name of my game,Experience Name,Experience Name
Studio.App.ListView.Description,,Description,Description
Studio.App.ListView.DateCreated,,Date Created,Date Created
Studio.App.ListView.Playability,,Playability,Playability
Studio.App.ListView.Type,,Type,Type
