Key,Context,Source,en-us
Studio.App.AssetPrivacyPublishDialog.AssetTable.AssetCreatorColTitle,,Creator,Creator
Studio.App.AssetPrivacyPublishDialog.AssetTable.AssetIdColTitle,,Asset ID,Asset ID
Studio.App.AssetPrivacyPublishDialog.AssetTable.AssetNameColTitle,Name of asset file in the place file,Asset Name,Asset Name
Studio.App.AssetPrivacyPublishDialog.AssetTable.AssetTypeColTitle,,Asset Type,Asset Type
Studio.App.AssetPrivacyPublishDialog.CancelPublishButton,warning modal button that cancel the publish,Cancel Publish,Cancel Publish
Studio.App.AssetPrivacyPublishDialog.GrantAllPermissionsButton,warning modal button that grants the universe permission to all assets in the game,Grant All Permissions,Grant All Permissions
Studio.App.AssetPrivacyPublishDialog.NoPermissionsDescription,"Description of warning that users need to give their universe permission to use asset or else, their asset won't play in the experience they publsih","This experience has no permission to use some assets. Please consider granting permissions to the destination Experience. If you do not grant permissions, assets will not be available for this experience.","This experience has no permission to use some assets. Please consider granting permissions to the destination Experience. If you do not grant permissions, assets will not be available for this experience."
Studio.App.AssetPrivacyPublishDialog.NoPermissionsTitle,Description title for no permissions granted dialog pop-up that lets users know they have to grant asset permission,No permission to use Asset(s),No permission to use Asset(s)
Studio.App.AssetPrivacyPublishDialog.PermissionsGrantedDescription,Description for permissions successfully granted dialog and continue with publish,All asset permissions have been granted to this experience.,All asset permissions have been granted to this experience.
Studio.App.AssetPrivacyPublishDialog.PermissionsGrantedTitle,Description title for permissions successfully granted dialog,All permissions have been granted!,All permissions have been granted!
Studio.App.AssetPrivacyPublishDialog.PermissionsNotGrantedDescription,Description of dialog with assets that cannot be granted permission by the user. Have options to publish without permissions or cancel publish,"You don't have the ability to grant permissions for assets below. Please reach out to the asset creator to grant permissions to this experience, or these assets will not be available.","You don't have the ability to grant permissions for assets below. Please reach out to the asset creator to grant permissions to this experience, or these assets will not be available."
Studio.App.AssetPrivacyPublishDialog.PermissionsNotGrantedTitle,Description title for permissions cannot be granted dialog to some assets by the user,You cannot grant permissions for some assets,You cannot grant permissions for some assets
Studio.App.AssetPrivacyPublishDialog.PublishToRobloxButton,warning modal button that publishes game after granting permission,Publish to Roblox,Publish to Roblox
Studio.App.AssetPrivacyPublishDialog.PublishWithoutGrantingButton,warning modal button that publishes game without granting permission,Publish without Permissions,Publish without Permissions
