Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PathEditor.Plugin.Name,,,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,,PathEditor,Yol Düzenleyici,PathEditor,路径编辑器,路径编辑器,PathEditor
Studio.PathEditor.Plugin.Toolbar,,,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,PathEditor,,PathEditor,Yol Düzenleyici,PathEditor,路径编辑器,路径编辑器,PathEditor
Studio.PathEditor.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Activar,Basculer,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternador,,เปิด/ปิด,Aç/Kapa,Bật/tắt,切换,切换,切換
Studio.PathEditor.Plugin.Description,,,Toggles the Template plugin window.,Toggles the Template plugin window.,يبدِّل نافذة المكون الإضافي للقالب.,Schaltet das Vorlagen-Plugin-Fenster um.,Activar la ventana del plugin Plantilla.,Bascule la fenêtre du plug-in de modèle.,टेम्प्लेट प्लग-इन विंडो को टॉगल करता है.,Menyalakan/mematikan jendela plugin Templat.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in z szablonami.,Alterna a janela do plugin de modelos.,,เปิด/ปิดหน้าต่างปลั๊กอินเทมเพลต,Taslak eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Mẫu.,切换模板插件窗口。,切换模板插件窗口。,切換範本外掛程式視窗。
Studio.PathEditor.Plugin.Text,,,Example Text!,Example Text!,نص اختباري كمثال!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.PathEditor.Info.Delete,,,Delete,Delete,حذف,Löschen,Eliminar,Supprimer,डिलीट करें,Hapus,Elimina,削除,삭제,Usuń,Excluir,,ลบ,Sil,Xóa,删除,删除,刪除
Studio.PathEditor.Info.DeletePoint,,,Delete Point,Delete Point,حذف نقطة,Punkt löschen,Eliminar punto,Supprimer Point,पॉइंट डिलीट करें,Hapus Titik,Elimina punto,ポイントを削除,포인트 삭제,Usuń punkt,Excluir ponto,,ลบพอยต์,Noktayı sil,Xóa Điểm,删除指向,删除指向,刪除點
Studio.PathEditor.Info.DeleteTangent,,,Delete Tangent,Delete Tangent,حذف المماس,Tangente löschen,Eliminar tangente,Supprimer Tangent,टेंजेन्ट डिलीट करें,Hapus Tangen,Elimina Tangente,タンジェント削除,접선 삭제,Usuń styczną,Excluir tangente,,ลบแทนเจนต์,Teğeti sil,Xóa Tiếp Tuyến,删除切线,删除切线,刪除切線
Studio.PathEditor.Info.MoveTool,,,Move Tool,Move Tool,أداة الحركة,Verschiebe-Tool,Herramienta de movimiento,Outil de déplacement,टूल मूव करें,Alat Gerakan,Strumento Sposta,移動ツール,이동 도구,Narzędzie do przenoszenia,Ferramenta Mover,,เครื่องมือการเคลื่อนย้าย,Taşıma Aracı,Di Chuyển Công Cụ,移动工具,移动工具,移動工具
Studio.PathEditor.Info.AddPointTool,,,Add Point,Add Point,إضافة نقطة,Punkt hinzufügen,Añadir punto,Ajouter Point,पॉइंट जोड़ें,Tambahkan Titik,Aggiungi Punto,ポイントを追加,포인트 추가,Dodaj punkt,Adicionar ponto,,เพิ่มเพิ่มพอยต์,Nokta ekle,Thêm Điểm,添加指向,添加指向,新增點
Studio.PathEditor.Info.AddTangentTool,,,Add Tangent,Add Tangent,إضافة مماس,Tangente hinzufügen,Añadir tangente,Ajouter Tangent,टेंजेन्ट जोड़ें,Tambahkan Tangen,Aggiungi Tangente,タンジェント追加,접선 추가,Dodaj styczną,Adicionar tangente,,เพิ่มแทนเจนต์,Teğet ekle,Thêm Tiếp Tuyến,添加切线,添加切线,新增切線
Studio.PathEditor.Info.Done,,,Done,Done,تم,Fertig,Hecho,Terminé,हो गया,Selesai,Fatto,完了,완료,Gotowe,Concluído,,เสร็จสิ้น,Bitti,Hoàn Thành,完成,完成,完成
Studio.PathEditor.ContextMenu.AddTangents,,,Add Tangents,Add Tangents,إضافة مماسات,Tangenten hinzufügen,Añadir tangentes,Ajouter des tangentes,टेंजेन्ट्स जोड़ें,Tambahkan Tangen,Aggiungi Tangente,タンジェント追加,접선 추가,Dodaj styczne,Adicionar tangentes,,เพิ่มแทนเจนต์,Teğet ekle,Thêm Tiếp Tuyến,添加切线,添加切线,新增切線
Studio.PathEditor.ContextMenu.ClearTangents,,,Clear Tangents,Clear Tangents,مسح المماسات,Tangenten löschen,Borrar tangentes,Effacer les tangentes,टेंजेन्ट्स डिलीट करें,Hapus Tangen,Cancella Tangenti,タンジェントを消す,접선 지우기,Wyczyść styczne,Limpar tangentes,,เคลียร์แทนเจนต์,Teğetleri temizle,Dọn Sạch Tiếp Tuyến,清除切线,清除切线,清除切線
