Key,Context,Source,en-us
Studio.App.FBXAnimatedHeadImporter.CorrectiveDupe2,"Error message when importing FBX file.  ""corrective"" is a technical term that refers to a corrective shape that is used to handle bad deformation.  Please ensure the appropriate technical term is used in the translation for ""corrective"". Note FACS refers to the acronym Facial Action Coding System.  FACS may not need to be translated if the English acronym is used.",Failed importing head with facial animation: Found duplicate FACS control name %1 for corrective %2,Failed importing head with facial animation: Found duplicate FACS control name %1 for corrective %2
Studio.App.FBXAnimatedHeadImporter.DupeControl3,"""frame"" refers to a frame of animation.  ""control"" refers to a FACS control, where FACS stands for Facial Action Coding System","Failed importing head with facial animation: Duplicate control name found: ""%1"" in frame %2 and frame %3","Failed importing head with facial animation: Duplicate control name found: ""%1"" in frame %2 and frame %3"
Studio.App.FBXAnimatedHeadImporter.FailureException1,Error message that displays if an internal error occurred while importing head with facial animation,Failed importing head with facial animation: %1,Failed importing head with facial animation: %1
Studio.App.FBXAnimatedHeadImporter.FrameExtraChars1,"Warning message when importing FBX file.  Do not translate ""Frame#"" and leave ""#"" as is.  These refer to specific computer-readable strings.","Ignoring ""%1"" because it contains underscores or spaces.  Must be of the form ""Frame#"" where ""#"" is an integer with no spaces or underscores.","Ignoring ""%1"" because it contains underscores or spaces.  Must be of the form ""Frame#"" where ""#"" is an integer with no spaces or underscores."
Studio.App.FBXAnimatedHeadImporter.HasFramesNoRootFaceJoint1,"Warning message when importing FBX file.  Note FACS refers to the acronym Facial Action Coding System.  FACS may not need to be translated if the English acronym is used.  Do not translate ""Frame#"" or ""RootFaceJoint"".","Found ""Frame#"" attributes in mesh ""%1"" but no ""RootFaceJoint"" attribute.  No FACS mapping will be created for this mesh.","Found ""Frame#"" attributes in mesh ""%1"" but no ""RootFaceJoint"" attribute.  No FACS mapping will be created for this mesh."
Studio.App.FBXAnimatedHeadImporter.IncompletePoses,"Warning message when importing FBX file.  ""base poses"" refers to the main facial expressions for an avatar.  ""character"" refers to the 3d avatar",Found only %1 base poses. Your character may not be able to express itself.,Found only %1 base poses. Your character may not be able to express itself.
Studio.App.FBXAnimatedHeadImporter.InvalidCorrective1,"Error message when importing FBX file.  ""corrective"" is a technical term that refers to a corrective shape that is used to handle bad deformation.  Please ensure the appropriate technical term is used in the translation for ""corrective"".","Failed importing head with facial animation: Invalid corrective name ""%1"": Neutral cannot be part of a corrective","Failed importing head with facial animation: Invalid corrective name ""%1"": Neutral cannot be part of a corrective"
Studio.App.FBXAnimatedHeadImporter.Max3Correctives2,"Error message when importing FBX file.  Correctives refers to a corrective shape that is used to handle bad deformations in a rig in 3d animation.  Please ensure the appropriate technical term for ""corrective"" is used in the translation.","Failed importing head with facial animation: Correctives can be for at most 3 control names.  Found %1 in ""%2""","Failed importing head with facial animation: Correctives can be for at most 3 control names.  Found %1 in ""%2"""
Studio.App.FBXAnimatedHeadImporter.MissingBase2,"Error message when importing FBX file.  ""corrective"" is a technical term that refers to a corrective shape that is used to handle bad deformation.  Please ensure the appropriate technical term is used in the translation for ""corrective"".","Failed importing head with facial animation: ""%1"" has not been specified. This is needed for corrective ""%2"".","Failed importing head with facial animation: ""%1"" has not been specified. This is needed for corrective ""%2""."
Studio.App.FBXAnimatedHeadImporter.MissingKeyFrame2,"Error message when importing FBX file.  ""key frame"" refers to an animation frame between which other frames are interpolated.  Please use the appropriate technical term for ""key frame"".",Failed importing head with facial animation: Missing key frame %1 for %2,Failed importing head with facial animation: Missing key frame %1 for %2
