Key,Context,Source,en-us
Studio.App.GenerativeAI.AgreeAndContinue,,Agree and Continue,Agree and Continue
Studio.App.GenerativeAI.AskAssistant,Ask Assistant will open the assistant window,Ask Assistant,Ask Assistant
Studio.App.GenerativeAI.BetaWelcome,,"How can I help you today? If you need ideas:
- <b>Answering questions:</b> ""Can you explain..."" 
- <b>Build simple scenes:</b> ""Create a..."" 
- <b>Add code:</b> ""Write a script to..."" 
- <b>Explain code:</b> ""Explain the selected code."" 

 I'm still learning, so I may not be able to help with everything. You can always ask, though.","How can I help you today? If you need ideas:
- <b>Answering questions:</b> ""Can you explain..."" 
- <b>Build simple scenes:</b> ""Create a..."" 
- <b>Add code:</b> ""Write a script to..."" 
- <b>Explain code:</b> ""Explain the selected code."" 

 I'm still learning, so I may not be able to help with everything. You can always ask, though."
Studio.App.GenerativeAI.ClearAllMessages,,Clear All Messages,Clear All Messages
Studio.App.GenerativeAI.ClickToSwapAssetVariation,Generic instructive text to show in the Assistant when telling the user to click to choose one of many different assets to swap between.,Click on any variation to swap the asset.,Click on any variation to swap the asset.
Studio.App.GenerativeAI.ClickToSwapVariation,,Click on any variation to swap the model.,Click on any variation to swap the model.
Studio.App.GenerativeAI.Continue,,Continue,Continue
Studio.App.GenerativeAI.CopiedToClipboard,,Copied to clipboard,Copied to clipboard
Studio.App.GenerativeAI.DataCollection.Content,,"We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we use data for the purpose of generative AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>Accepting these terms will not affect your ability to change your sharing preferences</b></li><li><b>You are in control:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. This toggle is enabled by default, but you can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 6/20/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 08/20/2024</li></ul>","We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we use data for the purpose of generative AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>Accepting these terms will not affect your ability to change your sharing preferences</b></li><li><b>You are in control:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. This toggle is enabled by default, but you can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 6/20/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 08/20/2024</li></ul>"
Studio.App.GenerativeAI.DataCollection.ContentUpdated,,"We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we process data for the purpose of AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>You can control what you share:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. The toggle is set by default to allow data sharing. You can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 6/26/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 08/26/2024</li><li><b>Accepting these Supplemental Terms will not affect your ability to change your sharing preferences.</b></li></ul>","We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we process data for the purpose of AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>You can control what you share:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. The toggle is set by default to allow data sharing. You can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 6/26/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 08/26/2024</li><li><b>Accepting these Supplemental Terms will not affect your ability to change your sharing preferences.</b></li></ul>"
Studio.App.GenerativeAI.DataCollection.DialogContent,,"We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we process data for the purpose of AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>You can control what you share:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. The toggle is set by default to allow data sharing. You can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 07/10/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 09/10/2024</li><li><b>Accepting these Supplemental Terms will not affect your ability to change your sharing preferences.</b></li></ul>","We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we process data for the purpose of AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>You can control what you share:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. The toggle is set by default to allow data sharing. You can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 07/10/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 09/10/2024</li><li><b>Accepting these Supplemental Terms will not affect your ability to change your sharing preferences.</b></li></ul>"
Studio.App.GenerativeAI.DataCollection.DialogContentContinueUpdated,,"We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we process data for the purpose of AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>You can control what you share:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. The toggle is set by default to allow data sharing. You can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 07/10/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 09/10/2024</li><li><b>By selecting ""Continue"" below, you agree to the <a href='%1'>Supplemental Terms</a>;</b> agreeing to the Supplemental Terms will not affect your ability to change your sharing preferences.</li></ul>","We are updating our data use policy. Please review the <a href='%1'>Supplemental Terms</a>. We are making these updates to address the way we process data for the purpose of AI training to develop better tools that support your creation process.<br/><br/> Here is what you need to know:<ul><li><b>You can control what you share:</b> When you save or publish a new creation, you will see a new toggle that allows you to control what you share to improve generative AI. The toggle is set by default to allow data sharing. You can change this from Creator Hub.</li><li><b>No retroactive data sharing:</b> Any experience, avatar or avatar items that you created prior to 07/10/2024 will be set to not sharing by default.</li><li><b>Policy update takes effect in 60 days:</b> We will not start collecting or training with the data you share until 09/10/2024</li><li><b>By selecting ""Continue"" below, you agree to the <a href='%1'>Supplemental Terms</a>;</b> agreeing to the Supplemental Terms will not affect your ability to change your sharing preferences.</li></ul>"
Studio.App.GenerativeAI.DataCollection.Header,,<b>We are updating our data use policy to build better tools for our creators</b>,<b>We are updating our data use policy to build better tools for our creators</b>
Studio.App.GenerativeAI.DataCollection.Nudge.CloseStudio,,Close Studio,Close Studio
Studio.App.GenerativeAI.DataCollection.Nudge.GoBack,,Go Back,Go Back
Studio.App.GenerativeAI.DataCollection.Nudge.Header,,"<b>Closing this dialog will close Studio, are you sure?</b>","<b>Closing this dialog will close Studio, are you sure?</b>"
Studio.App.GenerativeAI.DataCollection.Nudge.MainContent,,The legal consent dialog for our updated <a href='%1'>Supplemental Terms</a> will be displayed next time you open Studio.,The legal consent dialog for our updated <a href='%1'>Supplemental Terms</a> will be displayed next time you open Studio.
Studio.App.GenerativeAI.DataCollection.SupplementalTerms.1,Supplemental terms for AI Based tools pulled from https://en.help.roblox.com/hc/en-us/articles/20121392440212-AI-Based-Tools-Supplemental-Terms-and-Disclaimer. This is paragraph 1,"Roblox provides certain generative AI-based tools (collectively, ""Tools"") as an option to facilitate your creation of content and experiences including, for example, by providing suggestions or answering questions, generating and explaining code, executing, and automating actions in Studio, and expediting generation of meshes, textures, materials, and avatars. The Tools include the features accessible through Roblox Assistant. BY PROCEEDING OR USING ANY SUCH TOOLS, YOU ACKNOWLEDGE, ACCEPT AND AGREE TO THE BELOW. IF YOU DO NOT AGREE, YOU MAY NOT USE STUDIO.","Roblox provides certain generative AI-based tools (collectively, ""Tools"") as an option to facilitate your creation of content and experiences including, for example, by providing suggestions or answering questions, generating and explaining code, executing, and automating actions in Studio, and expediting generation of meshes, textures, materials, and avatars. The Tools include the features accessible through Roblox Assistant. BY PROCEEDING OR USING ANY SUCH TOOLS, YOU ACKNOWLEDGE, ACCEPT AND AGREE TO THE BELOW. IF YOU DO NOT AGREE, YOU MAY NOT USE STUDIO."
Studio.App.GenerativeAI.DataCollection.SupplementalTerms.2,Supplemental terms for AI Based tools pulled from https://en.help.roblox.com/hc/en-us/articles/20121392440212-AI-Based-Tools-Supplemental-Terms-and-Disclaimer. This is paragraph 2.,"The Tools are all part of the ""Services"" as defined in the Roblox Terms of Use (the ""Terms""). Capitalized terms not separately defined in these AI-Based Tools Supplemental Terms and Disclaimer (these ""Supplemental Terms"") have the meanings ascribed to them in the Terms. Your use of the Tools is voluntary and is subject to the Terms, including the Creator Terms, the Privacy and Cookie Policy, and the Roblox Community Standards, in addition to these Supplemental Terms. You remain responsible for ensuring that all content, including code, images, textures and any other UGC that you make available on the Services, including UGC suggested by any of the Tools, complies with the Terms and these Supplemental Terms. Among other things, you must (i) use the Tools in a lawful manner and in compliance with all applicable laws, (ii) use the Tools in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity; (iii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to the Tools; (iv) not obtain or share sensitive personal information of others; (v) not generate unsafe, uncivil, or any other prohibited UGC; and (vi) not input any data or content for which you do not have all necessary rights to use in the Tools. You also should not input any personally identifiable information in the Tools.","The Tools are all part of the ""Services"" as defined in the Roblox Terms of Use (the ""Terms""). Capitalized terms not separately defined in these AI-Based Tools Supplemental Terms and Disclaimer (these ""Supplemental Terms"") have the meanings ascribed to them in the Terms. Your use of the Tools is voluntary and is subject to the Terms, including the Creator Terms, the Privacy and Cookie Policy, and the Roblox Community Standards, in addition to these Supplemental Terms. You remain responsible for ensuring that all content, including code, images, textures and any other UGC that you make available on the Services, including UGC suggested by any of the Tools, complies with the Terms and these Supplemental Terms. Among other things, you must (i) use the Tools in a lawful manner and in compliance with all applicable laws, (ii) use the Tools in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity; (iii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to the Tools; (iv) not obtain or share sensitive personal information of others; (v) not generate unsafe, uncivil, or any other prohibited UGC; and (vi) not input any data or content for which you do not have all necessary rights to use in the Tools. You also should not input any personally identifiable information in the Tools."
