Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.VRStatus.Plugin.Name,,,VR Status,VR Status,حالة الواقع الافتراضي,VR-Status,Estado de RV,Statut VR,VR स्टेटस,Status VR,Stato VR,VR状況,VR 상태,Status VR,Estado de RV,,สถานะ VR,VR Durumu,Trạng Thái VR,VR 状态,VR 状态,VR 狀態
Studio.VRStatus.Plugin.Toolbar,,,VRStatus,VRStatus,VRStatus,VRStatus,VRStatus,VRSstatus,VRStatus,Status VR,VRStatus,VRStatus,VRStatus,VRStatus,VRStatus,,VRStatus,VR Durumu,VRStatus,VR 状态,VR 状态,VRStatus
Studio.VRStatus.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Alternar,Activer/désactiver,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.VRStatus.Plugin.Description,,,Toggles the Template plugin window.,Toggles the Template plugin window.,يبدِّل نافذة المكون الإضافي للقالب.,Schaltet das Vorlagen-Plugin-Fenster um.,Alterna la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,टेम्प्लेट प्लग-इन विंडो को टॉगल करता है.,Menyalakan/mematikan jendela plugin Templat.,Attiva/disattiva la finestra del plugin Modello.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in z szablonami.,Alterna a janela do plugin de modelos.,,เปิด/ปิดหน้าต่างปลั๊กอินเทมเพลต,Taslak eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Mẫu.,切换模板插件窗口。,切换模板插件窗口。,切換範本外掛程式視窗。
Studio.VRStatus.Plugin.Text,,,Example Text!,Example Text!,نص اختباري كمثال!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Questo è un testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.VRStatus.AlertDialog.OkButtonText,,,Ok,Ok,موافق,OK,Aceptar,Ok,ठीक है,Oke,OK,了解,확인,OK,OK,,ตกลง,Tamam,Ok,好的,好的,確定
Studio.VRStatus.AlertDialog.NoDeviceDetected,,,No VR Device detected. Please connect device and restart studio.,No VR Device detected. Please connect device and restart studio.,لم يتم اكتشاف جهاز واقع افتراضي. يرجى توصيل الجهاز وإعادة تشغيل studio.,Kein VR-Gerät erkannt. Bitte verbinde das Gerät und starte Studio neu.,No se detectó ningún dispositivo RV. Conecta el dispositivo y reinicia Studio.,Aucun appareil VR détecté. Connecter l'appareil et redémarrer Studio.,कोई VR डिवाइस नहीं मिला. कृपया डिवाइस कनेक्ट करें और Studio को रीस्टार्ट करें.,Perangkat VR tidak terdeteksi. Hubungkan perangkat dan mulai ulang studio.,Nessun dispositivo VR rilevato. Collega il dispositivo e riavvia Studio.,VRデバイスが検知されませんでした。デバイスを接続してStudioを再起動してください。,VR 기기가 감지되지 않았습니다. 기기를 연결하고 Studio를 다시 시작하세요.,Nie wykryto urządzenia VR. Podłącz urządzenie i uruchom aplikację Studio ponownie.,Nenhum dispositivo RV detectado. Conecte o dispositivo e reinicie o estúdio.,,ไม่พบอุปกรณ์ VR โปรดเชื่อมต่ออุปกรณ์และรีสตาร์ท Studio,VR cihazı tespit edilmedi. Lütfen cihazı bağla ve Studio'yu yeniden başlat.,Không tìm thấy thiết bị VR. Vui lòng kết nối thiết bị và khởi động lại studio.,未检测到 VR 设备。请连接设备并重启 Studio。,未检测到 VR 设备。请连接设备并重启 Studio。,未偵測到任何 VR 裝置。請連接裝置並重新啟動 Studio。
Studio.VRStatus.StatusButton.Tooltip,,,Display current VR connection status.,Display current VR connection status.,عرض حالة اتصال الواقع الافتراضي الحالية.,Zeige den aktuellen VR-Verbindungsstatus an.,Muestra el estado actual de la conexión RV.,Afficher l'état actuel de la connexion VR.,मौजूदा VR कनेक्शन का स्टेटस दिखाएँ.,Menampilkan status koneksi VR saat ini.,Visualizza lo stato corrente della connessione VR.,現在のVR接続状況を表示。,현재 VR 연결 상태를 표시합니다.,Wyświetl bieżący status połączenia VR.,Exibir o status atual da conexão RV.,,แสดงสถานะการเชื่อมต่อ VR ปัจจุบัน,Mevcut VR bağlantı durumunu gösterir.,Hiển thị trạng thái kết nối VR hiện tại.,显示当前 VR 连接状态。,显示当前 VR 连接状态。,顯示目前 VR 連線狀態。
Studio.VRStatus.StatusButton.Title,,,Status,Status,الحالة,Status,Estado,Statut,स्टेटस,Status,Stato,状況,상태,Status,Status,,สถานะ,Durum,Trạng Thái,状态,状态,狀態
Studio.VRStatus.AlertDialog.Detected,,,detected,detected,تم الكشف,erkannt,detectado,détecté,खोजा गया/पता चला,terdeteksi,rilevato,検出済み,감지됨,wykryto,detectado,,ตรวจพบแล้ว,tespit edildi,đã phát hiện,已检测到,已检测到,已偵測
Studio.VRStatus.AlertDialog.ModeOn,,,VR Mode On,VR Mode On,وضع الواقع الافتراضي قيد التشغيل,VR-Modus aktiviert,Modo RV activado,Mode VR activé,VR मोड चालू,Mode VR Menyala,Modalità VR attiva,VRモード：オン,VR 모드 켜기,Tryb VR włączony,Modo RV Ativado,,เปิดโหมด VR,VR Modu Açık,Chế Độ VR Bật,VR 模式开启,VR 模式开启,VR 模式開啟
Studio.VRStatus.AlertDialog.ModeOff,,,VR Mode Off,VR Mode Off,وضع الواقع الافتراضي متوقف,VR-Modus deaktiviert,Modo RV desactivado,Mode VR désactivé,VR मोड बंद,Mode VR Mati,Modalità VR non attiva,VRモード：オフ,VR 모드 끄기,Tryb VR wyłączony,Modo RV desligado,,ปิดโหมด VR,VR Modu Kapalı,Chế Độ VR Tắt,VR 模式关闭,VR 模式关闭,VR 模式關閉
