Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AttenuationCurveEditor.Plugin.Text,,,Example Text!,Example Text!,نص اختباري كمثال!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Questo è un testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.AttenuationCurveEditor.Plugin.Name,,,Attenuation Curve Editor,Attenuation Curve Editor,محرر منحنى التخفيف,Dämpfungs-Kurven-Editor,Editor de curvas de atenuación,Éditeur de courbes d'atténuation,एटेनुएशन कर्व एडिटर,Editor Kurva Pelemahan,Editor delle curve di attenuazione,減衰曲線編集,감쇠 커브 편집기,Edytor krzywych osłabiania,Editor de curvas de atenuação,,ตัวแก้ไขด้วยเส้นโค้งการลดทอน,Kesilme Eğrisi Düzenleyici,Trình Chỉnh Sửa Đường Cong Suy Giảm,衰减曲线编辑器,衰减曲线编辑器,衰減曲線編輯器
Studio.AttenuationCurveEditor.Control.Delete,,,Delete,Delete,حذف,Löschen,Eliminar,Supprimer,डिलीट करें,Hapus,Elimina,削除,삭제,Usuń,Excluir,,ลบ,Sil,Xóa,删除,删除,刪除
Studio.AttenuationCurveEditor.Label.Distance,,,Distance,Distance,المسافة,Entfernung,Distancia,Distance,दूरी,Jarak,Distanza,距離,거리,Odległość,Distância,,ระยะทาง,Mesafe,Khoảng Cách,距离,距离,距離
Studio.AttenuationCurveEditor.Control.Save,,,Save,Save,حفظ,Speichern,Guardar,Enregistrer,सेव करें,Simpan,Salva,保存,저장,Zapisz,Salvar,,บันทึก,Kaydet,Lưu,保存,保存,儲存
Studio.AttenuationCurveEditor.Control.Reset,,,Reset,Reset,إعادة تعيين,Zurücksetzen,Restablecer,Réinitialiser,रीसेट करें,Reset,Ripristina,リセット,재설정,Zresetuj,Redefinir,,รีเซ็ต,Sıfırla,Đặt Lại,重置,重置,重置
Studio.AttenuationCurveEditor.Label.Volume,,,Volume,Volume,المستوى,Lautstärke,Volumen,Volume,वॉल्यूम,Volume,Volume,ボリューム,볼륨,Wielkość,Volume,,ระดับเสียง,Ses Seviyesi,Âm Lượng,音量,音量,音量
Studio.AttenuationCurveEditor.Label.Inverse,,,Inverse,Inverse,عكس,Umgekehrt,Inverso,Inverser,इनवर्स,Terbalik,Inverso,反転,역,Odwrotne,Inversa,,กลับด้าน,Tersine,Đảo Nghịch,反向,反向,反向
Studio.AttenuationCurveEditor.Label.LinearSquared,,,Linear Squared,Linear Squared,خطي تربيعي,Linear quadratisch,Cuadrado lineal,Carré linéaire,लीनियर स्क्वायर्ड,Linear Kotak,Quadrato lineare,線形スクエア,선형 제곱,Liniowe kwadratowe,Linear quadrada,,แนวตรงยกกำลังสอง,Doğrusal Kareli,Bình Phương Tuyến Tính,线性平方,线性平方,線性方形
Studio.AttenuationCurveEditor.Label.InverseTapered,,,Inverse Tapered,Inverse Tapered,مقلوب مستدق,Umgekehrt verjüngt,Inverso ahusado,Conique inversé,इनवर्स टेपर्ड,Terbalik Mengecil,Rastrematura inversa,逆テーパー,역으로 테이퍼드됨,Odwrotne stożkowe,Inversa decrescente,,เรียวลงแบบกลับด้าน,Tersine Daralan,Giảm Đảo Nghịch,反向锥形,反向锥形,反向錐形
Studio.AttenuationCurveEditor.Label.Linear,,,Linear,Linear,خطي,Linear,Lineal,Linéaire,लीनियर,Linear,Lineare,リニア,선형,Liniowe,Linear,,แนวตรง,Doğrusal,Tuyến Tính,线性,线性,線性
Studio.AttenuationCurveEditor.Label.Custom,,,Custom,Custom,تخصيص,Benutzerdefiniert,Personalizar,Personnalisé,कस्टम,Kustom,Personalizzazione,カスタマイズ,사용자 정의,Niestandardowe,Personalizada,,กำหนดเอง,Özel,Tùy Chỉnh,自定义,自定义,自訂
Studio.AttenuationCurveEditor.Label.Min,,,Min,Min,الحد الأدنى,Min,Mín.,Min,कम से कम,Min,Min,最小,최소,Min.,Mín.,,ต่ำสุด,Min.,Tối Thiểu,最低,最低,最小
Studio.AttenuationCurveEditor.Label.Max,,,Max,Max,الحد الأقصى,Max,Máx.,Max,ज़्यादा से ज़्यादा,Maks,Max,最大,최대,Maks.,Máx.,,สูงสุด,Maks.,Tối Đa,最高,最高,最大
