Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PerformanceTools.SceneBudgetThermometer.Plugin.Toolbar,,,Performance Tools,Performance Tools,أدوات الأداء,Leistungstools,Herramientas de rendimiento,Outils de performance,परफ़ॉर्मेंस टूल्स,Alat Performa,Strumenti prestazioni,パフォーマンスツール,성능 도구,Narzędzia związane z wydajnością,Ferramentas de desempenho,,เครื่องมือประสิทธิภาพ,Performans Araçları,Công Cụ Đo Hiệu Suất,,,效能工具
Studio.PerformanceTools.SceneBudgetThermometer.Name,,,Scene Budget Thermometer,Scene Budget Thermometer,مؤشر ميزانية أداء المشهد,Szenenbudget-Thermometer,Termómetro del presupuesto de escena,Thermomètre du budget scène,सीन बजट थर्मामीटर,Pemantau Anggaran Adegan,Termometro del budget di scena,,씬 예산 온도계,Wskaźnik wykorzystania budżetu sceny,Termômetro de orçamento de cena,,ที่วัดงบประมาณฉาก,Sahne Performans Sınırı Ölçüm Aracı,Hiệu Suất Kế Của Ngân Sách Cảnh,,,場景預算溫度計
Studio.PerformanceTools.SceneBudgetThermometer.Button,,,Scene Budget Thermometer,Scene Budget Thermometer,مؤشر ميزانية أداء المشهد,Szenenbudget-Thermometer,Termómetro del presupuesto de escena,Thermomètre du budget scène,सीन बजट थर्मामीटर,Pemantau Anggaran Adegan,Termometro del budget di scena,,씬 예산 온도계,Wskaźnik wykorzystania budżetu sceny,Termômetro de orçamento de cena,,ที่วัดงบประมาณฉาก,Sahne Performans Sınırı Ölçüm Aracı,Hiệu Suất Kế Của Ngân Sách Cảnh,,,場景預算溫度計
Studio.PerformanceTools.SceneBudgetThermometer.Description,,,A tool that can help creators measure the performance of their experience.,A tool that can help creators measure the performance of their experience.,أداة يمكن أن تساعد المصمّمين على قياس أداء تجربتهم.,"Ein Tool, mit dem Creators die Leistung ihrer Experience messen können.",Una herramienta que puede ayudar a los creadores a medir el rendimiento de su experiencia.,Un outil qui peut aider les créateurs à mesurer la performance de leur expérience.,"एक ऐसा टूल, जो क्रिएटर्स को उनके एक्सपीरिएंस की परफ़ॉर्मेंस मापने में मदद करता है.",Alat yang dapat membantu kreator mengukur performa pengalaman virtual mereka.,Uno strumento che aiuta i creatori a misurare le prestazioni della loro esperienza.,,크리에이터가 체험의 성능을 측정하는 데 도움을 주는 도구입니다.,"Narzędzie, które pomaga twórcom w pomiarze wskaźników wydajności projektu.",Uma ferramenta que pode ajudar os criadores a medir o desempenho de sua experiência.,,เครื่องมือที่ช่วยครีเอเตอร์วัดประสิทธิภาพของประสบการณ์ของพวกเขา,"Yaratıcılara, deneyimlerin performansını ölmeleri konusunda yardımcı olan bir ölçüm aracı.",Công cụ có thể giúp nhà sáng tạo đo lường hiệu suất trải nghiệm.,,,可協助創作者衡量其體驗效能的工具。
Studio.PerformanceTools.SceneBudgetThermometer.Tooltip.SceneTrianglesBar,,,"The number of geometry ""Scene"" triangles currently in view","The number of geometry ""Scene"" triangles currently in view","عدد المثلثات المعروضة حاليًا للتصميم الهندسي ""للمشهد""","Die Anzahl der Dreiecke der Geometrie ""Szene"", die gerade angezeigt werden",El número de triángulos de geometría de escena actualmente a la vista,Le nombre de triangles géométriques « Scène » actuellement affichés,"फ़िलहाल, व्यू में ज्योमेट्री ""सीन"" ट्राएंगल्स की संख्या","Jumlah segitiga ""Adegan"" geometri yang saat ini ditampilkan","Il numero di triangoli della ""scena"" geometrica nella vista corrente",,"현재 보이는 지오메트리 ""씬"" 삼각형 수",Liczba trójkątów geometrii sceny w bieżącym widoku,"O número de triângulos de geometria da ""cena"" atualmente em vista",,"จำนวนของสามเหลี่ยมของ ""ฉาก"" แบบรูปทรงเรขาคณิตที่อยู่ในมุมมองในขณะนี้","Görünümdeki ""Sahne"" geometrisine ait mevcut üçgenlerin sayısı.","Số lượng tam giác hình học trong ""Cảnh"" hiện đang hiển thị",,,目前視野中幾何「場景」三角形的數量
Studio.PerformanceTools.SceneBudgetThermometer.DrawcallsScene,,,Drawcalls (Scene),Drawcalls (Scene),استدعاءات الرسم (المشهد),Drawcalls (Szene),Llamadas de dibujo (Escena),Appels de tirage (scène),ड्रॉ-कॉल्स (सीन),Drawcall (Adegan),Draw call (scena),ドローコール（シーン）,드로우콜(씬),Wywołania rysowania (scena),Chamadas de desenhos (cena),,Drawcall (ฉาก),Çizim Çağrıları (Sahne),Drawcalls (trong Cảnh),,,繪製呼叫數（場景）
Studio.PerformanceTools.SceneBudgetThermometer.Geometry,,,Geometry,Geometry,التصميم الهندسي,Geometrie,Geometría,Géométrie,ज्योमेट्री,Geometri,Geometria,ジオメトリ,지오메트리,Geometria,Geometria,,รูปทรงเรขาคณิต,Geometri,Hình Học,,,幾何
Studio.PerformanceTools.SceneBudgetThermometer.Tooltip.SceneDrawcallsBar,,,"The number of geometry ""Scene"" drawcalls currently in view","The number of geometry ""Scene"" drawcalls currently in view","عدد استدعاءات الرسم المعروضة حاليًا للتصميم الهندسي ""للمشهد""","Die Anzahl der Drawcalls der Geometrie ""Szene"", die gerade angezeigt werden",El número de llamadas a dibujo de la geometría de escena actualmente a la vista,Nombre d'appels de dessin de géométrie « Scène » actuellement affichés,"फ़िलहाल, व्यू में ज्योमेट्री ""सीन"" ड्रॉ-कॉल्स की संख्या","Jumlah drawcall ""Adegan"" geometri yang saat ini ditampilkan",Il numero di draw call (scena) di geometria nella vista corrente,,"현재 보이는 지오메트리 ""씬"" 드로우콜 수",Liczba wywołań rysowania geometrii sceny w bieżącym widoku,"O número de chamadas de desenho de geometria da ""cena""  atualmente em vista",,"จำนวนของ drawcall ของ ""ฉาก"" แบบรูปทรงเรขาคณิตที่อยู่ในมุมมองในขณะนี้","Görünümdeki ""Sahne"" geometrisine ait mevcut çizim çağrısı sayısı.","Số lượng drawcall hình học trong ""Cảnh"" hiện đang hiển thị",,,目前視野中幾何「場景」繪製呼叫的數量
Studio.PerformanceTools.SceneBudgetThermometer.FrameRenderTime,,,Per-Frame Game Render Time,Per-Frame Game Render Time,الوقت المخصص لعرض اللعبة حسب كل إطار,Spiel-Renderzeit pro Bild,Tiempo de renderizado del juego por fotograma,Temps de rendu du jeu par image,हर-फ़्रेम के हिसाब से गेम रेंडर का समय,Waktu Render Game Per Frame,Tempo di rendering del gioco per fotogramma,,프레임당 게임 렌더링 시간,Czas renderowania gry na klatkę,Tempo de renderização por quadro do jogo,,เวลาการเรนเดอร์ของเกมต่อเฟรม,Kare Başına Oyun İşleme Süresi,Thời Gian Kết Xuất Mỗi Khung Hình Trong Trò Chơi,,,每個影格的遊戲成像時間
Studio.PerformanceTools.SceneBudgetThermometer.PerFrameTaskTime,,,Per-Frame Task Time,Per-Frame Task Time,الوقت المخصص للمهمة حسب كل إطار,Prozesszeit pro Bild,Tiempo de tarea por fotograma,Temps de tâche par image,हर-फ़्रेम के हिसाब से टास्क का समय,Waktu Tugas Per Frame,Tempo di attività per fotogramma,,프레임당 작업 시간,Czas zadania na klatkę,Tempo da tarefa por quadro,,เวลาทาสก์ต่อเฟรม,Kare Başına Görev Süresi,Thời Gian Xử Lý Tác Vụ Trên Mỗi Khung Hình,,,每個影格的工作時間
