Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PlaceAnnotations.Plugin.Name,,,Comments,Comments,التعليقات,Kommentare,Comentarios,Commentaires,कमेंट्स,Komentar,Commenti,コメント,코멘트,Komentarze,Comentários,,ความคิดเห็น,Yorumlar,Bình Luận,评论,评论,註解
Studio.PlaceAnnotations.Plugin.Toolbar,,,Place Annotations,Place Annotations,وضع التعليقات التوضيحية,Anmerkungen platzieren,Anotaciones de lugar,Placer des annotations,प्लेस एनोटेशन,Tempatkan Anotasi,Annotazioni sul posto,注釈をつける,플레이스 주석,Wstaw adnotacje,Colocar Anotações,,วางหมายเหตุประกอบ,Not Ekle,Chú Thích Về Địa Điểm,放置注释,放置注释,地點註釋
Studio.PlaceAnnotations.Plugin.Button,,,Place Annotations,Place Annotations,وضع التعليقات التوضيحية,Anmerkungen platzieren,Anotaciones de lugar,Placer des annotations,प्लेस एनोटेशन,Tempatkan Anotasi,Annotazioni sul posto,注釈をつける,플레이스 주석,Wstaw adnotacje,Colocar Anotações,,วางหมายเหตุประกอบ,Not Ekle,Chú Thích Về Địa Điểm,放置注释,放置注释,地點註釋
Studio.PlaceAnnotations.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,خنزير الماء لطيف!,Capybaras sind süß!,¡Los capibaras son lindos!,Les capybaras sont mignons !,कैपीबरा प्यारे होते हैं!,Capybaras are cute!,I capibara sono carini!,カピバラはかわいい！,귀여운 카피바라!,Kapibary są słodkie!,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,Kapibaralar çok şirin!,Chuột lang thật dễ thương!,卡皮巴拉很可爱！,卡皮巴拉很可爱！,水豚很可愛！
Studio.PlaceAnnotations.Plugin.Description,,,A template for all your studio plugin needs!,A template for all your studio plugin needs!,قالب لجميع احتياجاتك من مكونات studio الإضافية!,Eine Vorlage für alle deine Studio-Plugins!,Una plantilla para todos tus plugins de Studio.,Un modèle pour tous tes besoins de plugin Studio !,आपके studio प्लग-इन की सभी ज़रूरतों के लिए एक टेम्पलेट!,Templat untuk semua kebutuhan plugin studiomu!,Un modello per tutte le tue esigenze di plugin per Studio!,Studioプラグインに関するあらゆるニーズに対応するテンプレート！,모든 Studio 플러그인 니즈를 충족하는 템플릿!,"Szablon, który zaspokoi wszystkie twoje potrzeby związane z dodatkami plug-in w Studio!",Um modelo para todas as suas necessidades de plugins do Studio!,,เทมเพลตสำหรับทุกความต้องการของปลั๊กอิน Studio ของคุณ!,Studio'daki tüm eklenti ihtiyaçlarını karşılayacak bir taslak!,Một mẫu dành cho mọi nhu cầu plugin studio của bạn!,可满足你所有 Studio 插件需求的模版！,可满足你所有 Studio 插件需求的模版！,可滿足您所有 Studio 外掛程式需求的範本！
Studio.PlaceAnnotations.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,لقد ضغطت علي {counter} مرات!,Du hast mich {counter} mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,आपने मुझे {counter} बार दबाया!,You pressed me {counter} times!,Mi hai premuto {counter} volte!,{counter} 回押しました,날 {counter}번이나 눌렀군요!,Naciśnięto mnie {counter} razy!,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,Buraya {counter} kez bastın!,Bạn đã nhấn tôi {counter} lần!,你按了我 {counter} 次了！,你按了我 {counter} 次了！,您按了我 {counter} 次！
Studio.PlaceAnnotations.CounterExample.Button,,,Push me!,Push me!,ادفعني!,Drück mich!,¡Presióname!,Pousse-moi !,मुझे पुश करें!,Push me!,Premimi!,押す,날 밀어요!,Naciśnij mnie!,Me aperte!,,กดฉันสิ!,Buraya bas!,Hãy nhấn tôi đi!,按下我！,按下我！,按下我！
Studio.PlaceAnnotations.AddAnnotation.PlaceholderText,,,Add a comment,Add a comment,إضافة تعليق,Kommentar hinzufügen,Añadir un comentario,Ajouter un commentaire,कमेंट जोड़ें,Tambahkan komentar,Aggiungi un commento,コメントを追加,코멘트 추가,Dodaj komentarz,Adicionar um comentário,,เพิ่มความคิดเห็น,Yorum ekle,Thêm nhận xét,添加评论,添加评论,新增註解
Studio.PlaceAnnotations.AddAnnotation.Submit,,,Submit,Submit,إرسال,Absenden,Enviar,Soumettre,सबमिट करें,Kirim,Invia,送信,제출,Prześlij,Enviar,,ส่ง,Gönder,Gửi,提交,提交,提交
Studio.PlaceAnnotations.AddAnnotation.Cancel,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,,ยกเลิก,İptal,Hủy bỏ,取消,取消,取消
