Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AvatarCompatibilityPreviewer.AssetPalettes.TShirts,,,T-Shirts,T-Shirts,تي شيرت,T-Shirts,Camisetas,T-shirts,टी-शर्ट्स,Kaus,Magliette,Tシャツ,티셔츠,Koszulki,Camisetas,,เสื้อยืด,Tişörtler,Áo Thun,T 恤,T 恤,T 恤
Studio.AvatarCompatibilityPreviewer.AssetType.TShirtAccessory,,,T-Shirt,T-Shirt,تي شيرت,T-Shirt,Camiseta,T-Shirt,टी-शर्ट,Kaus,Maglietta,Tシャツ,티셔츠,Koszulka,Camiseta,,เสื้อยืด,Tişört,Áo Thun,T 恤,T 恤,T 恤
Studio.AvatarCompatibilityPreviewer.Plugin.Name,,,Avatar Setup,Avatar Setup,إعداد الأفاتار,Avatareinrichtung,Configuración de avatar,Configuration de l'avatar,अवतार सेटअप,Pengatur Avatar,Configurazione dell'avatar,アバター設定,아바타 설정,Konfiguracja awatara,Configuração de avatar,,การตั้งค่าอวาตาร์,Avatar Kurulumu,Cài Đặt Hình Đại Diện,虚拟形象设置,虚拟形象设置,虛擬人偶設定
Studio.AvatarCompatibilityPreviewer.Plugin.Toolbar,,,Avatar Setup,Avatar Setup,إعداد الأفاتار,Avatareinrichtung,Configuración de avatar,Configuration de l'avatar,अवतार सेटअप,Pengatur Avatar,Configurazione dell'avatar,アバター設定,아바타 설정,Konfiguracja awatara,Configuração de avatar,,การตั้งค่าอวาตาร์,Avatar Kurulumu,Cài Đặt Hình Đại Diện,虚拟形象设置,虚拟形象设置,虛擬人偶設定
Studio.AvatarCompatibilityPreviewer.Plugin.Button,,,Preview Avatar,Preview Avatar,معاينة الأفاتار,Vorschau des Avatars,Vista previa del avatar,Prévisualiser Avatar,अवतार प्रीव्यू करें,Preview Avatar,Anteprima dell'avatar,アバターをプレビュー,아바타 미리 보기,Podgląd awatara,Visualizar avatar,,ดูตัวอย่างอวาตาร์,Avatarı ön izle,Xem Trước Avatar,预览虚拟形象,预览虚拟形象,預覽虛擬人偶
Studio.AvatarCompatibilityPreviewer.Plugin.Description,,,Opens the Avatar Setup,Opens the Avatar Setup,فتح إعداد الأفاتار,Öffnet die Avatareinrichtung,Abre Configuración de avatar,Ouvre la configuration de l'avatar,इससे अवतार सेटअप खुल जाता है,Membuka Pengatur Avatar,Apre la Configurazione dell'avatar,アバター設定を開く,아바타 설정을 엽니다,Otwiera konfigurację awatara,Abre a configuração de avatar,,เปิดการตั้งค่าอวาตาร์,Avatar kurulumunu açar,Mở Cài Đặt Hình Đại Diện,打开虚拟形象设置,打开虚拟形象设置,開啟虛擬人偶設定工具
Studio.AvatarCompatibilityPreviewer.Plugin.Text,,,Example Text!,Example Text!,نص اختباري كمثال!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Testo di esempio!,テキストの例！,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Emotions,,,Movement,Movement,الحركة,Bewegung,Movimiento,Mouvement,मूवमेंट,Gerakan,Movimento,動き,이동,Ruch,Movimento,,การเคลื่อนไหว,Hareket,Chuyển Động,移动,移动,移動
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Locomotion,,,Locomotion,Locomotion,التنقل,Fortbewegung,Locomoción,Locomotion,लोकोमोशन,Lokomosi,Locomozione,ロコモーション,로코모션,Poruszanie się,Locomoção,,การเคลื่อนไหว,Devinme,Sự Di Động,角色移动,角色移动,移動
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Jackets,,,Jackets,Jackets,جواكيت,Jacken,Chaquetas,Vestes,जैकेट,Jaket,Giacche,ジャケット,재킷,Kurtki,Jaqueta,,เสื้อแจ็คเก็ต,Ceketler,Áo Khoác,外套,外套,夾克
Studio.AvatarCompatibilityPreviewer.AssetPalettes.Sweaters,,,Sweaters,Sweaters,سترات,Pullover,Suéteres,Pulls,स्वेटर,Sweter,Maglioni,セーター,스웨터,Bluzy,Moletons,,เสื้อสเวตเตอร์,Kazaklar,Áo Len,毛衣,毛衣,外套
