Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AudioEqualizerEditor.Plugin.Name,,,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,AudioEqualizerEditor,,AudioEqualizerEditor,Ses Frekansı Düzenleyici,AudioEqualizerEditor,,,AudioEqualizerEditor
Studio.AudioEqualizerEditor.Plugin.Button,,,Audio Equalizer Editor,Audio Equalizer Editor,محرر موازن الصوت,Audio-Equalizer-Editor,Editor de ecualizador de audio,Éditeur audio égaliseur,ऑडियो इक्वलाइज़र एडिटर,Editor Equalizer Audio,Editor dell'equalizzatore audio,音響イコライザー編集,오디오 이퀄라이저 편집기,Edytor korektora dźwięku,Editor equalizador de áudio,,เครื่องมือแก้ไขอีควอไลเซอร์เสียง,Ses Frekansı Düzenleyici,Trình Chỉnh Sửa Bộ Cân Bằng Âm Thanh,,,音訊等化編輯器
Studio.AudioEqualizerEditor.Plugin.Description,,,A template for all your studio plugin needs!,A template for all your studio plugin needs!,قالب لجميع احتياجاتك من مكونات studio الإضافية!,Eine Vorlage für alle deine Studio-Plugins!,Una plantilla para todos tus plugins de Studio.,Un modèle pour tous tes besoins de plugin Studio !,आपके स्टूडियो प्लग-इन की सभी ज़रूरतों के लिए एक टेम्पलेट!,Templat untuk semua kebutuhan plugin studiomu!,Un modello per tutte le tue esigenze di plugin per Studio!,Studioプラグインに関するあらゆるニーズに対応するテンプレート！,모든 Studio 플러그인 니즈를 충족하는 템플릿!,"Szablon, który zaspokoi wszystkie twoje potrzeby związane z dodatkami plug-in w Studio!",Um modelo para todas as suas necessidades de plugins do Studio!,,เทมเพลตสำหรับทุกความต้องการของปลั๊กอิน Studio ของคุณ!,Studio'daki tüm eklenti ihtiyaçlarını karşılayacak bir taslak!,Một mẫu dành cho mọi nhu cầu plugin studio của bạn!,,,可滿足您所有 Studio 外掛程式需求的範本！
Studio.AudioEqualizerEditor.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,خنزير الماء لطيف!,Capybaras sind süß!,¡Los capibaras son lindos!,Les capybaras sont mignons !,कैपीबरा प्यारे होते हैं!,Capybaras are cute!,I capibara sono carini!,カピバラはかわいい！,귀여운 카피바라!,Kapibary są słodkie!,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,Kapibaralar çok şirin!,Chuột lang thật dễ thương!,,,水豚很可愛！
Studio.AudioEqualizerEditor.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,لقد ضغطت علي {counter} مرات!,Du hast mich {counter} mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,आपने मुझे {counter} बार दबाया!,You pressed me {counter} times!,Mi hai premuto {counter} volte!,{counter} 回押しました,날 {counter}번이나 눌렀군요!,Naciśnięto mnie {counter} razy!,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,Buraya {counter} kez bastın!,Bạn đã nhấn tôi {counter} lần!,,,您按了我 {counter} 次！
Studio.AudioEqualizerEditor.CounterExample.Button,,,Push me!,Push me!,ادفعني!,Drück mich!,¡Presióname!,Poussez moi !,मुझे पुश करें!,Push me!,Premimi!,押す,날 밀어요!,Naciśnij mnie!,Me aperte!,,กดฉันสิ!,Buraya bas!,Hãy nhấn tôi đi!,,,按下我！
Studio.AudioEqualizerEditor.Label.EnableAnalyzer,,,Enable Analyzer,Enable Analyzer,تمكين المحلل,Analyzer aktivieren,Activar analizador,Activer l'Analyseur,एनालाइज़र चालू करें,Aktifkan Penganalisis,Abilita analizzatore,アナライザーを有効化,분석기 활성화,Włącz analizator,Ativar analisador,,เปิดใช้งานเครื่องมือวิเคราะห์,Analizciyi etkinleştir,Bật Bộ Phân Tích,,,啟用分析儀
Studio.AudioEqualizerEditor.Label.ControlPoint_M,,,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M,M,,,M
Studio.AudioEqualizerEditor.Label.Bypass,,,Bypass,Bypass,تجاوز,Bypass,Saltar,Bypass,बाईपास,Bypass,Ignora,回避,우회,Obejście,Ignorar,,บายพาส,Atla,Vượt Qua,,,跳過
Studio.AudioEqualizerEditor.Label.ControlPoint_L,,,L,L,L,L,L,L,L,L,L,L,L,L,L,,L,L,L,,,L
Studio.AudioEqualizerEditor.Label.ControlPoint_H,,,H,H,H,H,H,H,H,H,H,H,H,H,H,,H,H,H,,,H
Studio.AudioEqualizerEditor.Plugin.AudioEqualizerEditor,,,AudioEqualizer Editor,AudioEqualizer Editor,محرر AudioEqualizer,AudioEqualizer-Editor,Editor AudioEqualizador,Éditeur AudioEqualizer,AudioEqualizer एडिटर,Editor AudioEqualizer,Editor Equalizzatore audio,AudioEqualizer 編集,AudioEqualizer 편집기,Edytor AudioEqualizer,Editor do equalizador de áudio,,เครื่องมือแก้ไข AudioEqualizer,AudioEqualizer Düzenleyici,Trình Chỉnh Sửa AudioEqualizer,,,音訊等化編輯器
