Key,Context,Source,en-us
Studio.CommandBar.Description.MultilineToggleCommandDescription,Description of the multiline mode toggle command for use in the shortcut customization menu,Switch between single-line and multi-line modes in the Command Bar,Switch between single-line and multi-line modes in the Command Bar
Studio.CommandBar.Description.MultilineToggleCommandName,Name of the multiline mode toggle (e.g. switch the mode on and off) command for use in the shortcut customization menu,Toggle multi-line mode,Toggle multi-line mode
Studio.CommandBar.Description.SaveToggleCommandDescription,Description of the command that lets you either save or unsave (depending on if it is already saved) an entered (user-defined) command for use in the shortcut customization menu,Save / unsave the current command in the command bar,Save / unsave the current command in the command bar
Studio.CommandBar.Description.SaveToggleCommandName,Name of the command that lets you either save or unsave (depending on if it is already saved) an entered (user-defined) command for use in the shortcut customization menu,Save/unsave command,Save/unsave command
Studio.CommandBar.Description.ShowHistoryCommandDescription,Description of the show history toggle command for use in the shortcut customization menu,Show menu with recently executed and saved commands,Show menu with recently executed and saved commands
Studio.CommandBar.ExecutionOption.Local,Commands will execute locally (as opposed to on the TeamCreate Server),Local Execution,Local Execution
Studio.CommandBar.ExecutionOption.Remote,Commands will execute remotely on the TeamCreate Server.,Cloud Execution,Cloud Execution
Studio.CommandBar.Label.CommandBarRun,Proper noun for a singular run of a command within the command bar,Command Bar Run,Command Bar Run
Studio.CommandBar.Label.CommandHistoryTooltip,"Tooltip for button that, when clicked, pulls up the command history drawer within command bar, which includes recent and saved commands ran within the bar previously.",Command history,Command history
Studio.CommandBar.Label.ExecuteCommandTooltip,"Tooltip label for executing (same as running) a command, where the ""%1"" is a placeholder for a keyboard shortcut explainer",Execute command %1,Execute command %1
Studio.CommandBar.Label.PlaceholderText,"Placeholder text that appears when the command bar is empty, where the ""%1+%2%3"" is a placeholder for history navigation keyboard shortcut information.",Type a command or use %1+%2%3 for history,Type a command or use %1+%2%3 for history
Studio.CommandBar.Label.Run,Verb to run a command (implicitly within the command bar),Run,Run
Studio.CommandBar.Label.RunCommandInStandaloneDM,"Label that informs users that toggling a checkbox would allow them to run a command (of code, in the command bar) within the context of the Standalone Datamodel",Run command in Standalone DataModel,Run command in Standalone DataModel
Studio.CommandBar.Label.SaveCommandTooltip,"Tooltip for button to save (effectively ""pinning"") the current command entered within the command bar for future use",Save command,Save command
Studio.CommandBar.Label.Standalone,"Used as shorthand label referring to ""Standalone DataModel"" within studio.",Standalone,Standalone
Studio.CommandBar.Label.SwitchToMultilineTooltip,Tooltip label for button that switches the command bar from single-line mode to multi-line mode,Switch to multi-line mode,Switch to multi-line mode
Studio.CommandBar.Label.SwitchToSinglelineTooltip,Tooltip label for button that switches the command bar from multi-line mode to single-line mode,Switch to single-line mode,Switch to single-line mode
Studio.CommandBar.Label.UnsaveCommandTooltip,"Tooltip for button to unsave (""unpinning"" / undoing the save of) the current command entered within the command bar.",Unsave command,Unsave command
