Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.ConvertToPackage.General.Description,Description,Description,Descripción,Description,Descrizione,説明,설명,Descrição,Описание,描述,描述,說明
Studio.ConvertToPackage.General.Title,Title,Title,Título,Titre,Titolo,題名,제목,Título,Название,标题,标题,名稱
Studio.ConvertToPackage.General.Error,Error,Error,Error,Erreur,Errore,エラー,오류,Erro,Ошибка,错误,错误,錯誤
Studio.ConvertToPackage.Meta.PluginName,Convert To Package,Convert To Package,Convertir en paquete,Convertir en package,Converti in pacchetto,パッケージに変換,패키지로 전환,Converter para pacote,Преобразовать в пакет,转换为包,转换为包,轉換成套件
Studio.ConvertToPackage.Action.Submit,Submit,Submit,Enviar,Soumettre,Invia,送信,제출,Enviar,Завершить,提交,提交,提交
Studio.ConvertToPackage.General.Submit,Submit,Submit,Enviar,Soumettre,Invia,送信,제출,Enviar,Завершить,提交,提交,提交
Studio.ConvertToPackage.General.Comments,Allow Comments,Allow Comments,Permitir comentarios,Permettre des commentaires,Permetti commenti,コメントを許可する,코멘트 허용,Permitir comentários,Разрешить комментарии,允许评论,允许评论,允許留言
Studio.ConvertToPackage.General.ConvertToPackageFailed,Convert to package failed,Convert to package failed,Error en la conversión del paquete,La conversion en package n'a pas réussie,Impossibile convertire in pacchetto,パッケージ変換できませんでした,패키지 전환 실패,Falha ao converter para pacote,Преобразование в пакет не удалось,转换为包失败,转换为包失败,無法轉換成套件
Studio.ConvertToPackage.General.Ownership,Ownership,Ownership,Propiedad,Propriété,Proprietà,所有権,소유권,Propriedade,Владелец,所有权,所有权,所有權
Studio.ConvertToPackage.General.Me,Me,Me,Yo,Moi,Io,自分,나,Eu,Я,我,我,我
Studio.ConvertToPackage.General.YouMayFindPackagesInToolbox,You may find your packages in Toolbox.,You may find your packages in Toolbox.,Puedes encontrar tu paquete en la Caja de herramientas.,Tu peux trouver tes packages dans la boîte à outils.,Puoi trovare i tuoi pacchetti in Toolbox.,ツールボックスでお持ちのパッケージが見つかるかもしれません。,패키지는 도구 상자에서 찾을 수 있습니다.,Você pode encontrar seus pacotes na Caixa de ferramentas.,Пакет находится в разделе «Панель инструментов».,你可以在工具箱中找到所有包。,你可以在工具箱中找到所有包。,您可以在工具箱裡找到套件。
Studio.ConvertToPackage.General.InstanceFail,Convert to Package failed due to invalid objects,Convert to Package failed due to invalid objects,Error en la conversión a paquete debido a objetos no válidos,La conversion en package a échoué en raison d'objets non valides,Impossibile convertire in pacchetto a causa di oggetti non validi,パッケージに変換が無効なオブジェクトによって実行できませんでした,개체가 유효하지 않아 패키지로 전환하지 못했습니다,Falha ao converter para pacote devido a objetos inválidos,Преобразование в пакет не удалось: неверные объекты,由于对象无效，转换为包失败,由于对象无效，转换为包失败,偵測到無效物件，無法轉換成套件
Studio.ConvertToPackage.General.ChooseOne,Choose One,Choose One,Elegir uno,En choisir un,Scegli,一つ選ぶ,하나 선택,Escolher um,Выберите один,选择一个,选择一个,選擇一個
Studio.ConvertToPackage.General.OK,OK,OK,Aceptar,OK,OK,OK,확인,OK,ОК,确认,确认,確定
Studio.ConvertToPackage.General.DiscardMessage,Would you like to discard all changes?,Would you like to discard all changes?,¿Quieres descartar todos los cambios?,Souhaites-tu rejeter tous les changements ?,Vuoi scartare tutte le modifiche?,すべての変更を破棄しますか。,모든 변경 사항을 제거할까요?,Deseja descartar todas as alterações?,Отменить все изменения?,确定放弃所有更改吗?,确定放弃所有更改吗?,確定捨棄所有變更？
Studio.ConvertToPackage.General.GetAssetFailed,There was a problem fetching asset data.,There was a problem fetching asset data.,Ha habido un problema al recuperar los datos del recurso.,Il y a eu un problème pour récupérer les données sur les assets.,Si è verificato un problema nel recupero dei dati di risorsa.,アセットデータの取得中に問題が発生。,애셋 데이터를 가져오는 중에 문제가 발생했습니다.,Ocorreu um problema ao buscar os dados do ativo.,Возникла проблема при получении данных доступа.,获取素材数据时出现问题。,获取素材数据时出现问题。,擷取素材資料時發生錯誤。
Studio.ConvertToPackage.Action.Discard,Discard,Discard,Descartar,Rejeter,Elimina,破棄,제거,Descartar,Сбросить,丢弃,丢弃,捨棄
Studio.ConvertToPackage.General.SuccessfullyConverted,Successfully Converted!,Successfully Converted!,¡Convertido correctamente!,Conversion réussie !,Conversione effettuata!,変換できました！,전환 성공!,Convertido com sucesso!,Преобразование завершено!,转换成功!,转换成功!,轉換成功！
Studio.ConvertToPackage.Action.Cancel,Cancel,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,Отмена,取消,取消,取消
Studio.ConvertToPackage.Action.Close,Close,Close,Cerrar,Fermer,Chiudi,閉じる,닫기,Fechar,Закрыть,关闭,关闭,關閉
Studio.ConvertToPackage.Action.Converting,Converting,Converting,Convirtiendo,Convertir,Conversione,変換中,변환 중,Convertendo, ,转换中,转换中,正在轉換
