Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TagEditor.Plugin.Name,,,Tag Editor,Tag Editor,محرر العلامات,Tag-Editor,Editor de etiquetas,Éditeur de tags,टैग एडिटर,Editor Tag,Editor etichette,タグ編集,태그 편집기,Edytor tagów,Editor de marcadores,,เครื่องมือแก้ไขแท็ก,Etiket Düzenleyici,Trình Chỉnh Sửa Thẻ,标记编辑器,标记编辑器,標籤編輯器
Studio.TagEditor.Plugin.Toolbar,,,Tag Editor,Tag Editor,محرر العلامات,Tag-Editor,Editor de etiquetas,Éditeur de tags,टैग एडिटर,Editor Tag,Editor etichette,タグ編集,태그 편집기,Edytor tagów,Editor de marcadores,,เครื่องมือแก้ไขแท็ก,Etiket Düzenleyici,Trình Chỉnh Sửa Thẻ,标记编辑器,标记编辑器,標籤編輯器
Studio.TagEditor.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Alternar,Activer/désactiver,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,토글,Przełącz,Alternador,,เปิด/ปิด,Aç/Kapa,Bật/tắt,切换,切换,切換
Studio.TagEditor.Plugin.Description,,,Toggles the Template plugin window.,Toggles the Template plugin window.,يبدِّل نافذة المكون الإضافي للقالب.,Schaltet das Vorlagen-Plugin-Fenster um.,Activar la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,टेम्प्लेट प्लग-इन विंडो को टॉगल करता है.,Menyalakan/mematikan jendela plugin Templat.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 토글합니다.,Włącza/wyłącza okno dodatku plug-in z szablonami.,Alterna a janela do plugin de modelos.,,เปิด/ปิดหน้าต่างปลั๊กอินเทมเพลต,Taslak eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Mẫu.,切换样板插件窗口。,切换样板插件窗口。,切換樣板外掛程式視窗。
Studio.TagEditor.Groups.NewGroup,,,New Group,New Group,مجموعة جديدة,Neue Gruppe,Nuevo grupo,Nouveau groupe,नया ग्रुप,Grup Baru,Nuovo gruppo,新規グループ,새 그룹,Nowa grupa,Novo grupo,,กลุ่มใหม่,Yeni grup,Nhóm Mới,新群组,新群组,新群組
Studio.TagEditor.Groups.None,,,None,None,لا شيء,Keine,Ninguno,Aucun,कुछ भी नहीं,Tidak Ada,Nessuno,なし,없음,Brak,Nenhum(a),,ไม่มี,Yok,Không Có,无,无,無
Studio.TagEditor.Info.AlwaysOnTop,,,Always on top,Always on top,دائما في الأعلى,Immer oben,Siempre encima,Toujours au dessus,हमेशा ऊपर,Selalu di atas,Sempre in cima,常に一番上,항상 위,Zawsze na wierzchu,Sempre na frente,,อยู่ด้านบนสุดเสมอ,Her zaman üstte,Luôn ở trên cùng,总在最前面,总在最前面,永遠置頂
Studio.TagEditor.Info.Color,,,Color,Color,اللون,Farbe,Color,Couleur,रंग,Warna,Colore,色,색상,Kolor,Cor,,สี,Renk,Màu Sắc,颜色,颜色,顏色
Studio.TagEditor.Info.SelectTaggedInstances,,,Select Tagged Instances,Select Tagged Instances,حدد الحالات الموسومة,Getaggte Instanzen auswählen,Seleccionar instancias etiquetadas,Sélectionner les instances taggées,टैग किए गए इंस्टेंस चुनें,Pilih Instance yang Memiliki Tag,Seleziona istanze etichettate,タグ付きインスタンスを選択,태그가 지정된 인스턴스 선택,Zaznacz instancje z tagami,Selecionar instâncias marcadas,,เลือกอินสแตนซ์ที่มีแท็ก,Etiketli örnekleri seç,Chọn Đối Tượng Được Gắn Thẻ,选择有标签的实例,选择有标签的实例,選擇套用標籤的個體
Studio.TagEditor.Info.Group,,,Group,Group,المجموعة,Gruppe,Grupo,Groupe,ग्रुप,Grup,Gruppo,グループ,그룹,Grupuj,Grupo,,กลุ่ม,Grup,Nhóm,群组,群组,群組
