Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.MaterialPicker.Plugin.Name,,,Material Picker,Material Picker,منتقي المواد,Materialwähler,Selector de materiales,Sélecteur de matériaux,मटीरियल पिकर,Pemilih Material,Prelevatore di materiale,素材ピッカー,재질 선택기,Selektor materiałów,Seletor de materiais,,เครื่องมือเลือกวัสดุ,Malzeme Seçici,Bộ Chọn Vật Liệu,,,材質選擇器
Studio.MaterialPicker.Plugin.Toolbar,,,MaterialPicker,MaterialPicker,MaterialPicker,MaterialPicker,MaterialPicker,Sélection de Matériel,MaterialPicker,MaterialPicker,MaterialPicker,MaterialPicker,MaterialPicker,MaterialPicker,MaterialPicker,,MaterialPicker,Malzeme Seçici,Bộ Chọn Vật Liệu,,,MaterialPicker
Studio.MaterialPicker.Plugin.Description,,,Choose materials to apply to objects in the scene,Choose materials to apply to objects in the scene,اختر المواد لتطبيقها على الكائنات في المشهد,Materialien für Objekte in der Szene auswählen,Elige los materiales para aplicar a los objetos en la escena,Choisir les matériaux à appliquer aux objets de la scène,सीन में मौजूद ऑब्जेक्ट्स पर अप्लाई करने के लिए मटीरियल चुनें,Pilih material yang akan diterapkan ke objek dalam adegan,Scegli i materiali da applicare agli oggetti nella scena,シーン内のオブジェクトに適用する素材を選択,씬 개체에 적용할 재질을 선택하세요,"Wybierz materiały, które chcesz zastosować do obiektów w ramach sceny",Escolha materiais para aplicar a objetos na cena,,เลือกวัสดุเพื่อปรับใช้กับวัตถุในฉาก,Sahnedeki nesnelere uygulayacağın malzemeleri seç,Chọn vật liệu áp dụng cho các đối tượng trong cảnh,,,選擇要套用到場景中物件的材質
Studio.MaterialPicker.Plugin.Button,,,Material,Material,المادة,Material,Material,Matériau,मटीरियल,Material,Materiale,素材,재질,Materiał,Material,,วัสดุ,Malzeme,Vật Liệu,,,材質
Studio.MaterialPicker.Filters.Recents,,,Recents,Recents,الأحدث,Zuletzt verwendet,Recientes,Récents,रीसेंट,Baru-Baru Ini,Recenti,最近使用,최근,Ostatnie,Recentes,,ล่าสุด,Son,Gần Đây,,,近期
Studio.MaterialPicker.Filters.AppliedInPlace,,,Applied,Applied,تم التطبيق,Angewendet,Aplicado,Appliqué,लागू किया गया,Diterapkan,Applicati,適用済み,적용됨,Zastosowane,Aplicado,,ปรับใช้แล้ว,Uygulanmış,Đã Áp Dụng,,,已套用
Studio.MaterialPicker.Filters.CustomMaterials,,,Custom,Custom,تخصيص,Benutzerdefiniert,Personalizado,Personnalisé,कस्टम करें,Kustom,Personalizzati,カスタマイズ,사용자 정의,Niestandardowe,Personalizado,,กำหนดเอง,Özel,Tùy Chỉnh,,,自訂
Studio.MaterialPicker.Filters.DefaultMaterials,,,Default,Default,افتراضي,Standard,Predeterminado,Par défaut,डिफ़ॉल्ट,Default,Predefiniti,初期設定,기본,Domyślne,Padrão,,ค่าเริ่มต้น,Varsayılan,Mặc Định,,,預設
Studio.MaterialPicker.SearchBar.SearchMaterials,,,Search Materials,Search Materials,البحث في المواد,Materialien suchen,Buscar materiales,Rechercher des matériaux,सर्च मटीरियल,Cari Material,Cerca materiali,素材をサーチ,재질 검색,Wyszukaj materiały,Pesquisar materiais,,ค้นหาวัสดุ,Malzeme ara,Tìm Kiếm Vật Liệu,,,搜尋材質
Studio.MaterialPicker.ViewToggle.GridView,,,Grid View,Grid View,طريقة عرض الشبكة,Rasteransicht,Vista de la cuadrícula,Vue de la grille,ग्रिड व्यू,Tampilan Kisi,Vista a griglia,グリッド表示,그리드 뷰,Widok siatki,Visualização de grade,,มุมมองแบบกริด,Kılavuz Görünümü,Xem Dạng Lưới,,,網格檢視
Studio.MaterialPicker.ViewToggle.ListView,,,List View,List View,طريقة عرض القائمة,Listenansicht,Vista de la lista,Vue Liste,लिस्ट व्यू,Tampilan Daftar,Vista a elenco,リスト表示,목록 뷰,Widok listy,Visualização de lista,,มุมมองรายการ,Liste Görünümü,Xem Dạng Danh Sách,,,清單檢視
Studio.MaterialPicker.MainView.MaterialGeneratorButton,,,Generate,Generate,إنشاء,Generieren,Generar,Générer,जेनरेट करें,Buat,Genera,生成,생성,Wygeneruj,Gerar,,สร้าง,Oluştur,Tạo,,,生成
Studio.MaterialPicker.MainView.MaterialManagerButton,,,Material Manager,Material Manager,مدير المواد,Material-Manager,Gestor de materiales,Gestionnaire des matériaux,मटीरियल मैनेजर,Material Manager,Material Manager,素材管理,재질 관리자,Menedżer materiałów,Gerenciador de materiais,,เครื่องมือจัดการวัสดุ,Malzeme Yöneticisi,Trình Quản Lý Vật Liệu,,,材質管理器
