Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.ExplorerLibrary.HistoryDropdown.TitleText,,,History,History,السجل,Verlauf,Historial,Historique,हिस्ट्री,Histori,Cronologia,履歴,기록,Historia,Histórico,,ประวัติ,Geçmiş,Lịch Sử,历史记录,历史记录,歷史紀錄
Studio.ExplorerLibrary.SearchBar.PlaceholderText,,,Search,Search,بحث,Suche,Buscar,Rechercher,सर्च करें,Pencarian,Cerca,サーチ,검색,Wyszukaj,Pesquisar,,ค้นหา,Ara,Tìm kiếm,搜索,搜索,搜尋
Studio.ExplorerLibrary.SearchBrowser.ResultCountSingular,,,1 match,1 match,مطابقة واحدة,1 Übereinstimmung,1 coincidencia,1 correspondance,1 मैच,1 hasil pencarian,1 corrispondenza,1件一致,1개 일치,Liczba wyszukań: 1,1 resultado,,ตรงกัน 1 รายการ,1 eşleşme,1 kết quả khớp,1 个匹配项,1 个匹配项,1 個相符結果
Studio.ExplorerLibrary.SearchBrowser.ResultCountPlural1,,,{resultCount:int} matches,{resultCount:int} matches,{resultCount:int} مطابقات,{resultCount:int} Übereinstimmungen,{resultCount:int} coincidencias,{resultCount:int} correspondances,{resultCount:int} मैच,{resultCount:int} hasil pencarian,{resultCount:int} corrispondenze,{resultCount:int} 件一致,{resultCount:int}개 일치,Liczba wyszukań: {resultCount:int},{resultCount:int} resultados,,ตรงกัน {resultCount:int} รายการ,{resultCount:int} eşleşme,{resultCount:int} kết quả khớp,{resultCount:int} 个匹配项,{resultCount:int} 个匹配项,{resultCount:int} 個相符結果
Studio.ExplorerLibrary.SyntaxDropdown.Properties,,,Properties,Properties,الخصائص,Eigenschaften,Propiedades,Propriétés,प्रॉपर्टीज़,Properti,Proprietà,プロパティ,속성,Właściwości,Propriedades,,คุณสมบัติ,Özellikler,Thuộc Tính,属性,属性,屬性
Studio.ExplorerLibrary.SettingsDropdown.ExpandHierarchy,,,Expand Hierarchy When Selecting in Viewport,Expand Hierarchy When Selecting in Viewport,توسيع التسلسل الهرمي عند التحديد في إطار العرض,Hierarchie beim Auswählen im Ansichtsfenster erweitern,Expandir jerarquía al seleccionar en la vista,Développer la hiérarchie lors de la sélection dans la fenêtre de visualisation,व्यूपोर्ट में सिलेक्शन करते समय हाइरार्की को बड़ा करें,Perluas Hierarki Saat Memilih di Viewport,Espandi gerarchia durante la selezione nella finestra,ビューポートで選択するときに階層を展開,뷰포트에서 선택 시 계층 확장,Rozwiń hierarchię podczas zaznaczania w oknie podglądu,Expandir hierarquia ao selecionar na tela de visualização,,ขยายลำดับชั้นเมื่อทำการเลือกใน Viewport,Görünüm Penceresinde seçim yapıldığında Hiyerarşiyi genişlet,Mở Rộng Hệ Thống Phân Cấp Khi Chọn Trong Khung Nhìn,在视图中选择时展开层次结构,在视图中选择时展开层次结构,在視角中選取時展開階層
Studio.ExplorerLibrary.SettingsDropdown.IncrementalNames,,,Incremental Names for New Instances,Incremental Names for New Instances,أسماء متزايدة للحالات الجديدة,Inkrementelle Namen für neue Instanzen,Nombres incrementales para nuevas instancias,Noms incrémentiels pour les nouvelles instances,नए इंस्टेंस के लिए इंक्रीमेंटल नाम,Nama Inkremental untuk Instance Baru,Nomi incrementali per nuove istanze,新規インスタンスの増分演算子名,새로운 인스턴스에 대해 증분 이름,Przyrostowe nazwy nowych instancji,Nomes incrementais para novas instâncias,,ชื่อแบบเพิ่มสูงขึ้นสำหรับอินสแตนซ์ใหม่,Yeni Örnekler için ardışık isimler,Tên Tăng Dần cho Phiên Bản Mới,新实例的增量名称,新实例的增量名称,新個體的增量名稱
Studio.ExplorerLibrary.SettingsDropdown.SelectOnInsertion,,,Select Instance After Insert,Select Instance After Insert,تحديد الحالة بعد الإدراج,Instanz nach Einfügen auswählen,Seleccionar instancia después de insertar,Sélectionner une instance après l'insertion,इंसर्ट करने के बाद इंस्टैंस चुनें,Pilih Instance Setelah Dimasukkan,Seleziona istanza dopo l'inserimento,挿入後にインスタンスを選択,삽입 후 인스턴스 선택,Zaznacz instancję po wstawieniu,Selecione a instância após a inserção,,เลือกอินสแตนซ์หลังจากที่แทรก,Eklemeden sonra Örnek seç,Chọn Phiên Bản Sau Khi Chèn,在插入后选择实例,在插入后选择实例,插入後選擇個體
Studio.ExplorerLibrary.SyntaxDropdown.SyntaxGuide,,,Syntax Guide,Syntax Guide,دليل القواعد البرمجية,Syntax-Anleitung,Guía de sintaxis,Guide de la syntaxe,सिंटेक्स गाइड,Panduan Sintaksis,Guida sintassi,構文ガイド,구문 가이드,Przewodnik dotyczący składni,Guia de sintaxe,,คู่มือวากยสัมพันธ์,Sözdizimi Rehberi,Hướng Dẫn Về Cú Pháp,语法指南,语法指南,語法指南
Studio.ExplorerLibrary.SearchBrowser.ResultCountPlural_v2_1,,,{resultCount} matches,{resultCount} matches,{resultCount} مطابقات,{resultCount} Übereinstimmungen,{resultCount} coincidencias,{resultCount} correspondances,{resultCount} मैच,{resultCount} hasil pencarian,{resultCount} corrispondenze,{resultCount} 件一致,{resultCount}개 일치,Liczba wyszukań: {resultCount},{resultCount} resultados,,ตรงกัน {resultCount} รายการ,{resultCount} eşleşme,{resultCount} kết quả khớp,{resultCount} 个匹配项,{resultCount} 个匹配项,{resultCount} 個相符結果
