Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.SystemMenu.Title.Performance,,,Performance,Performance,الأداء,Leistung,Rendimiento,Performance,परफ़ॉर्मेंस,Performa,Prestazioni,パフォーマンス,성능,Wydajność,Desempenho,,ประสิทธิภาพ,Performans,Hiệu Năng,性能,性能,效能
Studio.SystemMenu.Title.NetworkSummary,,,Network Summary,Network Summary,ملخص الشبكة,Netzwerkzusammenfassung,Resumen de red,Résumé réseau,नेटवर्क की समरी,Ringkasan Jaringan,Sommario rete,ネットワーク概要,네트워크 요약,Podsumowanie działań w sieci,Resumo da rede,,ข้อมูลสรุปเครือข่าย,Ağ Özeti,Tóm Tắt Mạng,网络摘要,网络摘要,網路摘要
Studio.SystemMenu.Title.Plugins,,,Plugins,Plugins,المكونات الإضافية,Plug-ins,Plugins,Plugins,प्लग-इन,Plugin,Plug-in,プラグイン,플러그인,Dodatki plug-in,Plugins,,ปลั๊กอิน,Eklentiler,Plugin,插件,插件,外掛程式
Studio.SystemMenu.Title.StudioSettings,,,Studio Settings,Studio Settings,إعدادات Studio,Studio-Einstellungen,Configuración de Studio,Paramètres Studio,Studio सेटिंग्स,Pengaturan Studio,Impostazioni Studio,Studio設定,Studio 설정,Ustawienia Studio,Configurações do Studio,,การตั้งค่า Studio,Studio Ayarları,Cài Đặt Studio,Studio 设置,Studio 设置,Studio 設定
Studio.SystemMenu.Title.Recent,,,Recent,Recent,مؤخرًا,Zuletzt verwendet,Reciente,Récent,हाल ही का,Terakhir Dibuka,Recenti,最近使用,최근,Ostatnie,Recentes,,ล่าสุด,Yeni,Gần Đây,近期,近期,近期
Studio.SystemMenu.Title.OpenFromRoblox,,,Open from Roblox,Open from Roblox,فتح من Roblox,Aus Roblox öffnen,Abrir de Roblox,Ouvrir depuis Roblox,Roblox से खोलें,Buka dari Roblox,Apri da Roblox,Robloxから開く,Roblox에서 열기,Otwórz z platformy Roblox,Abrir da Roblox,,เปิดจาก Roblox,Roblox'tan aç,Mở từ Roblox,从 Roblox 打开,从 Roblox 打开,從 Roblox 開啟
Studio.SystemMenu.Title.OpenFromFile,,,Open from File,Open from File,فتح من ملف,Aus Datei öffnen,Abrir de un archivo,Ouvrir depuis un fichier,फ़ाइल से खोलें,Buka dari File,Apri da file,ファイルから開く,파일에서 열기,Otwórz z pliku,Abrir do arquivo,,เปิดจากไฟล์,Dosyadan aç,Mở từ Tệp,从文件打开,从文件打开,從檔案開啟
Studio.SystemMenu.Title.ExportAsObj,,,Export as .obj,Export as .obj,تصدير بتنسيق ‎.obj,Als .obj exportieren,Exportar como .obj,Exporter en .obj,.obj के तौर पर एक्सपोर्ट करें,Ekspor sebagai .obj,Esporta come .obj,Objとしてエクスポート,.obj로 내보내기,Wyeksportuj jako .obj,Exportar como .obj,,ส่งออกเป็น .obj,.obj olarak dışa aktar,Xuất dưới dạng .obj,导出至 .obj,导出至 .obj,匯出為 .obj
Studio.SystemMenu.Title.DownloadACopy,,,Download a Copy,Download a Copy,تنزيل نسخة,Kopie herunterladen,Descargar una copia,Télécharger une copie,कॉपी डाउनलोड करें,Download Salinan,Scarica una copia,コピーをダウンロード,사본 다운로드,Pobierz kopię,Baixar uma cópia,,ดาวน์โหลดสำเนา,Kopyasını indir,Tải Xuống Bản Sao,下载副本,下载副本,下載複本
Studio.SystemMenu.Title.StartStudioTour,,,Start Studio Tour,Start Studio Tour,بدء جولة في Studio,Studio-Tour starten,Iniciar Tour de Studio,Commencer le Studio Tour,Studio टूर शुरू करें,Mulai Tur Studio,Inizia il tour di Studio,Studio見学を開始,Studio 투어 시작,Rozpocznij wprowadzenie do Studio,Iniciar Introdução ao Studio,,เริ่มการทัวร์ Studio,Studio turuna başla,Bắt Đầu Tour Tham Quan Studio,开始 Studio 导览,开始 Studio 导览,啟動 Studio 導覽
Studio.SystemMenu.Title.CustomizeShortcuts,,,Customize Shortcuts,Customize Shortcuts,تخصيص الاختصارات,Tastenkombinationen anpassen,Personalizar atajos,Personnaliser raccourcis,शॉर्टकट कस्टमाइज़ करें,Kustomisasi Shortcut,Personalizza scorciatoie,ショートカットをカスタマイズ,바로 가기 사용자 정의,Dostosuj skróty,Personalizar atalhos,,กำหนดทางลัด,Kısayolları özelleştir,Tùy Chỉnh Lối Tắt,自定义快捷键,自定义快捷键,自訂捷徑
