Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.ModerationDialog.CounterExample.Button,,,Push me!,Push me!,ادفعني!,Drück mich!,¡Presióname!,Pousse-moi !,मुझे पुश करें!,Tekan aku!,Premimi!,押す,날 밀어요!,Naciśnij mnie!,Me aperte!,,กดฉันสิ!,Buraya bas!,Hãy nhấn tôi đi!,,,按下我！
Studio.ModerationDialog.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,لقد ضغطت علي {counter} مرات!,Du hast mich {counter} mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,आपने मुझे {counter} बार दबाया!,Kamu menekanku {counter} kali!,Mi hai premuto {counter} volte!,{counter} 回押しました,날 {counter}번이나 눌렀군요!,Naciśnięto mnie {counter} razy!,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,Buraya {counter} kez bastın!,Bạn đã nhấn tôi {counter} lần!,,,您按了我 {counter} 次！
Studio.ModerationDialog.Plugin.Name,,,ModerationDialog,ModerationDialog,ModerationDialog,ModerationDialog,ModerationDialog,Dialogue de modération,ModerationDialog,ModerationDialog,ModerationDialog,ModerationDialog,ModerationDialog,ModerationDialog,ModerationDialog,,ModerationDialog,Denetim İletişim Kutusu,ModerationDialog,,,ModerationDialog
Studio.ModerationDialog.Plugin.Button,,,Moderation Dialog,Moderation Dialog,مربع حوار الإشراف,Moderationsdialog,Diálogo de moderación,Dialogues de modération,मॉडरेशन डायलॉग,Dialog Moderasi,Finestra di dialogo Moderazione,内容審査ダイアログ,검열 대화 상자,Okno dialogowe moderacji,Moderation Dialog,,กล่องโต้ตอบการกลั่นกรอง,Denetim İletişim Kutusu,Hộp Thoại Kiểm Duyệt,,,審核對話框
Studio.ModerationDialog.Plugin.Description,,,A template for all your studio plugin needs!,A template for all your studio plugin needs!,قالب لجميع احتياجاتك من مكونات studio الإضافية!,Eine Vorlage für alle deine Studio-Plugins!,Una plantilla para todos tus plugins de Studio.,Un modèle pour tous tes besoins de plugin Studio !,आपके studio प्लग-इन की सभी ज़रूरतों के लिए एक टेम्पलेट!,Templat untuk semua kebutuhan plugin studiomu!,Un modello per tutte le tue esigenze di plugin per Studio!,Studioプラグインに関するあらゆるニーズに対応するテンプレート！,모든 Studio 플러그인 니즈를 충족하는 템플릿!,"Szablon, który zaspokoi wszystkie twoje potrzeby związane z dodatkami plug-in w Studio!",Um modelo para todas as suas necessidades de plugins do Studio!,,เทมเพลตสำหรับทุกความต้องการของปลั๊กอิน Studio ของคุณ!,Studio'daki tüm eklenti ihtiyaçlarını karşılayacak bir taslak!,Một mẫu dành cho mọi nhu cầu plugin studio của bạn!,,,可滿足您所有 Studio 外掛程式需求的範本！
Studio.ModerationDialog.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,خنزير الماء لطيف!,Capybaras sind süß!,¡Los capibaras son lindos!,Les capybaras sont mignons !,कैपीबरा प्यारे होते हैं!,Kapibara menggemaskan!,I capibara sono carini!,カピバラはかわいい！,귀여운 카피바라!,Kapibary są słodkie!,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,Kapibaralar çok şirin!,Chuột lang thật dễ thương!,,,水豚很可愛！
Studio.ModerationDialog.ReviewedNote.ReviewedDateTime1,,,Reviewed: {dateTime},Reviewed: {dateTime},تمت المراجعة: {dateTime},Überprüft: {dateTime},Revisado: {dateTime},Évalué : {dateTime},रिव्यू किया गया : {dateTime},Di-review: {dateTime},Data della revisione: {dateTime},審査日: {dateTime},검토 완료: {dateTime},Sprawdzono: {dateTime},Revisado: {dateTime},,ตรวจสอบแล้วเมื่อ: {dateTime},İncelendi ({dateTime}),Đã xét duyệt: {dateTime},,,審核時間：{dateTime}
Studio.ModerationDialog.WarningHeader.WarningHeader,,,Warning,Warning,تحذير,Warnung,Advertencia,Avertissement,वॉर्निंग,Peringatan,Avviso,警告,경고,Ostrzeżenie,Avisos,,คำเตือน,Uyarı,Cảnh Báo,,,警告
Studio.ModerationDialog.AbuseType.ContestsandSweepstakes,,,Contests and Sweepstakes,Contests and Sweepstakes,المسابقات والسحوبات,Wettbewerbe und Gewinnspiele,Concursos y sorteos,Concours et loteries,प्रतियोगिताएँ और जुआ,Kontes dan Undian,Concorsi e lotterie,コンテストと懸賞,콘테스트 및 경품 행사,Konkursy i loterie,Concursos e rifas,,การแข่งขันและชิงโชค,Yarışmalar ve Çekilişler,Cuộc Thi Và Cá Cược,,,比賽和抽獎
Studio.ModerationDialog.WarningHeader.WarningBody,,,Our content monitors have determined that your behavior at Roblox has been in violation of our Terms of Use.,Our content monitors have determined that your behavior at Roblox has been in violation of our Terms of Use.,لقد حدد مراقبي المحتوى لدينا أن سلوكك في Roblox يُعدّ انتهاكًا لشروط الاستخدام.,"Unser Inhaltsmoderationsteam hat festgestellt, dass dein Verhalten auf Roblox gegen unsere Nutzungsbedingungen verstoßen hat.",Nuestros moderadores determinaron que tu comportamiento en Roblox infringió nuestros Términos de uso.,Nos moniteurs de contenu ont déterminé que ton comportement chez Roblox est en violation de nos Conditions d’Utilisation.,हमारे कॉन्टेन्ट की निगरानी करने वालों को यह पता चला है कि Roblox में आपका व्यवहार हमारी उपयोग की शर्तों का उल्लंघन करता है.,Pengawas konten kami memutuskan bahwa perilaku kamu di Roblox telah melanggar Ketentuan Penggunaan.,"Dopo il controllo dei contenuti, abbiamo determinato che il tuo comportamento in Roblox ha violato i Termini di servizio.",当社のコンテンツ監視により、あなたのRoblox上での行動が当社の利用規約に違反していると判断しました。,콘텐츠 검열 담당자가 회원님이 Roblox의 이용 약관을 위반한 것으로 판단했습니다.,"Nasz monitoring zawartości wykrył, że twoje zachowanie na platformie Roblox stanowiło naruszenie Warunków użytkowania.",Nossos supervisores de conteúdo determinaram que o seu comportamento na Roblox violou os nossos Termos de Uso.,,ผู้ตรวจสอบเนื้อหาของเราได้พิจารณาแล้วว่าพฤติกรรมของคุณบน Roblox ละเมิดข้อกำหนดการใช้งานของเรา,"İçerik denetleyicilerimiz, Roblox'taki davranışının Kullanım Koşullarımızı ihlal ettiğini belirledi.",Đội ngũ kiểm duyệt nội dung của chúng tôi xác định rằng hành vi của bạn trong Roblox đã vi phạm Điều Khoản Sử Dụng.,,,我們的管理員判定了您在 Roblox 的行為違反了我們的使用條款。
