Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Tutorials.Plugin.Name,,,Tutorials,Tutorials,الدروس التعليمية,Tutorials,Tutoriales,Tutoriels,ट्यूटोरियल,Tutorial,Tutorial,チュートリアル,튜토리얼,Samouczki,Tutoriais,,คู่มือการใช้งาน,Öğreticiler,Hướng Dẫn,教程,教程,教學課程
Studio.Tutorials.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Activar,Activer/désactiver,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.Tutorials.Plugin.Description,,,Toggles the Template plugin window.,Toggles the Template plugin window.,يبدِّل نافذة المكون الإضافي للقالب.,Schaltet das Vorlagen-Plugin-Fenster um.,Activar la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,टेम्प्लेट प्लग-इन विंडो को टॉगल करता है.,Menyalakan/mematikan jendela plugin Templat.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in z szablonami.,Alterna a janela do plugin de modelos.,,เปิด/ปิดหน้าต่างปลั๊กอินเทมเพลต,Taslak eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Mẫu.,切换模板插件窗口。,切换模板插件窗口。,切換範本外掛程式視窗。
Studio.Tutorials.Plugin.Welcome,,,"Welcome to Roblox Studio, %s!","Welcome to Roblox Studio, %s!",مرحبًا بك في Roblox Studio، %s!,"Willkommen bei Roblox Studio, %s!","Te damos la bienvenida a Roblox Studio, %s.","Bienvenue dans Roblox Studio, %s!","Roblox Studio में आपका स्वागत है, %s!","Selamat datang di Roblox Studio, %s!","Benvenuto a Roblox Studio, %s!",%s さん、Roblox Studioへようこそ！,"%s 님, Roblox Studio에 오신 것을 환영합니다!","Witaj w Roblox Studio, %s!","Boas-vindas ao Roblox Studio, %s!",,ยินดีต้อนรับสู่ Roblox Studio คุณ %s!,Roblox Studio'ya hoş geldin %s!,"Chào mừng đến với Roblox Studio, %s!",%s，欢迎来到 Roblox Studio！,%s，欢迎来到 Roblox Studio！,%s，歡迎來到 Roblox Studio！
Studio.Tutorials.Plugin.Title,,,Want to learn the basics? Start the tour to make your first experience.,Want to learn the basics? Start the tour to make your first experience.,هل تريد تعلم الأساسيات؟ ابدأ الجولة للحصول على تجربتك الأولى.,"Möchtest du die Grundlagen lernen? Starte die Tour, um deine erste Experience zu erstellen.",¿Quieres aprender lo básico? Comienza el tour para hacer tu primera experiencia.,Tu veux apprendre les bases ? Commence la visite pour faire ta première expérience.,बुनियादी बातें सीखनी हैं? अपना पहला एक्सपीरिएंस बनाने के लिए टूर शुरू करें.,Ingin belajar dasarnya? Mulai tur untuk membuat pengalaman virtual pertamamu.,Vuoi imparare le basi? Inizia il tour per fare la tua prima esperienza.,基本を学びますか？見学を開始して最初のバーチャル空間を作りましょう。,투어를 통해 기본기를 배우고 첫 체험을 만들어 보세요.,Chcesz poznać podstawy? Zacznij od wprowadzenia i stwórz swój pierwszy projekt.,Quer aprender o básico? Comece a Introdução para fazer sua primeira experiência.,,ต้องการเรียนรู้พื้นฐานใช่ไหม? เริ่มการทัวร์เพื่อสร้างประสบการณ์แรกของคุณ,Temel adımları öğrenmek ister misin? İlk deneyimini hazırlamak için tura başla.,Bạn muốn tìm hiểu những kiến thức cơ bản? Bắt đầu chuyến tham quan để có trải nghiệm đầu tiên của bạn.,想学习基础知识？加入导览，开始你的创作之旅。,想学习基础知识？加入导览，开始你的创作之旅。,想學習基礎知識嗎？請啟動導覽體驗您的第一次學習之旅。
Studio.Tutorials.Plugin.Start,,,Start,Start,بدء,Starten,Empezar,Commencer,शुरू करें,Mulai,Avvia,開始,시작,Rozpocznij,Iniciar,,เริ่ม,Başla,Bắt Đầu,开始,开始,啟動
Studio.Tutorials.Plugin.Next,,,Next,Next,التالي,Weiter,Siguiente,Suivant,आगे जाएँ,Lanjutkan,Successivo,次へ,다음,Dalej,Próximo,,ถัดไป,Sonraki,Tiếp Theo,继续,继续,下一步
Studio.Tutorials.Completed.Title,,,You completed the %s!,You completed the %s!,لقد أكملت %s!,Du hast die %s abgeschlossen!,Completaste el %s.,Tu as terminé le %s !,आपने %s को पूरा कर लिया है!,Kamu menyelesaikan %s!,Hai completato il %s!,%s を完了しました！,%s(을)를 완료했어요!,Ukończono: %s!,Você completou o %s!,,%s เสร็จสมบูรณ์แล้ว!,%s tamamlandı!,Bạn đã hoàn thành %s!,你完成了%s！,你完成了%s！,您完成了 %s！
Studio.Tutorials.Completed.Description,,,Continue building here or visit the Dashboard to choose a different template place.,Continue building here or visit the Dashboard to choose a different template place.,تابع البناء هنا أو تفضل بزيارة لوحة المعلومات لاختيار مكان مختلف للقالب.,"Baue hier weiter oder besuche das Dashboard, um einen anderen Vorlagenort zu wählen.",Continúa construyendo aquí o visita la Interfaz para elegir una plantilla de lugar diferente.,Continue à construire ici ou consulte le tableau de bord pour choisir un autre emplacement de modèle.,यहाँ बिल्ड करना जारी रखें या कोई दूसरा टेम्प्लेट प्लेस चुनने के लिए डैशबोर्ड पर जाएँ.,Lanjutkan membangun di sini atau buka Dasbor untuk memilih tempat lain dari templat.,Continua a costruire qui o visita la Dashboard per scegliere un posto diverso per il modello.,制作を続けるかダッシュボードに行って違うテンプレートのプレースを選びましょう。,여기서 제작을 계속하거나 대시보드를 방문해 다른 템플릿 플레이스를 선택하세요.,"Kontynuuj budowanie tutaj lub przejdź do panelu, aby wybrać inne miejsce z szablonu.",Continue a construir aqui ou visite o Painel para escolher um modelo de local diferente.,,คุณสามารถสร้างโดยใช้สถานที่นี้ต่อไป หรือไปที่แดชบอร์ดเพื่อเลือกเทมเพลตสถานที่อื่นๆ,Burayı inşa etmeye devam edebilir ya da Pano'ya giderek farklı bir mekân taslağı seçebilirsin.,Tiếp tục xây dựng ở đây hoặc truy cập Bảng Điều Khiển để chọn một địa điểm mẫu khác.,继续在此建造或在中心选择其它模板场景。,继续在此建造或在中心选择其它模板场景。,繼續在此建造或前往主控板以選擇不一樣的範本空間。
Studio.Tutorials.Completed.Back,,,Dashboard,Dashboard,لوحة التحكم,Dashboard,Interfaz,Tableau de bord,डैशबोर्ड,Dasbor,Dashboard,ダッシュボード,대시보드,Panel,Painel,,แดชบอร์ด,Pano,Bảng Điều Khiển,主控页面,主控页面,主控板
Studio.Tutorials.Completed.Continue,,,Continue,Continue,متابعة,Fortfahren,Continuar,Continuer,जारी रखें,Lanjutkan,Continua,続ける,계속,Kontynuuj,Continuar,,ดำเนินการต่อ,Devam,Tiếp Tục,继续,继续,繼續
Studio.Tutorials.Tutorial.Begin,,,Begin,Begin,بدء,Beginnen,Empezar,Commencer,शुरू करें,Mulai,Inizia,始める,시작,Rozpocznij,Começar,,เริ่มต้น,Başla,Bắt Đầu,开始,开始,開始
Studio.Tutorials.Tutorial.StepSkipped,,,Step Skipped,Step Skipped,تم تخطي الخطوة,Schritt übersprungen,Paso saltado,Étape ignorée,स्टेप छोड़ा गया,Langkah Dilewati,Passo Saltato,飛ばした内容,단계 건너뜀,Pominięto krok,Etapa ignorada,,ข้ามขั้นตอนแล้ว,Adım atlandı,Bước Bị Bỏ Qua,已跳过步骤,已跳过步骤,步驟已跳過
Studio.Tutorials.Tutorial.SkipStep,,,Skip Step,Skip Step,تخطي الخطوة,Schritt überspringen,Saltar paso,Ignorer l'étape,स्टेप छोड़ें,Lewati Langkah,Salta passo,内容を飛ばす,단계 건너뛰기,Pomiń krok,Pular etapa,,ข้ามขั้นตอน,Adımı atla,Bỏ Qua Bước,跳过步骤,跳过步骤,跳過步驟
