Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.ControlsEmulator.Plugin.Name,,,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,ControlsEmulator,,ControlsEmulator,Kontrol Öykünücüsü,ControlsEmulator,,,ControlsEmulator
Studio.ControlsEmulator.Plugin.Button,,,Controller,Controller,وحدة التحكم,Controller,Controlador,Manette,कंट्रोलर,Kontroler,Controller,コントローラ,컨트롤러,Kontroler,Controle,,เครื่องมือควบคุม,Oyun Kumandası,Bộ Điều Khiển,,,控制器
Studio.ControlsEmulator.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,لقد ضغطت علي {counter} مرات!,Du hast mich {counter} mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,आपने मुझे {counter} बार दबाया!,You pressed me {counter} times!,Mi hai premuto {counter} volte!,{counter} 回押しました,날 {counter}번이나 눌렀군요!,Naciśnięto mnie {counter} razy!,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,Buraya {counter} kez bastın!,Bạn đã nhấn tôi {counter} lần!,,,您按了我 {counter} 次！
Studio.ControlsEmulator.Plugin.Description,,,Emulator for input devices like gamepads and VR headsets,Emulator for input devices like gamepads and VR headsets,محاكي لأجهزة الإدخال مثل gamepads وسماعات الرأس للواقع الافتراضي,Emulator für Eingabegeräte wie Gamepads und VR-Headsets,Emulador para dispositivos de entrada como gamepads y cascos RV,Émulateur pour appareils d'entrée comme les manettes et les écouteurs VR,गेमपैड और VR हेडसेट जैसे इनपुट डिवाइस के लिए एम्युलेटर,"Emulator untuk perangkat input, seperti gamepad dan headset VR",Emulatore per dispositivi di input come gamepad e cuffie VR,ゲームパッドとVRヘッドセットのような入力デバイスの仮想化機能,게임 패드 및 VR 헤드셋 같은 입력 기기를 위한 에뮬레이터,"Emulator urządzeń wejściowych, takich jak kontrolery i gogle VR","Emulador para dispositivos de entrada, como gamepads e headsets RV",,อีมูเลเตอร์สําหรับอุปกรณ์นำเข้าข้อมูล เช่น เกมแพดและชุดหูฟัง VR,Oyun kolu ve VR başlığı gibi giriş cihazlarını taklit eder,Trình giả lập cho các thiết bị đầu vào như gamepad và tai nghe VR,,,輸入裝置 (例如手把和 VR 頭戴式裝置) 的模擬器
Studio.ControlsEmulator.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,خنزير الماء لطيف!,Capybaras sind süß!,¡Los capibaras son lindos!,Les capybaras sont mignons !,कैपीबरा प्यारे होते हैं!,Capybaras are cute!,I capibara sono carini!,カピバラはかわいい！,귀여운 카피바라!,Kapibary są słodkie!,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,Kapibaralar çok şirin!,Chuột lang thật dễ thương!,,,水豚很可愛！
Studio.ControlsEmulator.CounterExample.Button,,,Push me!,Push me!,ادفعني!,Drück mich!,¡Presióname!,Pousse-moi !,मुझे पुश करें!,Push me!,Premimi!,押す,날 밀어요!,Naciśnij mnie!,Me aperte!,,กดฉันสิ!,Buraya bas!,Hãy nhấn tôi đi!,,,按下我！
Studio.ControlsEmulator.Plugin.Toolbar,,,Emulation,Emulation,محاكاة,Emulation,Emulación,4000,एम्युलेशन,Emulasi,Emulazione,仮想化,에뮬레이션,Emulacja,Emulação,,การจำลอง,Öykünme,Mô Phỏng,,,模擬
Studio.ControlsEmulator.Main.DeviceMappingsDropdownLabel,,,Device Mappings,Device Mappings,تعيينات الجهاز,Gerätezuordnungen,Mapeo de dispositivos,Cartographie de l'appareil,डिवाइस मैपिंग,Pemetaan Perangkat,Mappature dispositivo,デバイスマッピング,기기 매핑,Mapowanie urządzenia,Mapeamentos do dispositivo,,การทำแผนที่อุปกรณ์,Cihaz Haritalamaları,Sắp Xếp Thiết Bị,,,裝置對應
Studio.ControlsEmulator.MappingsDialog.SaveButtonLabel,,,Save,Save,حفظ,Speichern,Guardar,Enregistrer,सेव करें,Simpan,Salva,保存,저장,Zapisz,Salvar,,บันทึก,Kaydet,Lưu,,,儲存
Studio.ControlsEmulator.MappingsDialog.ResetButtonLabel,,,Reset,Reset,إعادة تعيين,Zurücksetzen,Restablecer,Réinitialiser,रीसेट करें,Reset,Ripristina,リセット,재설정,Zresetuj,Redefinir,,รีเซ็ต,Sıfırla,Đặt Lại,,,重置
Studio.ControlsEmulator.DeviceDropdown.Quest3,,,Quest3,Quest3,Quest3,Quest3,Quest3,Quest3,Quest3,Quest3,Missione3,Quest3,Quest3,Quest3,Quest3,,Quest3,Quest3,Quest3,,,Quest3
