Key,Source,ko,zh-cn
Studio.LocalizationTools.Plugin.RibbonBarButton,Tools,도구,工具
Studio.LocalizationTools.Plugin.WindowTitle,Localization Tools,로컬리제이션 도구,本地化工具
Studio.LocalizationTools.Plugin.ToolbarLabel,Localization,로컬리제이션,本地化
Studio.LocalizationTools.Plugin.ToolTipMessage,Hide/show the Localization Tools View,로컬리제이션 도구 보기 숨기기/표시,隐藏/显示本地化工具视图
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStartText,Start untranslated text capture,번역되지 않은 텍스트 캡처 시작,开始抓取未翻译的文本
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStopText,Stop untranslated text capture,번역되지 않은 텍스트 캡처 중지,停止抓取未翻译的文本
Studio.LocalizationTools.EmbeddedTableSection.SectionLabel,Embedded Localization Table,임베디드 로컬리제이션 테이블,嵌入本地化表格
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureButton,Text Capture,텍스트 캡처,文本抓取
Studio.LocalizationTools.EmbeddedTableSection.ExportButton,Export,내보내기,导出
Studio.LocalizationTools.EmbeddedTableSection.ImportButton,Import,가져오기,导入
Studio.LocalizationTools.EmbeddedTableSection.ExportTextLabel,Export LocalizationTables under LocalizationService to CSV files,LocalizationService 아래의 LocalizationTables를 CSV 파일로 내보내기,在 LocalizationService 下导出 LocalizationTables 至 CSV 文件
Studio.LocalizationTools.EmbeddedTableSection.ImportTextLabel,Import CSV files to LocalizationTables under LocalizationService,CSV 파일을 LocalizationService 아래의 LocalizationTables로 가져오기,在 LocalizationService 下导入 LocalizationTables 至 CSV 文件
Studio.LocalizationTools.CloudTableSection.CloudTablePageLinkText,Click here to configure your cloud localization table,클라우드 로컬리제이션 테이블을 구성하려면 여기를 클릭하세요.,点按这里来配置你的云本地化表格
Studio.LocalizationTools.CloudTableSection.DownloadButton,Download,다운로드,下载
Studio.LocalizationTools.CloudTableSection.DownloadTableLabel,Download table as CSV,테이블을 CSV로 다운로드,下载表格并保存至 CSV 格式
