Key,Context,Source,en-us
Studio.LiveSync.DeleteFolderButton,The button text in the dialog that prompts user to delete a folder that is no longer syncing,Delete Folder(s),Delete Folder(s)
Studio.LiveSync.DepthLimitExceededError,User is trying to sync a hierarchy that is too deeply nested,Can't sync %1 to the disk: Hierarchy has a depth that exceeds the maximum allowed limit of %2.,Can't sync %1 to the disk: Hierarchy has a depth that exceeds the maximum allowed limit of %2.
Studio.LiveSync.DisablingAutoResume,Disabling the auto-resume sync feature because a crash occurred in the previous session.,A crash occurred during sync auto-resume in the previous session: disabling for this session.,A crash occurred during sync auto-resume in the previous session: disabling for this session.
Studio.LiveSync.DuplicateNamesError,Error message shown when a hierarchy contains duplicate names,Can't sync %1 to disk: Duplicate names in hierarchy (%2),Can't sync %1 to disk: Duplicate names in hierarchy (%2)
Studio.LiveSync.ErrorChangingRootType,The user took an action that changed the root type on disk,Can't sync %1 to the disk: The file's root type has changed.,Can't sync %1 to the disk: The file's root type has changed.
Studio.LiveSync.ErrorDeletingIgnoredChildren,"A file corresponding to a script with ignored children was deleted on the disk. This could result in data loss (if the file was moved rather than actually deleted), so we error to be safe",Can't sync %1 to the disk: Instance with unsupported children was moved or deleted on disk,Can't sync %1 to the disk: Instance with unsupported children was moved or deleted on disk
Studio.LiveSync.ErrorDeletingUnsupportedProperties,"An instance with tags and/or attributes was deleted, resulting in potential data loss (in the case where the file was moved). So we error to be safe",Can't sync %1 to the disk: Instance with unsupported properties was moved or deleted on disk,Can't sync %1 to the disk: Instance with unsupported properties was moved or deleted on disk
Studio.LiveSync.ErrorDuringSync,Error message shown when an error occurs during sync,Can't sync %1 to disk: Error during sync,Can't sync %1 to disk: Error during sync
Studio.LiveSync.ErrorDuringSyncWithCode,Error message (with error code) shown for a sync failure,Can't sync %1 to disk: Error during sync (code %2),Can't sync %1 to disk: Error during sync (code %2)
Studio.LiveSync.ErrorFromPreviousSession,Indicating that the sync error occurred in the previous session. Not the current one. The error message will follow the '-'.,Error from previous session -,Error from previous session -
Studio.LiveSync.ErrorInPreviousSync,"Cannot automatically resume syncing the script, because it was errored in the previous session.",Unable to resume sync for '%1': Contained errors in the previous session,Unable to resume sync for '%1': Contained errors in the previous session
Studio.LiveSync.ErrorInstanceAlreadySyncing,Cannot start sync on an instance that is already syncing,Can't start sync on %1: Instance is already syncing,Can't start sync on %1: Instance is already syncing
Studio.LiveSync.ErrorInvalidName,Error message shown when a file with an invalid name is encountered during sync,Can't sync %1 to disk: Instance has invalid name,Can't sync %1 to disk: Instance has invalid name
Studio.LiveSync.ErrorInvalidRoot,Error message shown when an invalid root type is encountered during sync,Can't sync %1 to disk: Root types don't match,Can't sync %1 to disk: Root types don't match
Studio.LiveSync.ErrorNestedSyncRoot,User is trying to sync a hierarchy that already contains another syncing hierarchy,Can't sync %1 to disk: Unable to sync a folder that already contains another actively synced folder,Can't sync %1 to disk: Unable to sync a folder that already contains another actively synced folder
Studio.LiveSync.ErrorPathOverlaps,Log output error displayed when a folder is chosen for start sync that overlaps with an existing syncing hierarchy,"Can't sync ""%1"" because it overlaps with an existing syncing hierarchy.","Can't sync ""%1"" because it overlaps with an existing syncing hierarchy."
Studio.LiveSync.ErrorPathOverlapsWithAncestor,Cannot use the provided path to sync because its ancestor is already syncing,Can't sync with %1 because its ancestor %2 is already being synced,Can't sync with %1 because its ancestor %2 is already being synced
Studio.LiveSync.ErrorPathOverlapsWithDescendant,Can't sync the provided path because it overlaps with a descendant path that is already being sync,Can't sync with %1 because its descendant %2 is already being synced,Can't sync with %1 because its descendant %2 is already being synced
Studio.LiveSync.ErrorTotalSyncInstanceLimitExceeded,Error message shown when the total number of syncing instances is exceeded during sync,Can't sync %1 to disk: Total number of syncing instances exceeded (%2),Can't sync %1 to disk: Total number of syncing instances exceeded (%2)
Studio.LiveSync.ExpectedFileExtension,Log output error displayed when a file of wrong extension type is chosen for start sync,Can't sync %3 to disk: Expected file of type *%1 or *%2,Can't sync %3 to disk: Expected file of type *%1 or *%2
Studio.LiveSync.FailedToAccessPlaceMetadata,Unable to save the file sync config,Unable to save the file sync configuration. Could not access place metadata.,Unable to save the file sync configuration. Could not access place metadata.
Studio.LiveSync.FileNotFoundStoppingSync,File Not Found log output error and tooltip,Can't sync %1 to disk at %2: File not found,Can't sync %1 to disk at %2: File not found
Studio.LiveSync.FileSyncPathsDeniedError,This is the error shown when a plugin attempts to use a file sync path API but does not have permission to do so,Plugin %1 was denied file sync paths permission. You can grant this permission in the Plugin Manager.,Plugin %1 was denied file sync paths permission. You can grant this permission in the Plugin Manager.
