Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TextureViewer.Plugin.Name,,,Texture Viewer,Texture Viewer,عارض الهيئة,Texturansicht,Vista de texturas,Visualiseur de textures,टेक्स्चर व्यूअर,Penampil Tekstur,Visualizzatore di strutture,テクスチャビューア,텍스처 뷰어,Przeglądarka tekstur,Visualizador de texturas,,เครื่องมือดูพื้นผิว,Doku Görüntüleyici,Trình Xem Kết Cấu,纹理查看器,纹理查看器,紋理檢視工具
Studio.TextureViewer.Plugin.Toolbar,,,Texture Viewer,Texture Viewer,عارض الهيئة,Texturansicht,Vista de texturas,Visualiseur de textures,टेक्स्चर व्यूअर,Penampil Tekstur,Visualizzatore di strutture,テクスチャビューア,텍스처 뷰어,Przeglądarka tekstur,Visualizador de texturas,,เครื่องมือดูพื้นผิว,Doku Görüntüleyici,Trình Xem Kết Cấu,纹理查看器,纹理查看器,紋理檢視工具
Studio.TextureViewer.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Alternar,Activer/désactiver,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.TextureViewer.Plugin.Description,,,Toggles the Texture Viewer plugin window.,Toggles the Texture Viewer plugin window.,"تبديل نافذة المكون الإضافي ""عارض الهيئة"".",Schaltet das Texturansichts-Plugin-Fenster um.,Alterna la ventana del plugin Vista de texturas.,Active/désactive la fenêtre de plugin du visualiseur de textures.,टेक्स्चर व्यूअर प्लग-इन विंडो को टॉगल करता है.,Menyalakan/mematikan jendela plugin Penampil Tekstur.,Attiva/disattiva la finestra del plugin Visualizzatore di strutture.,テクスチャビューア・プラグインウィンドウを切りかえ。,텍스처 뷰어 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in do przeglądania tekstur,Alterna a janela do plugin Visualizador de texturas.,,เปิด/ปิดหน้าต่างปลั๊กอินเครื่องมือดูพื้นผิว,Doku Görüntüleyici eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Trình Xem Kết Cấu.,切换纹理查看器插件窗口。,切换纹理查看器插件窗口。,切換紋理檢視工具的外掛程式視窗。
Studio.TextureViewer.Plugin.Text,,,Example Text!,Example Text!,نص اختباري كمثال!,Beispieltext!,Texto de ejemplo,Exemple de texte !,उदाहरण टेक्स्ट!,Teks Contoh!,Questo è un testo di esempio!,テキストの例！,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.TextureViewer.TextureTable.Texture,,,Texture,Texture,الهيئة,Textur,Textura,Texture,टेक्स्चर,Tekstur,Struttura,テクスチャ,텍스처,Tekstura,Textura,,พื้นผิว,Doku,Kết Cấu,纹理,纹理,紋理
Studio.TextureViewer.TextureTable.Id,,,Id,Id,المُعرِّف,ID,ID,Id,Id,Id,ID,ID,ID,Identyfikator,Identidade,,ID,Kimlik,Id,Id,Id,ID
Studio.TextureViewer.TextureTable.Size,,,Size,Size,الحجم,Größe,Tamaño,Taille,साइज़,Ukuran,Dimensione,サイズ,크기,Wielkość,Tamanho,,ขนาด,Boyut,Kích Thước,尺寸,尺寸,大小
Studio.TextureViewer.TextureTable.FindSelect,,,Find & Select,Find & Select,البحث والتحديد,Suchen & Auswählen,Buscar y seleccionar,Rechercher et sélectionner,खोजें और चुनें,Temukan & Pilih,Trova e seleziona,サーチと選択,찾기 및 선택,Znajdź i zaznacz,Localizar e selecionar,,ค้นหา & เลือก,Bul ve seç,Tìm & Chọn,查找并选择,查找并选择,尋找與選擇
Studio.TextureViewer.TextureTable.Cancel,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,,ยกเลิก,İptal,Hủy Bỏ,取消,取消,取消
Studio.TextureViewer.TextureTable.Confirm,,,Confirm,Confirm,تأكيد,Bestätigen,Confirmar,Confirmer,कंफ़र्म करें,Konfirmasi,Conferma,確認する,확인,Potwierdź,Confirmar,,ยืนยัน,Onayla,Xác Nhận,确认,确认,確認
Studio.TextureViewer.TextureTable.NotLoaded,,,Not Loaded,Not Loaded,غير مُحمل,Nicht geladen,No cargado,Non chargé,लोड नहीं किया गया,Tidak Di-loading,Non caricata,読み込まれていません,불러오지 못함,Nie wczytano,Não carregado,,ไม่โหลด,Yüklenmedi,Chưa Tải,未加载,未加载,並未載入
Studio.TextureViewer.TopPanel.Textures,,,Textures,Textures,الهيئات,Texturen,Texturas,Textures,टेक्स्चर्स,Tekstur,Strutture,テクスチャ,텍스처,Tekstury,Textura,,พื้นผิว,Dokular,Kết Cấu,纹理,纹理,紋理
Studio.TextureViewer.TopPanel.Refresh,,,Refresh,Refresh,تحديث,Aktualisieren,Actualizar,Rafraîchir,रीफ़्रेश करें,Refresh,Aggiorna,リフレッシュ,새로 고침,Odśwież,Atualizar,,รีเฟรช,Yenile,Làm Mới,刷新,刷新,重新整理
Studio.TextureViewer.TopPanel.Size,,,Total Size,Total Size,الحجم الإجمالي,Gesamtgröße,Tamaño total,Taille totale,कुल साइज़,Ukuran Total,Dimensione totale,合計サイズ,전체 크기,Łączny rozmiar,Tamanho total,,ขนาดรวม,Toplam boyut,Tổng Kích Thước,总尺寸,总尺寸,總大小
Studio.TextureViewer.ContextMenu.Copy,,,Copy Texture ID,Copy Texture ID,نسخ مُعرِّف الهيئة,Textur-ID kopieren,Copiar ID de la textura,Copier l'ID de texture,टेक्स्चर ID कॉपी करें,Salin ID Tekstur,Copia l'ID struttura,テクスチャIDをコピー,텍스처 ID 복사,Skopiuj identyfikator tekstury,Copiar ID da textura,,คัดลอก ID พื้นผิว,Doku kimliğini kopyala,Sao Chép ID Kết Cấu,复制纹理ID,复制纹理ID,複製紋理 ID
Studio.TextureViewer.ContextMenu.Select,,,Select All Instances in Workspace,Select All Instances in Workspace,تحديد كل الحالات في Workspace,Alle Instanzen im Arbeitsbereich auswählen,Seleccionar todas las instancias en el Espacio de trabajo,Sélectionner toutes les instances dans Workspace,Workspace में सभी इंस्टैंस चुनें,Pilih Semua Instance di Workspace,Seleziona tutte le istanze nell'area di lavoro,ワークスペースのすべてのインスタンスを選択,작업 공간의 모든 인스턴스 선택,Zaznacz wszystkie instancje w przestrzeni roboczej,Selecionar todas as instâncias no espaço de trabalho,,เลือกอินสแตนซ์ทั้งหมดใน Workspace,Atölyedeki tüm örnekleri seç,Chọn Tất Cả Các Đối Tượng trong Workspace,在工作区中选择所有实例,在工作区中选择所有实例,在工作區選擇全部個體
Studio.TextureViewer.ContextMenu.Replace,,,Replace All With New Texture ID,Replace All With New Texture ID,استبدال الكل بمُعرِّف الهيئة الجديد,Alle durch neue Textur-ID ersetzen,Reemplazar todo con un nuevo ID de textura,Remplacer tout par un nouvel ID de texture,सभी को नई टेक्स्चर ID से बदलें,Ganti Semua dengan ID Tekstur Baru,Sostituisci tutto con il nuovo ID struttura,すべてを新しいテクスチャIDに置き換え,새 텍스처 ID로 모두 바꾸기,"Zamień wszystko, używając nowego identyfikatora tekstury",Substituir tudo com uma nova ID de textura,,แทนที่ทั้งหมดด้วย ID พื้นผิวใหม่,Tümünü yeni doku kimliğiyle değiştir,Thay Thế Tất Cả Bằng ID Kết Cấu Mới,全部替换为新的纹理ID,全部替换为新的纹理ID,將全部取代為新的紋理 ID
Studio.TextureViewer.Search.Placeholder,,,Search for a texture...,Search for a texture...,البحث عن هيئة...,Suche nach Textur ...,Buscar textura...,Rechercher une texture...,टेक्स्चर सर्च करें...,Cari tekstur...,Cerca una struttura...,テクスチャをサーチ...,텍스처 검색...,Wyszukaj tekstury...,Procurar por uma textura...,,ค้นหาพื้นผิว...,Doku ara...,Tìm kiếm một kết cấu...,查找纹理……,查找纹理……,正在搜尋紋理…
