Key,Context,Source,en-us
Studio.App.BetaFeatures.ACESaveRigWithAnimationDescription,,Animation clip editor will save the rig along with keyframes to make the animation retargetable.,Animation clip editor will save the rig along with keyframes to make the animation retargetable.
Studio.App.BetaFeatures.ACESaveRigWithAnimationTitle,,Save rig with Animation,Save rig with Animation
Studio.App.BetaFeatures.AICODescription,,"AI-Powered code completion in Studio Script Editor. Based on existing script and/or comments, AI code suggestion will be triggered automatically.","AI-Powered code completion in Studio Script Editor. Based on existing script and/or comments, AI code suggestion will be triggered automatically."
Studio.App.BetaFeatures.AICOTermsAndConditions,terms and conditions for being able to use ai-assisted scripting,"Roblox provides the Code Generator tool (the ""Tool"") as an option to [enhance and support your creativity in Studio]. TO USE THE TOOL, YOU MUST ACCEPT AND AGREE TO THE BELOW. IF YOU DO NOT AGREE, YOU MUST NOT USE THE TOOL.
As reminder, the Tool is part of the ""Services"" as defined in the Roblox Terms of Use (the ""Terms""). Accordingly, your use of the Services is subject to the Terms, including the Creator Terms and the Roblox Community Standards, and, among other things, you must (i) use the Tool in a lawful manner and in compliance with all applicable laws, (ii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to the Tool; and (iii) use the Tool in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity.
Due to its nature, the Tool may generate incorrect, misleading, offensive, or other information that is not useful for your purposes and that may be the same, similar, or different among users. The Tool is not intended to provide factual information or advice. ACCORDINGLY, YOUR USE OF THE TOOL IS AT YOUR OWN RISK, AND THE TOOL IS PROVIDED ""AS IS"" AND WITHOUT CONDITION, WARRANTY, GUARANTEE OR REPRESENTATION OF ANY KIND, EXPRESS OR IMPLIED (INCLUDING WITHOUT LIMITATION, ANY WARRANTY OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, NON-INFRINGEMENT, OR ERROR-FREE OR UNINTERRUPTED USE OF THE SERVICE). ROBLOX MAKES NO WARRANTY ABOUT CONTENT OR INFORMATION ACCESSIBLE THROUGH OR FROM THE TOOL, AND EXPRESSSLY DISCLAIMS THAT ANY DATA, CONTENT OR INFORMATION RESULTING FROM OR RELATED TO YOUR USE OF THE TOOL IS ACCURATE OR CAN OR SHOULD BE RELIED UPON BY YOU FOR ANY PURPOSE.
The model is trained on no private developer data and uses only public marketplace assets.","Roblox provides the Code Generator tool (the ""Tool"") as an option to [enhance and support your creativity in Studio]. TO USE THE TOOL, YOU MUST ACCEPT AND AGREE TO THE BELOW. IF YOU DO NOT AGREE, YOU MUST NOT USE THE TOOL.
As reminder, the Tool is part of the ""Services"" as defined in the Roblox Terms of Use (the ""Terms""). Accordingly, your use of the Services is subject to the Terms, including the Creator Terms and the Roblox Community Standards, and, among other things, you must (i) use the Tool in a lawful manner and in compliance with all applicable laws, (ii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to the Tool; and (iii) use the Tool in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity.
Due to its nature, the Tool may generate incorrect, misleading, offensive, or other information that is not useful for your purposes and that may be the same, similar, or different among users. The Tool is not intended to provide factual information or advice. ACCORDINGLY, YOUR USE OF THE TOOL IS AT YOUR OWN RISK, AND THE TOOL IS PROVIDED ""AS IS"" AND WITHOUT CONDITION, WARRANTY, GUARANTEE OR REPRESENTATION OF ANY KIND, EXPRESS OR IMPLIED (INCLUDING WITHOUT LIMITATION, ANY WARRANTY OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, NON-INFRINGEMENT, OR ERROR-FREE OR UNINTERRUPTED USE OF THE SERVICE). ROBLOX MAKES NO WARRANTY ABOUT CONTENT OR INFORMATION ACCESSIBLE THROUGH OR FROM THE TOOL, AND EXPRESSSLY DISCLAIMS THAT ANY DATA, CONTENT OR INFORMATION RESULTING FROM OR RELATED TO YOUR USE OF THE TOOL IS ACCURATE OR CAN OR SHOULD BE RELIED UPON BY YOU FOR ANY PURPOSE.
The model is trained on no private developer data and uses only public marketplace assets."
Studio.App.BetaFeatures.AICOTitle,,AI-Powered Code Completion,AI-Powered Code Completion
Studio.App.BetaFeatures.AcceleratedCollisionPipelineDescription,,Enable Accelerated Collision Detection which improves collision performance for large assemblies.,Enable Accelerated Collision Detection which improves collision performance for large assemblies.
Studio.App.BetaFeatures.AcceleratedCollisionPipelineTitle,,Accelerated Collision Pipeline,Accelerated Collision Pipeline
Studio.App.BetaFeatures.AccessPermissionsDescription,,"Add any community, user, or role as a collaborator or tester for your game through Game Settings","Add any community, user, or role as a collaborator or tester for your game through Game Settings"
Studio.App.BetaFeatures.AccessPermissionsTitle,,Game Access Permissions,Game Access Permissions
Studio.App.BetaFeatures.AccessoryToolBetaDescription,,Use Accessory Fitting Tool to edit caged clothing items as well as rigid accessories.,Use Accessory Fitting Tool to edit caged clothing items as well as rigid accessories.
