Key,Context,Source,en-us
Studio.NativeDialog.CommandBarText,Text shown when the user wants to stop the command bar,Would you like to stop this command?,Would you like to stop this command?
Studio.NativeDialog.CommandBarTitle,Show when command bar takes too long,Long Running Command,Long Running Command
Studio.NativeDialog.NativeDialogDescription,"The description is on a dialog that is given to users when we want to stop a plugin that is taking too long to run. Users can choose yes or no on the dialog. The user needs to know that stopping this plugin will not crash Studio, but will just kill that plugin. They will be able to continue working on their project and none of their work will get lost.",Would you like Studio to stop this plugin?,Would you like Studio to stop this plugin?
Studio.NativeDialog.NativeDialogTitle,The tool who's name is replaced by the %1 is taking too long to run. Because it is taking too long to run all off Studio is hung meaning that it is not responsive/is not taking user input.,%1 is not responding,%1 is not responding
Studio.NativeDialog.NativeDialogTitleUnknownName,A description on a dialog given to users when a plugin is taking too long to run,A plugin is not responding,A plugin is not responding
Studio.NativeDialog.No,Negative word,No,No
Studio.NativeDialog.Ok,Another affirmative,Ok,Ok
Studio.NativeDialog.StudioFrozenTitle,This title is show when Studio is frozen. This is a state where the user cannot click on anything and the screen is unresponsive.,Studio Frozen,Studio Frozen
Studio.NativeDialog.TerminateBuiltInKnownName,"The description given to users when we want to end a window that has a known name. The user needs to know that stopping this window's program will not crash Studio, but will just kill that window. They will be able to continue working on their project and none of their work will get lost.","The '%1' window is taking too long to respond. Do you want to terminate it and continue editing your place, or keep waiting?","The '%1' window is taking too long to respond. Do you want to terminate it and continue editing your place, or keep waiting?"
Studio.NativeDialog.TerminateBuiltInNoName,"The description given to users when we want to end a window that has no known name. The user needs to know that stopping this window will not crash Studio, but will just kill that window. They will be able to continue working on their project and none of their work will get lost.","A window is not responding. Do you want to terminate it and continue editing your place, or keep waiting?","A window is not responding. Do you want to terminate it and continue editing your place, or keep waiting?"
Studio.NativeDialog.TerminatePluginNoName,"The description given to users when we want to end a plugin that is taking too long to run. The user needs to know that stopping this plugin will not crash Studio, but will just kill that plugin. They will be able to continue working on their project and none of their work will get lost.","A plugin is taking too long to execute. Do you want to stop it and continue editing your place, or keep waiting?","A plugin is taking too long to execute. Do you want to stop it and continue editing your place, or keep waiting?"
Studio.NativeDialog.TerminateUserPluginNoName,"The description given to users when we want to end a user plugin that is taking too long to run. The user needs to know that stopping this plugin will not crash Studio, but will just kill that plugin. They will be able to continue working on their project and none of their work will get lost.","A user plugin is taking too long to execute. Do you want to stop it and continue editing your place, or keep waiting a bit longer.","A user plugin is taking too long to execute. Do you want to stop it and continue editing your place, or keep waiting a bit longer."
Studio.NativeDialog.Yes,Affirmative word,Yes,Yes
