Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.DraggerFramework.SummonPivot.SummonText,,,Summon Handles,Summon Handles,استدعاء المقابض,Ziehpunkte aufrufen,Invocar controladores,Appeler les contrôleurs,हैंडल ऐक्टिवेट करें,Panggil Handel,Richiama handle,ハンドル召喚,핸들 소환,Wywołaj uchwyty,Invocar alças,,เรียก Handle,Tutamaç çağır,Triệu Hồi Tay Cầm,召唤拉杆,召唤拉杆,召喚手把
Studio.DraggerFramework.SummonPivot.TabText,,,Hold Tab,Hold Tab,اضغط مطولاً على Tab,Registerkarte halten,Mantener Pestaña,Maintenir l'onglet,टैब होल्ड करें,Tekan dan Tahan Tab,Tieni scheda,タブの長押し,탭 길게 누르기,Przytrzymaj kartę,Segurar aba,,แท็บพัก,Sekmeyi tut,Giữ Tab,按住 Tab,按住 Tab,儲藏標籤
Studio.DraggerFramework.HotkeyHelp.EnableSnap,,,Enable snapping,Enable snapping,تمكين الالتقاط,Ausrichten aktivieren,Activar ajuste,Activer le snapping,स्नैपिंग चालू करें,Aktifkan snapping,Abilita snapping,装着を有効化,맞추기 활성화,Włącz przyciąganie,Ativar ajuste,,เปิดใช้งานการ Snap,Tutturmayı etkinleştir,Bật tính năng tự động căn chỉnh,启用对齐,启用对齐,啟用貼齊功能
Studio.DraggerFramework.HotkeyHelp.DisableSnap,,,Disable snapping,Disable snapping,تعطيل الالتقاط,Ausrichten deaktivieren,Desactivar ajuste,Désactiver le snapping,स्नैपिंग बंद करें,Nonaktifkan snapping,Disabilita snapping,装着を無効化,맞추기 비활성화,Wyłącz przyciąganie,Desativar ajuste,,ปิดใช้งานการ Snap,Tutturmayı devre dışı bırak,Tắt tính năng tự động căn chỉnh,停用对齐,停用对齐,停用貼齊功能
Studio.DraggerFramework.HotkeyHelp.ToggleHelp,,,Toggle hotkey help,Toggle hotkey help,تبديل زر المساعدة السريع,Hotkey-Hilfe umschalten,Alternar ayuda de la tecla de acceso directo,Activer/désactiver Aide sur les touches de raccourcis,हॉटकी मदद वाला बटन टॉगल करें,Nyalakan/matikan bantuan hotkey,Attiva/Disattiva aiuto tasti di scelta rapida,ホットキーのヘルプを切りかえ,단축키 도움말 전환,Przełącz skrót klawiszowy pomocy,Alternar a ajuda da tecla de atalho,,เปิด/ปิดความช่วยเหลือคีย์ลัด,Kısayol tuşu yardımını aç,Bật/tắt trợ giúp phím tắt,切换热键帮助,切换热键帮助,切換熱鍵協助
Studio.DraggerFramework.HotkeyHelp.ScaleUniformly,,,Scale uniformly,Scale uniformly,مقياس موحد,Gleichmäßig skalieren,Escalar uniformemente,Échelle homogène,समान रूप से स्केल करें,Skalakan secara seragam,Scala uniformemente,均一に拡大/縮小,균일하게 스케일,Skaluj równomiernie,Dimensionar uniformemente,,ปรับขนาดให้สม่ำเสมอ,Tekdüze ölçeklendir,Đổi tỷ lệ đồng nhất,统一调整,统一调整,均勻縮放
Studio.DraggerFramework.HotkeyHelp.ScaleResize,,,Resize,Resize,تغيير الحجم,Größe anpassen,Redimensionar,Redimensionner,रीसाइज़ करें,Ubah ukuran,Ridimensiona,サイズ変更,크기 조정,Zmień rozmiar,Redimensionar,,ปรับขนาด,Yeniden boyutlandır,Đổi cỡ,调整大小,调整大小,調整大小
Studio.DraggerFramework.HotkeyHelp.ScaleAroundPivot,,,Scale around pivot,Scale around pivot,ضبط المقياس حول المحور,Um Drehpunkt skalieren,Escalar alrededor del pivote,Échelle autour du pivot,पिवट के चारों ओर स्केल करें,Skalakan sesuai pivot,Scala attorno al perno,ピボットの周囲を拡大/縮小,피벗 주위 스케일,Skaluj wokół punktu obrotu,Dimensionar em torno do pivô,,ปรับขนาดรอบจุดหมุน,Eksen etrafında ölçeklendir,Đổi tỷ lệ quanh điểm xoay,围绕轴点调整,围绕轴点调整,沿軸點縮放
Studio.DraggerFramework.HotkeyHelp.ScaleFromEdge,,,Scale from edge,Scale from edge,ضبط المقياس من الحافة,Von Rand skalieren,Escalar desde el borde,Mise à l'échelle à partir du bord,किनारे से स्केल करें,Skalakan dari tepi,Scala dal bordo,端から拡大/縮小,가장자리에서 스케일,Skaluj od krawędzi,Dimensionar a partir da borda,,ปรับขนาดจากขอบ,Kenardan ölçeklendir,Đổi tỷ lệ từ cạnh,从边缘调整,从边缘调整,沿邊緣縮放
Studio.DraggerFramework.HotkeyHelp.DragTilt,,,Tilt towards camera,Tilt towards camera,الميل نحو الكاميرا,Zur Kamera neigen,Inclinar hacia la cámara,Inclinaison vers la caméra,कैमरे की ओर झुकाएँ,Miringkan ke arah kamera,Inclina verso la telecamera,カメラに向かって傾斜,카메라 쪽으로 기울이기,Przechyl w stronę kamery,Incline em direção à câmera,,เอียงไปทางกล้อง,Kameraya doğru eğ,Nghiên về phía camera,朝镜头倾斜,朝镜头倾斜,朝攝影機傾斜
Studio.DraggerFramework.HotkeyHelp.DragRotate,,,Rotate around normal,Rotate around normal,تدوير طبيعي,Um Normale drehen,Girar alrededor de normal,Tourner autour de la normale,सामान्य के चारों ओर रोटेट करें,Putar di sekitar normal,Ruota intorno al normale,標準のまわりを回転,법선 주위 회전,Obróć wokół normalnej,Girar em torno do normal,,หมุนรอบตามปกติ,Normal etrafında döndür,Quay quanh pháp tuyến,围绕法线旋转,围绕法线旋转,沿法線旋轉
