Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AssetManager.Main.Title,,,Asset Manager,Asset Manager,مدير الأصول,Asset Manager,Gestor de recursos,Gestionnaire de contenus,ऐसेट मैनेजर,Manajer Aset,Gestore risorse,アセット管理,애셋 관리자,Menedżer zasobów,Gerenciador de ativos,,เครื่องมือจัดการทรัพยากร,Varlık Yöneticisi,Trình Quản Lý Tài Sản,素材管理器,素材管理器,素材管理器
Studio.AssetManager.Main.ToolbarButton,,,Asset Manager,Asset Manager,مدير الأصول,Asset Manager,Gestor de recursos,Gestionnaire de contenus,ऐसेट मैनेजर,Manajer Aset,Gestore risorse,アセット管理,애셋 관리자,Menedżer zasobów,Gerenciador de ativos,,เครื่องมือจัดการทรัพยากร,Varlık Yöneticisi,Trình Quản Lý Tài Sản,素材管理器,素材管理器,素材管理器
Studio.AssetManager.Main.Tooltip,,,"Add, remove, and modify assets","Add, remove, and modify assets",إضافة الأصول وإزالتها وتعديلها,"Objekte hinzufügen, entfernen und modifizieren","Añade, elimina y modifica recursos","Ajouter, retirer ou modifier des assets","ऐसेट जोड़ें, निकालें और उनमें बदलाव करें","Tambahkan, hapus, dan modifikasi aset","Aggiungi, rimuovi e modifica risorse",アセットの追加、削除、変更,"애셋 추가, 제거, 수정","Dodawaj, usuwaj i modyfikuj zasoby","Adicionar, remover e modificar ativos",,"เพิ่ม, ลบ และแก้ไขทรัพยากร","Varlık ekle, kaldır ve düzenle","Thêm, bỏ và sửa đổi tài sản",添加、移除和修改素材,添加、移除和修改素材,新增、移除及修改素材
Studio.AssetManager.Meta.PluginName,,,AssetManager,AssetManager,مدير الأصول,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,AssetManager,,AssetManager,Varlık Yöneticisi,Trình Quản Lý Tài Sản,AssetManager,AssetManager,AssetManager
Studio.AssetManager.Meta.ToolbarName,,,Asset Manager,Asset Manager,مدير الأصول,Asset Manager,Gestor de recursos,Gestionnaire de contenus,ऐसेट मैनेजर,Manajer Aset,Gestore risorse,アセット管理,애셋 관리자,Menedżer zasobów,Gerenciador de ativos,,เครื่องมือจัดการทรัพยากร,Varlık Yöneticisi,Trình Quản Lý Tài Sản,素材管理器,素材管理器,素材管理器
Studio.AssetManager.BulkImport.BulkImportRunning,,,You can import other files after the current import is finished.,You can import other files after the current import is finished.,يمكنك استيراد ملفات أخرى بعد انتهاء عملية الاستيراد الحالية.,"Du kannst andere Dateien importieren, nachdem der aktuelle Import abgeschlossen ist.",Puedes importar otros archivos una vez que la importación actual termine.,Tu peux importer d'autres fichiers une fois que l'importation en cours est terminée.,मौजूदा इंपोर्ट खत्म होने के बाद आप अन्य फ़ाइलें इंपोर्ट कर सकते हैं.,Kamu dapat mengimpor file lain setelah impor yang sedang berjalan selesai.,"Al termine di questa importazione, potrai importare altri file.",現在のインポート終了後に他のファイルをインポートできます。,현재 가져오기가 완료된 후 다른 파일을 가져올 수 있습니다.,Po zakończeniu bieżącego importu możesz zaimportować inne pliki.,Você pode importar outros arquivos depois que a importação atual terminar.,,คุณสามารถนำเข้าไฟล์อื่นได้หลังจากที่การนำเข้าปัจจุบันเสร็จสิ้นแล้ว,Mevcut içe aktarma işlemi tamamlandıktan sonra diğer dosyaları da içe aktarabilirsin.,Bạn có thể nhập các tệp khác sau khi quá trình nhập hiện tại hoàn tất.,请在当前导入完成后开始其它文件的导入。,请在当前导入完成后开始其它文件的导入。,目前檔案匯入完畢後即可匯入其他檔案。
Studio.AssetManager.BulkImport.BulkImportShowLink,,,Check current status,Check current status,التحقق من الحالة الحالية,Aktuellen Status überprüfen,Comprobar estado actual,Vérifier statut actuel,मौजूदा स्टेटस चेक करें,Cek status saat ini,Controlla lo stato attuale,現在の状況をチェック,현재 상태 확인,Sprawdź bieżący status,Verificar estado atual,,ตรวจสอบสถานะปัจจุบัน,Mevcut durumu kontrol et,Kiểm tra trạng thái hiện tại,检查当前状态,检查当前状态,檢查目前狀態
Studio.AssetManager.SearchBar.PlaceholderText,,,Filter,Filter,فلتر,Filter,Filtro,Filtre,फ़िल्टर,Filter,Filtro,フィルタ,필터,Filtr,Filtro,,ตัวกรอง,Filtrele,Bộ Lọc,筛选,筛选,篩選
Studio.AssetManager.NavBar.GamePlaceholderName,,,Game,Game,اللعبة,Spiel,Juego,Jeu,गेम,Game,Gioco,ゲーム,게임,Gra,Jogo,,เกม,Oyun,Trò Chơi,游戏,游戏,遊戲
