Key,Context,Source,en-us
Studio.PlaceAnnotations.AddAnnotation.AddComment,button text in empty state to add a new comment,Add comment,Add comment
Studio.PlaceAnnotations.AddAnnotation.Button,,Create,Create
Studio.PlaceAnnotations.AddAnnotation.Cancel,,Cancel,Cancel
Studio.PlaceAnnotations.AddAnnotation.Failed,,Failed to submit comment,Failed to submit comment
Studio.PlaceAnnotations.AddAnnotation.PlaceholderText,,Add a comment,Add a comment
Studio.PlaceAnnotations.AddAnnotation.Submit,,Submit,Submit
Studio.PlaceAnnotations.BasicExample.Text,,Capybaras are cute!,Capybaras are cute!
Studio.PlaceAnnotations.Card.DeletedInstance,,Deleted Instance,Deleted Instance
Studio.PlaceAnnotations.Card.ManyReplies,,{replyCount} replies,{replyCount} replies
Studio.PlaceAnnotations.Card.SingleReply,,1 reply,1 reply
Studio.PlaceAnnotations.ClearAllFilters.Button,button to clear tagging and resolved comment filters,Clear all filters,Clear all filters
Studio.PlaceAnnotations.ConfirmDeleteDialog.DeleteComment,message shown to user in popup dialog to confirm they want to delete a comment,Are you sure you want to delete this comment? You can't undo this action.,Are you sure you want to delete this comment? You can't undo this action.
Studio.PlaceAnnotations.ConfirmDeleteDialog.DeleteThread,message shown to user in popup dialog to confirm they want to delete a thread,Are you sure you want to delete this thread? This will also remove all replies. You can't undo this action.,Are you sure you want to delete this thread? This will also remove all replies. You can't undo this action.
Studio.PlaceAnnotations.ConfirmDeleteDialog.Title,title of confirm delete dialog,Roblox Studio,Roblox Studio
Studio.PlaceAnnotations.Contents.TaggedYou,label for comments that have tagged the user,tagged you,tagged you
Studio.PlaceAnnotations.CounterExample.Button,,Push me!,Push me!
Studio.PlaceAnnotations.CounterExample.CounterLabel,,You pressed me {counter} times!,You pressed me {counter} times!
Studio.PlaceAnnotations.Dropdown.Delete,,Delete,Delete
Studio.PlaceAnnotations.Dropdown.DeleteComment,button to delete a comment in a thread,Delete comment,Delete comment
Studio.PlaceAnnotations.Dropdown.DeleteThread,button to delete an entire comment thread,Delete thread,Delete thread
Studio.PlaceAnnotations.Dropdown.DisplaySettings,section title for filters in the dropdown that are related to the display of comments (in 3D viewport),Display Settings,Display Settings
Studio.PlaceAnnotations.Dropdown.Edit,Edits an annotation.,Edit,Edit
Studio.PlaceAnnotations.Dropdown.HideInWorkspace,label to show/hide comments in the 3D viewport,Show in 3D viewport,Show in 3D viewport
Studio.PlaceAnnotations.Dropdown.ListView,section title for filters in the dropdown that are related to the list view of comments in the widget,List View,List View
Studio.PlaceAnnotations.Dropdown.ShowResolved,filter option to only show resolved comments,Show only resolved,Show only resolved
Studio.PlaceAnnotations.Dropdown.ShowTagged,label for button to filter to only recent comments the user is tagged in,Show my recent mentions,Show my recent mentions
Studio.PlaceAnnotations.Dropdown.ZoomTo,button that will zoom the camera to the location of an annotation in the 3D viewport,Zoom to,Zoom to
Studio.PlaceAnnotations.Error.AllTaggableUsers,error message when a general error occurred while trying to fetch users that can be tagged in a comment,Could not get all taggable users.,Could not get all taggable users.
Studio.PlaceAnnotations.Error.DeleteReply,,Failed to delete comment.,Failed to delete comment.
Studio.PlaceAnnotations.Error.DeleteThread,,Failed to delete thread.,Failed to delete thread.
Studio.PlaceAnnotations.Error.Edit,Error message that appears when web request to edit a comment fails.,Failed to edit comment.,Failed to edit comment.
Studio.PlaceAnnotations.Error.LoadingFailed,Error when comments fail to load.,Something went wrong while loading.,Something went wrong while loading.
Studio.PlaceAnnotations.Error.Moderated,Error message displayed when a comment is rejected by text filter.,Your comment violates community standards. Please edit and try again.,Your comment violates community standards. Please edit and try again.
Studio.PlaceAnnotations.Error.Resolve,,Failed to resolve thread.,Failed to resolve thread.
Studio.PlaceAnnotations.Error.TaggingChangeRankPermission,error message when the user doesn't have permission to see permissions of other rolesets in a group and cannot tag users in other rolesets,"You don't have permission to tag users in other rolesets. Contact the group owner to get the ""Manage Ranks"" permission.","You don't have permission to tag users in other rolesets. Contact the group owner to get the ""Manage Ranks"" permission."
Studio.PlaceAnnotations.Error.TryAgain,Try again button,Try again,Try again
Studio.PlaceAnnotations.Error.Unknown,,An unknown error occurred.,An unknown error occurred.
Studio.PlaceAnnotations.Error.Unresolve,,Failed to unresolve thread.,Failed to unresolve thread.
Studio.PlaceAnnotations.List.ManyReplies,,{replyCount} replies,{replyCount} replies
Studio.PlaceAnnotations.List.SingleReply,,1 reply,1 reply
Studio.PlaceAnnotations.Other.MissingUser,"Placeholder for when a username fails to load, or a user's account has been deleted through right-to-be-forgotten.",Anonymous,Anonymous
Studio.PlaceAnnotations.Plugin.Button,,Place Annotations,Place Annotations
Studio.PlaceAnnotations.Plugin.Description,,A template for all your studio plugin needs!,A template for all your studio plugin needs!
Studio.PlaceAnnotations.Plugin.Name,,Comments,Comments
Studio.PlaceAnnotations.Plugin.NoAnnotations,,No comments yet,No comments yet
Studio.PlaceAnnotations.Plugin.NoCommentsForUser,text when there are no comments that tag this user when the tag filter is selected,No comments found for this user,No comments found for this user
Studio.PlaceAnnotations.Plugin.NoMatching,text shown for empty state when no comments match the filters selected,No comments match your filters,No comments match your filters
Studio.PlaceAnnotations.Plugin.NoResolvedAnnotations,,No resolved comments,No resolved comments
Studio.PlaceAnnotations.Plugin.ToAdd,instructions for empty state,Press C or click “Add comment” and then click anywhere in the workspace to add your first comment.,Press C or click “Add comment” and then click anywhere in the workspace to add your first comment.
Studio.PlaceAnnotations.Plugin.ToBegin,,"To begin, click the “Create” button below, then click anywhere in the viewport to place your comment.","To begin, click the “Create” button below, then click anywhere in the viewport to place your comment."
Studio.PlaceAnnotations.Plugin.Toolbar,,Place Annotations,Place Annotations
Studio.PlaceAnnotations.Reply.Failed,,Failed to submit reply,Failed to submit reply
Studio.PlaceAnnotations.Reply.Placeholder,Placeholder text for reply textbox,Reply...,Reply...
Studio.PlaceAnnotations.ShowAllComments.Button,button to show all comments (not just comments that tag the user),Show all comments,Show all comments
Studio.PlaceAnnotations.ShowUnresolved.Button,text for button to show unresolved comments,Show unresolved,Show unresolved
Studio.PlaceAnnotations.TextInput.LengthExceeded,,Comment is too long. Shorten to under {maxLength} characters.,Comment is too long. Shorten to under {maxLength} characters.
