Key,Context,Source,en-us
Studio.App.LocalPlacePublishRequestMediator.ErrorWhileSaving1,,Error while publishing: %1,Error while publishing: %1
Studio.App.LocalPlacePublishRequestMediator.FetchActivePlayersInTCFailureText2,Display text for error message,"Unable to check active Team Create Session for place '%1'.
Error Message: '%2'","Unable to check active Team Create Session for place '%1'.
Error Message: '%2'"
Studio.App.LocalPlacePublishRequestMediator.FetchActivePlayersInTCFailureTitle,Title of the pop up dialog,Overwrite Place,Overwrite Place
Studio.App.LocalPlacePublishRequestMediator.NoLongerHaveAccess17Plus,,You no longer have access to this experience because its age recommendation was updated to Ages 17+.,You no longer have access to this experience because its age recommendation was updated to Ages 17+.
Studio.App.LocalPlacePublishRequestMediator.PublishConflictError,Displays when a user's place fails to upload.,Server is busy and unable to process your upload request. Please try again in a couple minutes.,Server is busy and unable to process your upload request. Please try again in a couple minutes.
Studio.App.LocalPlacePublishRequestMediator.PublishInProgress,,A Place Publish / Save is already in progress,A Place Publish / Save is already in progress
Studio.App.LocalPlacePublishRequestMediator.Saving,,saving,saving
Studio.App.LocalPlacePublishRequestMediator.SentMessageToServerToPublish,,Sent message to server to publish.,Sent message to server to publish.
Studio.App.LocalPlacePublishRequestMediator.UnableToPublishToExperience,Display when publishing fails. %1 is replaced by the experience name.,Unable to publish changes to %1,Unable to publish changes to %1
Studio.App.LocalPlacePublishRequestMediator.UnableToSaveToExperience,Display when saving fails. %1 is replaced by the experience name.,Unable to save changes to %1,Unable to save changes to %1
Studio.App.LocalPlacePublishRequestMediator.Unarchiving1,,"""%1"" has been moved to your game list.”","""%1"" has been moved to your game list.”"
Studio.App.LocalPlacePublishRequestMediator.UnexpectedDataFormat,Display this message when fetched result has unexpected format,Unexpected data format.,Unexpected data format.
