Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Drafts.Meta.PluginButtonTooltip,,,View Drafts,View Drafts,عرض المسودات,Entwürfe anzeigen,Ver borradores,Visualiser les projets,ड्राफ़्ट देखें,Lihat Draf,Visualizza bozze,下書きを表示,초안 보기,Wyświetl wersje robocze,Ver rascunhos,Просмотр черновиков,ดูแบบร่าง,Taslakları görüntüle,Xem Bản Nháp,查看草稿,查看草稿,檢視草稿
Studio.Drafts.Meta.PluginDescription,,,I'm a hover message,I'm a hover message,أنا رسالة تظهر بالتمرير فوقها,Ich bin eine Hover-Nachricht,Soy un mensaje emergente,Je suis un message de survol,मैं होवर मैसेज हूँ,Aku adalah pesan melayang,Messaggio hover,マウスオーバーの吹き出しです,커서 올리기 메시지입니다,Jestem komunikatem po najechaniu,Sou uma mensagem flutuante,Это всплывающий текст,ฉันคือข้อความการวางเคอร์เซอร์อยู่เหนือ,Bu bir gezin mesajı,Tôi là một tin nhắn xuất hiện khi di chuột,我是悬浮信息,我是悬浮信息,我是懸浮訊息
Studio.Drafts.Meta.PluginName,,,Drafts,Drafts,المسودات,Entwürfe,Borradores,Projets,ड्राफ़्ट,Draf,Bozze,下書き,초안,Wersje robocze,Rascunhos,Черновики,แบบร่าง,Taslaklar,Bản Nháp,草稿,草稿,草稿
Studio.Drafts.Example.ErrorAnUnexpectedThing,,,"An unexpected thing happened, try again","An unexpected thing happened, try again",حدث شيء غير متوقع، حاول مرة أخرى,"Es ist etwas Unerwartetes passiert, versuche es erneut",Ha pasado algo inesperado. Inténtalo de nuevo,"Quelque chose d'inopiné s'est produit, réessaie","अचानक कुछ हो गया है, फिर से कोशिश करें",Terjadi hal tidak terduga. Coba lagi,"Si è verificato un errore imprevisto, riprova",予期しないことが起きました。もう一度お試しください,예기치 못한 문제가 발생했습니다. 다시 시도하세요.,Zdarzyło się coś nieoczekiwanego. Spróbuj ponownie.,"Ocorreu algo inesperado, continue tentando","Возникла непредвиденная ошибка, попробуйте снова.",เกิดเหตุการณ์ที่ไม่คาดคิด ลองอีกครั้ง,"Beklenmedik bir şey oldu, tekrar dene","Một điều bất ngờ đã xảy ra, hãy thử lại",发生意外，请重试,发生意外，请重试,發生意外錯誤，請重新嘗試
Studio.Drafts.Main.NoDrafts,,,(Empty),(Empty),(فارغ),(Leer),(vacío),(Vide),(खाली),(Kosong),(Vuoto),（空）,(비어 있음),(Puste),(Vazio),(Пусто),(ว่างเปล่า),(Boş),(Trống),（空）,（空）,（空）
Studio.Drafts.ContextMenu.OpenScript,,,Open Draft,Open Draft,فتح المسودة,Entwurf öffnen,Abrir borrador,Ouvrir projet,ड्राफ़्ट खोलें,Buka Draf,Apri bozza,下書きを開く,초안 열기,Otwórz wersję roboczą,Abrir rascunho,Открыть черновик,เปิดแบบร่าง,Taslak aç,Mở Bản Nháp,打开草稿,打开草稿,開啟草稿
Studio.Drafts.ContextMenu.ShowDiff,,,Compare with server,Compare with server,المقارنة مع الخادم,Mit Server vergleichen,Comparar con servidor,Comparer avec serveur,सर्वर से तुलना करें,Bandingkan dengan server,Confronta con il server,サーバーと比較,서버와 비교,Porównaj z serwerem,Comparar com o servidor,Сравнить с сервером,เปรียบเทียบกับเซิร์ฟเวอร์,Sunucuyla karşılaştır,So sánh với máy chủ,与服务器比较,与服务器比较,與伺服器比較
Studio.Drafts.ContextMenu.Commit,,,Commit,Commit,تثبيت,Committen,Confirmar,Soumettre,कमिट करें,Commit,Esegui commit,コミット,커밋,Zatwierdź,Validar,Зафиксировать,ยืนยัน,İşle,Thực Hiện,提交,提交,提交
Studio.Drafts.ContextMenu.Update,,,Merge from server,Merge from server,دمج من الخادم,Vom Server zusammenführen,Fusionar desde el servidor,Fusionner à partir du serveur,सर्वर से मर्ज करें,Gabung dari server,Unisci dal server,サーバーから併合,서버에서 병합,Scal z serwera,Mesclar a partir do servidor,Объединить на сервере,รวมจากเซิร์ฟเวอร์,Sunucudan birleştir,Hợp nhất từ máy chủ,从服务器合并,从服务器合并,從伺服器合併
Studio.Drafts.ContextMenu.Restore,,,Restore Script,Restore Script,استعادة النص البرمجي,Skript wiederherstellen,Restaurar script,Restorer script,स्क्रिप्ट रीस्टोर करें,Pulihkan Skrip,Script di ripristino,スクリプトを復元,스크립트 복원,Przywróć skrypt,Restaurar script,Восстановить скрипт,กู้คืนสคริปต์,Betiği geri yükle,Khôi Phục Kịch Bản,还原脚本,还原脚本,還原指令碼
Studio.Drafts.ContextMenu.Revert,,,Discard Draft,Discard Draft,تجاهل المسودة,Entwurf verwerfen,Eliminar borrador,Rejeter projet,ड्राफ़्ट खारिज करें,Hapus Draf,Scarta bozza,下書きを破棄,초안 제거,Odrzuć wersję roboczą,Descartar rascunho,Отменить черновик,ยกเลิกแบบร่าง,Taslaktan vazgeç,Loại Bỏ Bản Nháp,放弃草稿,放弃草稿,捨棄草稿
Studio.Drafts.Dialog.Yes,,,Yes,Yes,نعم,Ja,Sí,Oui,हाँ,Ya,Sì,はい,예,Tak,Sim,Да,ใช่,Evet,Có,是,是,是
Studio.Drafts.Dialog.No,,,No,No,لا,Nein,No,Non,नहीं,Tidak,No,いいえ,아니요,Nie,Não,Нет,ไม่,Hayır,Không,否,否,否
Studio.Drafts.DiscardDialog.ConfirmQuestion,,,Are you sure you want to discard your uncommited edits to the following scripts?,Are you sure you want to discard your uncommited edits to the following scripts?,هل أنت متأكد من أنك تريد تجاهل تعديلاتك غير المُثبَّتة على النصوص البرمجية التالية؟,Möchtest du deine nicht committeten Bearbeitungen an den folgenden Skripten wirklich verwerfen?,¿Quieres eliminar tus ediciones sin confirmar en los siguientes scripts?,Es-tu sûr de vouloir rejeter tes modifications non validées aux scripts suivants ?,क्या आपको वाकई अपने कमिट नहीं किए गए एडिट्स को नीचे दी गई स्क्रिप्ट में छोड़ना है?,Yakin ingin membuang hasil edit yang belum di-commit ke skrip berikut?,Vuoi davvero scartare le modifiche senza commit dei seguenti script?,以下のスクリプトでコミットされていない編集内容を破棄してよろしいですか？,다음 스크립트에 대한 커밋되지 않은 편집 내용을 제거할까요?,Czy na pewno chcesz odrzucić niezatwierdzone zmiany w następujących skryptach?,Tem certeza que deseja descartar suas edições não validadas para os seguintes scripts?,Отменить несохраненные правки в следующих скриптах?,คุณแน่ใจหรือไม่ว่าต้องการยกเลิกการแก้ไขที่ยังไม่ได้ยืนยันของสคริปต์ดังต่อไปนี้?,Aşağıdaki betiklerde yaptığın işlenmemiş düzenlemelerden vazgeçmek istediğinden emin misin?,Bạn có chắc chắn muốn loại bỏ các mục chỉnh sửa mà bạn chưa thực hiện đối với các kịch bản sau không?,确定放弃对以下脚本的未提交编辑?,确定放弃对以下脚本的未提交编辑?,確定捨棄在以下指令碼李未提交的編輯？
Studio.Drafts.DiscardDialog.Title,,,Discard Edits to Scripts,Discard Edits to Scripts,تجاهل التعديلات على النصوص البرمجية,Bearbeitungen an Skripten verwerfen,Eliminar ediciones en los scripts,Rejeter les modifications aux scripts,स्क्रिप्ट्स के एडिट खारिज करें,Hapus Hasil Edit Skrip,Scarta modifiche script,スクリプトの編集を破棄,스크립트에 대한 편집 내용 제거,Odrzuć zmiany w skryptach,Descartar edições para scripts,Отменить правки в скриптах,ยกเลิกการแก้ไขสคริปต์,Betiklerdeki düzenlemelerden vazgeç,Loại Bỏ Các Mục Chỉnh Sửa Với Kịch Bản,放弃对脚本的编辑,放弃对脚本的编辑,捨棄指令碼編輯
Studio.Drafts.Tooltip.DraftOutdated,,,Newer version on server,Newer version on server,إصدار أحدث على الخادم,Neuere Version auf dem Server,Versión más reciente en el servidor,Nouvelle version sur le serveur,सर्वर पर नया वर्ज़न,Versi lebih baru di server,Versione più recente sul server,サーバー上でさらに新しいバージョン,서버의 최신 버전,Nowsza wersja na serwerze,Versão atualizada no servidor,Более новая версия на сервере,เวอร์ชันใหม่ในเซิร์ฟเวอร์,Sunucudaki sürüm daha yeni,Phiên bản mới hơn trên máy chủ,服务器上发现更新版本,服务器上发现更新版本,伺服器有更新版本
Studio.Drafts.Tooltip.ScriptDeleted,,,The original script has been deleted from the server,The original script has been deleted from the server,تم حذف النص البرمجي الأصلي من الخادم,Das ursprüngliche Skript wurde vom Server gelöscht,Se ha eliminado el script original del servidor,Le script d'origine a été effacé du serveur,मूल स्क्रिप्ट को सर्वर से हटा दिया गया है,Skrip asli telah dihapus dari server,Lo script iniziale è stato eliminato dal server,元のスクリプトがサーバーから削除されました,원본 스크립트가 서버에서 삭제되었습니다.,Oryginalny skrypt został usunięty z serwera,O script original foi apagado do servidor,Оригинал скрипта был удален с сервера,ลบสคริปต์ดั้งเดิมออกจากเซิร์ฟเวอร์แล้ว,"Orijinal betik, sunucudan silindi",Kịch bản gốc đã bị xóa khỏi máy chủ,原始脚本已从服务器中删除,原始脚本已从服务器中删除,原指令碼已從伺服器中刪除
Studio.Drafts.Tooltip.DraftCommitted,,,Draft successfully committed,Draft successfully committed,تم تثبيت المسودة بنجاح,Entwurf erfolgreich committet,Borrador confirmado correctamente,Projet validé avec succès,ड्राफ़्ट कमिट हो गया है,Draf berhasil di-commit,Commit bozza eseguito correttamente,下書きをコミットできました,초안 제출 완료,Zatwierdzono wersję roboczą,Rascunho validado com sucesso,Черновик успешно сохранен,ยืนยันแบบร่างสำเร็จแล้ว,Taslak başarıyla işlendi,Đã thực hiện bản nháp thành công,草稿已成功提交,草稿已成功提交,已成功提交草稿
Studio.Drafts.StatusText.Saved,,,Saved,Saved,تم الحفظ,Gespeichert,Guardado,Sauvegardé,सेव किया गया,Disimpan,Salvataggio riuscito,保存済み,저장됨,Zapisano,Salvo,Сохранение выполнено,บันทึกแล้ว,Kaydedildi,Đã Lưu,已保存,已保存,已儲存
Studio.Drafts.StatusText.Saving,,,Saving...,Saving...,جارٍ الحفظ...,Wird gespeichert ...,Guardando...,Sauvegarde...,सेव किया जा रहा है...,Menyimpan...,Salvataggio...,保存中...,저장 중...,Zapisywanie...,Salvando...,Идет сохранение...,กำลังบันทึก...,Kaydediliyor...,Đang Lưu...,正在保存…,正在保存…,正在儲存……
Studio.Drafts.StatusText.Committing,,,Committing...,Committing...,جارٍ التثبيت...,Wird committet ...,Confirmando...,Validation...,कमिट किया जा रहा है...,Melakukan commit...,Esecuzione commit...,コミット中...,커밋 중...,Zatwierdzanie...,Validando...,Фиксирование...,กำลังยืนยัน...,İşleniyor...,Đang Thực Hiện...,正在提交…,正在提交…,正在提交……
Studio.Drafts.DraftItem.CommittedLabel,,,{1} committed,{1} committed,تم تثبيت {1},{1} committet,{1} confirmados,{1} validé,{1} कमिट किए गए,{1} di-commit,Commit di {1} eseguito,{1} 件コミット済み,{1} 커밋됨,Zatwierdzono: {1},{1} validado,{1}: изменение зафиксировано,ยืนยันแล้ว {1} รายการ,{1} işlendi,{1} đã thực hiện,{1} 已提交,{1} 已提交,已提交 {1} 項
Studio.Drafts.StatusText.Uncommitted,,,Uncommitted,Uncommitted,غير مُثبَّت,Nicht committet,Sin confirmar,Non validé,कमिट नहीं किया गया है,Tidak di-commit,Commit non eseguito,コミットされていない,커밋되지 않음,Nie zatwierdzono,Não validado,,ยังไม่ได้ยืนยัน,İşlenmedi,Chưa Thực Hiện,未提交,未提交,未提交
Studio.Drafts.Toolbar.CommitButton,,,Commit,Commit,تثبيت,Committen,Confirmar,Valider,कमिट करें,Commit,Esegui commit,コミット,커밋,Zatwierdź,Validar,,ยืนยัน,İşle,Thực Hiện,提交,提交,提交
