Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TestingControls.Tooltip.JoinTeamTest,,,Join the ongoing Team Test,Join the ongoing Team Test,انضم إلى التجربة الجماعية الجارية,Dem laufenden Teamtest beitreten,Únete a la prueba en equipo en curso,Rejoindre le test d'équipe en cours,चल रहे टीम टेस्ट में शामिल हों,Gabung Tes Tim yang sedang berlangsung,Unisciti al test team in corso,進行中のチームテストに参加,진행 중인 팀 테스트에 참가합니다,Dołącz do trwającego testu zespołu,Junte-se ao teste en equipe em andamento,,เข้าร่วมการทดสอบแบบเป็นทีมที่ดำเนินอยู่,Devam eden Ekip Testine katıl,Tham gia Thử Nghiệm Nhóm đang diễn ra,加入进行中的团队测试,加入进行中的团队测试,加入進行中的團隊測試
Studio.TestingControls.Title.JoinTeamTest,,,Join Team Test,Join Team Test,انضم إلى التجربة الجماعية,Teamtest beitreten,Unirse a Prueba en equipo,Rejoindre le test d'équipe,टीम टेस्ट जॉइन करें,Gabung Tes Tim,Unisciti al test team,チームテストに参加,팀 테스트 참가,Dołącz do testu zespołu,Participar do teste em equipe,,เข้าร่วมการทดสอบแบบเป็นทีม,Ekip Testine katıl,Tham gia Thử Nghiệm Nhóm,加入团队测试,加入团队测试,加入團隊測試
Studio.TestingControls.Title.Exit,,,Exit,Exit,خروج,Verlassen,Salir,Sortir,बाहर निकलें,Keluar,Esci,終了,나가기,Wyjdź,Sair,,ออก,Çık,Thoát,退出,退出,退出
Studio.TestingControls.Tooltip.LaunchClients,,,Select the number of clients to start the simulation,Select the number of clients to start the simulation,حدد عدد العملاء لبدء المحاكاة,"Wähle die Anzahl der Clients aus, mit denen die Simulation gestartet werden soll",Selecciona el número de clientes para iniciar la simulación,Sélectionner le nombre de clients pour démarrer la simulation,"सिम्युलेशन शुरू करने के लिए, ग्राहकों की संख्या चुनें",Pilih jumlah klien untuk memulai simulasi,Seleziona il numero di client per avviare la simulazione,シミュレーションを開始するクライアント数を選択,시뮬레이션을 시작할 클라이언트 수를 선택하세요,"Wybierz liczbę klientów, aby rozpocząć symulację",Selecione o número de clientes para iniciar a simulação,,เลือกจำนวนของไคลเอนต์เพื่อเริ่มการจำลองสถานการณ์,Simülasyonu başlatmak için istemci sayısını seç,Chọn số lượng máy khách để bắt đầu mô phỏng,选择要开始模拟的客户端数量,选择要开始模拟的客户端数量,選擇要開始模擬的用戶端數量
Studio.TestingControls.Title.Pause,,,Pause,Pause,إيقاف مؤقت,Pausieren,Pausar,Pause,रोकें,Jeda,Metti in pausa,一時停止,일시 중지,Wstrzymaj,Pausar,,หยุดชั่วคราว,Duraklat,Tạm dừng,暂停,暂停,暫停
Studio.TestingControls.Title.PauseServer,,,Pause Server,Pause Server,إيقاف الخادم مؤقتًا,Server pausieren,Pausar servidor,Mettre en pause le serveur,सर्वर को रोकें,Jeda Server,Metti in pausa il server,サーバーを一時停止,서버 일시 중지,Wstrzymaj serwer,Pausar servidor,,หยุดเซิร์ฟเวอร์ชั่วคราว,Sunucuyu Duraklat,Tạm dừng Máy chủ,暂停服务器,暂停服务器,暫停伺服器
Studio.TestingControls.Title.PauseClient,,,Pause Client,Pause Client,إيقاف العميل مؤقتًا,Client pausieren,Pausar cliente,Mettre en pause le client,क्लाइंट को रोकें,Jeda Klien,Metti in pausa il client,クライアントを一時停止,클라이언트 일시 중지,Wstrzymaj klienta,Pausar cliente,,หยุดไคลเอนต์ชั่วคราว,İstemciyi Duraklat,Tạm dừng Máy khách,暂停客户端,暂停客户端,暫停用戶端
Studio.TestingControls.Title.Resume,,,Resume,Resume,استئناف,Fortsetzen,Reanudar,Reprendre,फिर से शुरू करें,Lanjutkan,Riprendi,再開,재개,Wznów,Retomar,,ดำเนินการต่อ,Sürdür,Tiếp tục,恢复,恢复,繼續
Studio.TestingControls.Title.ResumeClient,,,Resume Client,Resume Client,استئناف العميل,Client fortsetzen,Reanudar cliente,Reprendre le client,क्लाइंट को फिर से शुरू करें,Lanjutkan Klien,Riprendi client,クライアントを再開,클라이언트 재개,Wznów klienta,Retomar cliente,,ให้ไคลเอนต์ทำงานต่อ,İstemciyi Sürdür,Tiếp tục Máy khách,恢复客户端,恢复客户端,繼續用戶端
Studio.TestingControls.Title.ResumeServer,,,Resume Server,Resume Server,استئناف الخادم,Server fortsetzen,Reanudar servidor,Reprendre le serveur,सर्वर को फिर से शुरू करें,Lanjutkan Server,Riprendi server,サーバーを再開,서버 재개,Wznów serwer,Retomar servidor,,ให้เซิร์ฟเวอร์ทำงานต่อ,Sunucuyu Sürdür,Tiếp tục Máy chủ,恢复服务器,恢复服务器,繼續伺服器
Studio.TestingControls.Tooltip.Pause,,,Pause all physics and animations,Pause all physics and animations,إيقاف كل الآثار الفيزيائية والعرض والحركات مؤقتًا,Alle Physik und Animationen anhalten,Pausa todas las físicas y las animaciones,"Mettre en pause toute la physique, le rendu et les animations",सभी फ़िज़िक्स और ऐनिमेशन रोकें,Jeda semua fisika dan animasi,Metti in pausa tutte le simulazioni fisiche e le animazioni,すべての物理、レンダリング、アニメーションを一時停止,모든 물리 및 애니메이션을 일시 중지합니다,Wstrzymaj całą fizykę i animacje,"Pausar todas as físicas, renderizações e animações",,หยุดฟิสิกส์และแอนิเมชันทั้งหมดชั่วคราว,Tüm fizik ve animasyonları duraklat,Tạm dừng toàn bộ mô phỏng vật lý và hiệu ứng động,暂停所有物理计算、渲染和动画,暂停所有物理计算、渲染和动画,暫停所有物理模擬和動畫
Studio.TestingControls.Tooltip.PauseServer,,,Pause server physics and animations,Pause server physics and animations,إيقاف الآثار الفيزيائية والعرض والحركات للخادم مؤقتًا,Server-Physik und -Animationen anhalten,Pausa las físicas de servidor y las animaciones,"Suspendre la physique, le rendu et les animations du serveur",सर्वर फ़िज़िक्स और ऐनिमेशन रोकें,Jeda fisika dan animasi server,Metti in pausa le simulazioni fisiche e le animazioni sul server,サーバー物理、レンダリング、アニメーションを一時停止,서버 물리 및 애니메이션을 일시 중지합니다,Wstrzymaj fizykę i animacje serwera,"Pausar todas as físicas, renderizações e animações",,หยุดฟิสิกส์และแอนิเมชันของเซิร์ฟเวอร์ชั่วคราว,Sunucu fiziğini ve animasyonlarını duraklat,Tạm dừng mô phỏng vật lý và hiệu ứng động từ máy chủ,暂停服务器物理计算、渲染和动画,暂停服务器物理计算、渲染和动画,暫停伺服器物理模擬和動畫
