Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AudioCompressorEditor.Plugin.AudioCompressorEditor,,,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,,AudioCompressorEditor,Ses Sıkıştırma Düzenleyici,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor,AudioCompressorEditor
Studio.AudioCompressorEditor.Label.Bypass,,,Bypass,Bypass,تجاوز,Bypass,Saltar,Bypass,बाईपास,Bypass,Ignora,バイパス,우회,Bypass,Ignorar,,บายพาส,Bypass,Bypass,绕过,绕过,Bypass
Studio.AudioCompressorEditor.Label.EnableMetering,,,Enable Metering,Enable Metering,تمكين القياس,Metering aktivieren,Activar medición,Activer le comptage,मीटरिंग चालू करें,Aktifkan Pengukuran,Abilita misurazione,メーターを有効化,미터링 활성화,Włącz pomiar,Ativar medição,,เปิดใช้งานการ Metering,Metrelemeyi etkinleştir,Bật Chế Độ Đo,启用计量,启用计量,啟用計量
Studio.AudioCompressorEditor.Label.ShowEnvelope,,,Envelope,Envelope,منحنى المغلف,Hüllkurve,Sobre,Enveloppe,एनवेलप,Amplop,Inviluppo,エンベロープ,포락선,Krzywa obwiedni,Envelope,,เอนเวอลอป,Zarf,Đường bao,包络,包络,包絡曲線
Studio.AudioCompressorEditor.Label.ShowInputWaveform,,,In,In,في,In,Entrada,Dans,अंदर,Masuk,In,入力,입력,We.,Entrada,,ใน,In,In,输入,输入,In
Studio.AudioCompressorEditor.Label.ShowOutputWaveform,,,Out,Out,خارج,Out,Salida,"""Out""",बाहर,Keluar,Out,出力,출력,Wy.,Saída,,นอก,Out,Out,输出,输出,Out
Studio.AudioCompressorEditor.Label.ShowGainChange,,,Gain,Gain,مكسب,Gain,Ganancia,Gain,वॉल्यूम लेवल,Perolehan,Gain,ゲイン,게인,Wzmocnienie,Ganho,,เพิ่ม,Gain,Độ Khuếch Đại,增益,增益,Gain
Studio.AudioCompressorEditor.Label.ShowSidechain,,,Sidechain,Sidechain,سلسلة جانبية,Sidechain,Cadena lateral,Chaîne latérale,साइडचेन,Sidechain,Sidechain,サイドチェイン,사이드체인,Fala sidechain,Sidechain,,ไซด์เชน,Sidechain,Chuỗi phụ,侧链,侧链,側鏈
Studio.AudioCompressorEditor.Label.IsPaused,,,Paused,Paused,متوقف مؤقتًا,Pausiert,Pausado,En pause,रोका गया,Dijeda,In pausa,一時停止中,멈춤,Wstrzymano,Pausado,,ถูกหยุดชั่วคราว,Duraklatıldı,Đã Tạm Dừng,已暂停,已暂停,暫停
Studio.AudioCompressorEditor.Label.Threshold,,,Threshold,Threshold,الحد,Threshold,Umbral,Seuil,थ्रेशोल्ड,Ambang Batas,Soglia,しきい値,임계값,Próg,Limite,,เกณฑ์,Sınır,Ngưỡng,阈值,阈值,閾值
Studio.AudioCompressorEditor.Label.MaxLevel,,,Max Level,Max Level,المستوى الأقصى,Max. Level,Nivel máx.,Niveau max,अधिकतम लेवल,Level Maks,Livello massimo,最大レベル,최대 레벨,Poziom maks.,Nível máximo,,ระดับสูงสุด,Maks. Düzey,Mức Tối Đa,最高级别,最高级别,最高等級
Studio.AudioCompressorEditor.Label.Ratio,,,Ratio,Ratio,النسبة,Ratio,Ratio,Ratio,अनुपात,Rasio,Rapporto,比率,비율,Ratio,Taxa,,อัตราส่วน,Oran,Tỷ Lệ,比率,比率,比率
Studio.AudioCompressorEditor.Label.Attack,,,Attack,Attack,الهجوم,Attack,Ataque,Attaquer,हमला करें,Serangan,Attacco,アタック,어택,Attack,Ataque,,โจมตี,Attack,Thời gian Attack,攻击,攻击,Attack
Studio.AudioCompressorEditor.Label.Release,,,Release,Release,الإصدار,Release,Soltar,Publier,रिलीज़ करें,Pembebasan,Release,リリース,릴리즈,Release,Liberação,,ปล่อย,Release,Thời gian Release,释放,释放,Release
Studio.AudioCompressorEditor.Label.MakeupGain,,,Makeup Gain,Makeup Gain,مكسب المكياج,Make-up Gain,Ganancia de Makeup,Gain de maquillage,मेकअप गेन,Perolehan Kompensasi,Makeup Gain,メイクアップゲイン,메이크업 게인,Makeup Gain,Ganho da compensação,,การเพิ่มชดเชย,Telafi Gain,Độ Khuếch Đại Thành Phần,妆容增益,妆容增益,Makeup Gain
