Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.VisualizationModes.Plugin.Name,,,Visualization Modes,Visualization Modes,أوضاع التصور,Visualisierungsmodi,Modos de visualización,Modes de visualisation,विज़ुअलाइज़ेशन मोड,Mode Visualisasi,Modalità di visualizzazione,視覚化モード,시각화 모드,Tryby wizualizacji,Modos de visualização,,โหมดการแสดงผล,Görselleştirme Modları,Chế Độ Hiển Thị,可视化模式,可视化模式,視覺化模式
Studio.VisualizationModes.Plugin.Text,,,Hello World,Hello World,Hello World,"Hallo, Welt","Hola, mundo",Bonjour le monde,हैलो वर्ल्ड,Halo Dunia,Buongiorno mondo,世界のみなさん、こんにちは,헬로 월드,"Witaj, świecie",Olá mundo,,สวัสดีชาวโลก,Merhaba Dünya,Xin Chào Thế Giới,Hello World,Hello World,世界你好
Studio.VisualizationModes.Plugin.Button,,,Visualization Modes,Visualization Modes,أوضاع التصور,Visualisierungsmodi,Modos de visualización,Modes de visualisation,विज़ुअलाइज़ेशन मोड,Mode Visualisasi,Modalità di visualizzazione,視覚化モード,시각화 모드,Tryby wizualizacji,Modos de visualização,,โหมดการแสดงผล,Görselleştirme Modları,Chế Độ Hiển Thị,可视化模式,可视化模式,視覺化模式
Studio.VisualizationModes.Plugin.Toolbar,,,Visualization Modes,Visualization Modes,أوضاع التصور,Visualisierungsmodi,Modos de visualización,Modes de visualisation,विज़ुअलाइज़ेशन मोड,Mode Visualisasi,Modalità di visualizzazione,視覚化モード,시각화 모드,Tryby wizualizacji,Modos de visualização,,โหมดการแสดงผล,Görselleştirme Modları,Chế Độ Hiển Thị,可视化模式,可视化模式,視覺化模式
Studio.VisualizationModes.SearchBar.Filter,,,Filter Visualization Modes,Filter Visualization Modes,فلترة أوضاع التصور,Filtervisualisierungsmodi,Filtrar modos de visualización,Modes de visualisation des filtres,विज़ुअलाइज़ेशन मोड फ़िल्टर करता है,Filter Mode Visualisasi,Filtra modalità di visualizzazione,視覚化モードをフィルタ,시각화 모드 필터링,Filtruj tryby wizualizacji,Modos de visualização de filtro,,กรองโหมดการแสดงผล,Görselleştirme modlarını filtrele,Lọc Chế Độ Hiển Thị,筛选可视化模式,筛选可视化模式,篩選視覺化模式
Studio.VisualizationModes.StudioModes.PathfindingLinks,,,Pathfinding links,Pathfinding links,روابط البحث عن المسار,Pfadfindungslinks,Enlaces de búsqueda de rutas,Liens Pathfinding,पाथफ़ाइंडिंग लिंक,Tautan pathfinding,Collegamenti di pathfinding,経路探索リンク,경로 찾기 링크,Linki do wyszukiwania ścieżek,Links Pathfinding,,จุดเชื่อมโยงการค้นหาเส้นทาง,Yol bulma bağlantıları,Liên kết tìm đường dẫn,路径查找链接,路径查找链接,路徑搜尋連結
Studio.VisualizationModes.StudioModes.ContactPoints,,,Contact points,Contact points,نقاط الاتصال,Kontaktpunkte,Puntos de contacto,Points de contact,कॉन्टैक्ट पॉइंट,Titik kontak,Punti di contatto,接触点,접점,Punkty styczności,Pontos de contato,,จุดติดต่อ,Temas noktaları,Điểm liên hệ,联系点,联系点,接觸點
Studio.VisualizationModes.StudioModes.DecompositionGeometry,,,Decomposition geometry,Decomposition geometry,التصميم الهندسي للتجزئة,Dekompositionsgeometrie,Geometría de descomposición,Géométrie de décomposition,डिकॉम्पोज़िशन ज्योमेट्री,Geometri dekomposisi,Geometria decomposizione,ジオメトリ分解,분해 지오메트리,Geometria rozkładu,Geometria de decomposição,,รูปทรงการย่อยสลาย,Ayrıştırma geometrisi,Hình học phân rã,几何分解,几何分解,分解幾何
Studio.VisualizationModes.StudioModes.AwakeParts,,,Awake parts,Awake parts,أجزاء تنشيط,Aktive Teile,Partes despiertas,Pièces d'éveil,पार्ट्स को अवेक करें,Komponen aktif,Parti sveglie,稼働中のパーツ,활성 파트,Wybudź części,Partes acordadas,,เลิกการพักเครื่องส่วนประกอบ,Uyanık parçalar,Bộ phận thức tỉnh,唤醒部件,唤醒部件,清醒零件
Studio.VisualizationModes.VisualizationModeCategories.Rendering,,,Rendering,Rendering,العرض,Rendering,Renderización,Rendu,रेंडर किया जा रहा है,Rendering,Rendering,レンダリング,렌더링,Renderowanie,Renderização,,การเรนเดอร์,İşleme,Kết Xuất,渲染,渲染,成像
Studio.VisualizationModes.VisualizationModeCategories.Physics,,,Physics,Physics,الآثار الفيزيائية,Physik,Física,Physique,फ़िज़िक्स,Fisika,Fisica,物理,물리,Fizyczne,Física,,ฟิสิกส์,Fizik,Vật Lý,物理,物理,物理
Studio.VisualizationModes.VisualizationModeCategories.PhysicsDebug,,,Physics debug,Physics debug,تتبع أخطاء الآثار الفيزيائية,Physik-Debugging,Depuración de física,Débogage physique,फ़िज़िक्स डीबग करें,Debug fisika,Esegui debug su fisica,物理デバッグ,물리 디버그,Debugowanie fizyczne,Depuração de física,,Debug ฟิสิกส์,Fiziksel hata ayıklama,Gỡ lỗi vật lý,物理调试,物理调试,物理偵錯
Studio.VisualizationModes.VisualizationModeCategories.Pathfinding,,,Pathfinding,Pathfinding,البحث عن المسار,Pfadfindung,Búsqueda de ruta,Pathfinding,पाथफ़ाइंडिंग,Pathfinding,Pathfinding,経路探索,경로 찾기,Wyszukiwanie ścieżek,Pathfinding,,การค้นหาเส้นทาง,Yol bulma,Tìm đường dẫn,路径查找,路径查找,路徑搜尋
Studio.VisualizationModes.StudioModes.NetworkOwner,,,Network owners,Network owners,مالكو الشبكة,Netzwerkeigentümer,Propietarios de red,Propriétaires du réseau,नेटवर्क के मालिक,Pemilik jaringan,Proprietari di rete,ネットワーク所有者,네트워크 소유자,Właściciele sieci,Proprietários da rede,,เจ้าของเครือข่าย,Ağ sahipleri,Người sở hữu mạng,网络所有者,网络所有者,網路擁有者
Studio.VisualizationModes.StudioModes.PathfindingMesh,,,Navigation mesh,Navigation mesh,أصل mesh للتنقل,Navigations-Mesh,Malla de navegación,Maille de navigation,नेविगेशन मेश,Mesh navigasi,Mesh di navigazione,ナビゲーションメッシュ,탐색 메시,Siatka nawigacji,Malha de navegação,,เมชการนำทาง,Gezinme mesh yapısı,Mesh điều hướng,导航网格,导航网格,導航網格
